# Statistiques résumées des distributions par grandeur et par pas
step,name,n,mean,std,min,q10,q25,median,q75,q90,q99,max
80,levier_entite,49,0.8618,0.0173,0.833,0.8391,0.8435,0.8652,0.8783,0.8821,0.8821,0.8821
90,passif_total,55,276.0661,173.669,14.6048,38.1453,126.5796,275.8182,438.6941,511.2809,511.2809,511.2809
90,actif_liquide,55,44.461,21.398,7.9578,12.4972,27.6774,46.7053,64.2606,71.5217,71.5217,71.5217
90,actif_total,55,315.5271,194.9702,17.5626,45.6425,149.257,317.5235,497.9547,577.8026,577.8026,577.8026
90,ratio_L_P,55,0.2095,0.0991,0.1399,0.1399,0.1465,0.1693,0.2197,0.3424,0.5449,0.5449
90,taux_interne,55,0.0421,0.0285,0.0221,0.0221,0.0239,0.0301,0.0447,0.0847,0.1308,0.1308
90,levier_entite,55,0.864,0.0181,0.8316,0.837,0.8477,0.8687,0.881,0.8849,0.8849,0.8849
100,passif_total,58,315.4768,182.4203,8.5224,57.9678,172.4426,317.5438,489.3174,559.6388,559.6388,559.6388
100,actif_liquide,58,49.1564,21.5882,8.4689,16.5666,34.0423,51.4036,69.3526,76.2212,76.2212,76.2212
100,actif_total,58,359.6332,203.929,11.9913,69.5344,201.4849,363.9474,553.6701,630.8599,630.8599,630.8599
100,ratio_L_P,58,0.1974,0.1201,0.1362,0.1362,0.1417,0.162,0.1974,0.2859,0.6545,0.9937
100,taux_interne,58,0.0371,0.0249,0.0211,0.0211,0.0226,0.0281,0.0381,0.0657,0.1321,0.1713
100,levier_entite,58,0.8649,0.0272,0.7107,0.8344,0.8559,0.8724,0.8838,0.8871,0.8871,0.8871
110,passif_total,68,319.2631,206.1136,8.5224,30.5325,116.1053,311.2337,522.5632,603.3725,603.3725,603.3725
110,actif_liquide,68,48.905,24.6679,7.9386,10.9534,26.1764,50.7139,72.6271,80.3902,80.3902,80.3902
110,actif_total,68,363.1681,230.6719,11.9913,36.4859,137.2817,356.9476,590.1903,678.7627,678.7627,678.7627
110,ratio_L_P,68,0.2136,0.1388,0.1332,0.1332,0.139,0.163,0.2255,0.3587,0.7849,0.9937
110,taux_interne,68,0.0419,0.0322,0.0204,0.0204,0.0219,0.0283,0.0464,0.0905,0.1547,0.1713
110,levier_entite,68,0.8647,0.0278,0.7107,0.8368,0.8457,0.8719,0.8854,0.8889,0.8889,0.8889
120,passif_total,73,347.1093,215.7501,8.5224,54.7642,159.8853,352.2497,555.0125,642.6344,642.6344,642.6344
120,actif_liquide,73,52.0631,25.1594,7.9578,15.9621,32.3684,55.2077,75.7758,84.0743,84.0743,84.0743
120,actif_total,73,394.1723,240.812,11.9913,65.7264,187.2537,402.4574,625.7883,721.7087,721.7087,721.7087
120,ratio_L_P,73,0.2001,0.1238,0.1308,0.1308,0.1365,0.1567,0.2024,0.2915,0.6706,0.9937
120,taux_interne,73,0.0382,0.0283,0.0197,0.0197,0.0212,0.0266,0.0395,0.0676,0.1422,0.1713
120,levier_entite,73,0.8668,0.0272,0.7107,0.8358,0.8538,0.8752,0.8869,0.8904,0.8904,0.8904
130,passif_total,83,352.6709,232.6579,8.5224,27.7593,129.3377,364.6258,557.2792,677.6723,677.6723,677.6723
130,actif_liquide,83,52.2554,27.1173,7.9386,10.3405,28.116,56.536,75.9932,87.3195,87.3195,87.3195
130,actif_total,83,399.9263,259.6616,11.9913,33.0998,152.4537,416.1618,628.2724,759.9918,759.9918,759.9918
130,ratio_L_P,83,0.2077,0.1324,0.1289,0.1289,0.1364,0.1551,0.2174,0.3729,0.7382,0.9937
130,taux_interne,83,0.0406,0.0317,0.0192,0.0192,0.0212,0.0262,0.044,0.095,0.151,0.1713
130,levier_entite,83,0.8671,0.0273,0.7107,0.8393,0.8484,0.8762,0.887,0.8917,0.8917,0.8917
140,passif_total,87,384.0867,236.1257,8.5224,59.3408,166.144,424.378,594.9901,708.7888,708.7888,708.7888
140,actif_liquide,87,55.9432,26.7456,7.9578,16.8257,33.2075,62.7951,79.5966,90.1704,90.1704,90.1704
140,actif_total,87,435.0299,262.7751,11.9913,71.1665,194.3515,482.1732,669.5867,793.9592,793.9592,793.9592
140,ratio_L_P,87,0.1917,0.1171,0.1272,0.1272,0.1338,0.148,0.1999,0.2835,0.6077,0.9937
140,taux_interne,87,0.0359,0.0267,0.0188,0.0188,0.0205,0.0243,0.0388,0.0649,0.1365,0.1713
140,levier_entite,87,0.8692,0.0268,0.7107,0.8343,0.8549,0.8801,0.8886,0.8927,0.8927,0.8927
150,passif_total,99,382.2099,252.9671,8.5224,27.0659,126.3732,376.8703,621.5752,736.3118,736.3118,736.3118
150,actif_liquide,99,55.2806,28.8493,7.9386,10.1873,27.6858,57.8387,82.1047,92.6693,92.6693,92.6693
150,actif_total,99,432.4905,281.6981,11.9913,32.2532,149.059,429.709,698.6798,823.9812,823.9812,823.9812
150,ratio_L_P,99,0.2251,0.192,0.1259,0.1259,0.1321,0.1535,0.2191,0.3764,0.9937,0.9937
150,taux_interne,99,0.042,0.0388,0.0184,0.0184,0.0201,0.0258,0.0445,0.0961,0.1713,0.1713
150,levier_entite,99,0.8644,0.0387,0.7107,0.8328,0.8478,0.877,0.8896,0.8936,0.8936,0.8936
160,passif_total,107,398.5801,258.6336,11.6386,41.9275,169.2933,412.7349,642.6344,756.4014,760.5753,760.5753
160,actif_liquide,107,57.0191,29.153,7.9386,13.4047,33.6249,61.594,84.0743,94.4804,94.8556,94.8556
160,actif_total,107,450.5991,287.6726,14.5772,50.3321,197.9182,469.3289,721.7087,845.8818,850.4309,850.4309
160,ratio_L_P,107,0.1904,0.096,0.1247,0.1249,0.1308,0.1492,0.1986,0.3197,0.5449,0.6821
160,taux_interne,107,0.0366,0.0265,0.0181,0.0182,0.0197,0.0246,0.0384,0.0772,0.1308,0.1466
