# Données détaillées de chaque cascade de faillites
pas,nb_entites_faillie,volume_actifs_detruits,volume_creances_annulees,volume_passif_efface,actif_systeme_avant,passif_systeme_avant,liquidite_systeme_avant,nb_entites_avant,ratio_destruction,ratio_contagion,nb_contamines,nb_deja_fragiles,passif_median_faille
81,1,13.6922,0.0,14.1615,13.6922,14.1615,7.5307,1,1.0,0.0,0,1,14.1615
82,2,27.3845,0.0,28.323,27.3845,28.323,15.0615,2,1.0,0.0,0,2,14.1615
84,1,13.6922,0.0,14.1615,13.6922,14.1615,7.5307,1,1.0,0.0,0,1,14.1615
85,1,13.6922,0.0,14.1615,13.6922,14.1615,7.5307,1,1.0,0.0,0,1,14.1615
86,2,27.3845,0.0,28.323,27.3845,28.323,15.0615,2,1.0,0.0,0,2,14.1615
88,3,41.0767,0.0,42.4845,41.0767,42.4845,22.5922,3,1.0,0.0,0,3,14.1615
90,3,41.0767,0.0,42.4845,41.0767,42.4845,22.5922,3,1.0,0.0,0,3,14.1615
91,4,54.7689,0.0,56.646,54.7689,56.646,30.1229,4,1.0,0.0,0,4,14.1615
92,1,13.6922,0.0,14.1615,13.6922,14.1615,7.5307,1,1.0,0.0,0,1,14.1615
94,1,13.6922,0.0,14.1615,13.6922,14.1615,7.5307,1,1.0,0.0,0,1,14.1615
95,3,41.0767,0.0,42.4845,41.0767,42.4845,22.5922,3,1.0,0.0,0,3,14.1615
96,1,13.6922,0.0,14.1615,13.6922,14.1615,7.5307,1,1.0,0.0,0,1,14.1615
97,4,54.7689,0.0,56.646,54.7689,56.646,30.1229,4,1.0,0.0,0,4,14.1615
98,1,13.6922,0.0,14.1615,13.6922,14.1615,7.5307,1,1.0,0.0,0,1,14.1615
101,3,41.0767,0.0,42.4845,41.0767,42.4845,22.5922,3,1.0,0.0,0,3,14.1615
102,2,27.3845,0.0,28.323,27.3845,28.323,15.0615,2,1.0,0.0,0,2,14.1615
103,1,13.6922,0.0,14.1615,13.6922,14.1615,7.5307,1,1.0,0.0,0,1,14.1615
105,2,27.3845,0.0,28.323,27.3845,28.323,15.0615,2,1.0,0.0,0,2,14.1615
106,2,27.3845,0.0,28.323,27.3845,28.323,15.0615,2,1.0,0.0,0,2,14.1615
107,2,27.3845,0.0,28.323,27.3845,28.323,15.0615,2,1.0,0.0,0,2,14.1615
108,1,13.6922,0.0,14.1615,13.6922,14.1615,7.5307,1,1.0,0.0,0,1,14.1615
110,1,13.6922,0.0,14.1615,13.6922,14.1615,7.5307,1,1.0,0.0,0,1,14.1615
111,2,27.3845,0.0,28.323,27.3845,28.323,15.0615,2,1.0,0.0,0,2,14.1615
114,1,13.6922,0.0,14.1615,13.6922,14.1615,7.5307,1,1.0,0.0,0,1,14.1615
116,4,54.7689,0.0,56.646,54.7689,56.646,30.1229,4,1.0,0.0,0,4,14.1615
117,1,13.6922,0.0,14.1615,13.6922,14.1615,7.5307,1,1.0,0.0,0,1,14.1615
119,1,13.6922,0.0,14.1615,13.6922,14.1615,7.5307,1,1.0,0.0,0,1,14.1615
121,2,27.3845,0.0,28.323,27.3845,28.323,15.0615,2,1.0,0.0,0,2,14.1615
122,1,13.6922,0.0,14.1615,13.6922,14.1615,7.5307,1,1.0,0.0,0,1,14.1615
124,3,41.0767,0.0,42.4845,41.0767,42.4845,22.5922,3,1.0,0.0,0,3,14.1615
126,4,54.7689,0.0,56.646,54.7689,56.646,30.1229,4,1.0,0.0,0,4,14.1615
127,1,13.6922,0.0,14.1615,13.6922,14.1615,7.5307,1,1.0,0.0,0,1,14.1615
128,1,13.6922,0.0,14.1615,13.6922,14.1615,7.5307,1,1.0,0.0,0,1,14.1615
130,2,27.3845,0.0,28.323,27.3845,28.323,15.0615,2,1.0,0.0,0,2,14.1615
131,3,41.0767,0.0,42.4845,41.0767,42.4845,22.5922,3,1.0,0.0,0,3,14.1615
132,1,13.6922,0.0,14.1615,13.6922,14.1615,7.5307,1,1.0,0.0,0,1,14.1615
133,3,41.0767,0.0,42.4845,41.0767,42.4845,22.5922,3,1.0,0.0,0,3,14.1615
134,1,13.6922,0.0,14.1615,13.6922,14.1615,7.5307,1,1.0,0.0,0,1,14.1615
135,2,27.3845,0.0,28.323,27.3845,28.323,15.0615,2,1.0,0.0,0,2,14.1615
137,1,13.6922,0.0,14.1615,13.6922,14.1615,7.5307,1,1.0,0.0,0,1,14.1615
138,1,13.6922,0.0,14.1615,13.6922,14.1615,7.5307,1,1.0,0.0,0,1,14.1615
140,1,13.6922,0.0,14.1615,13.6922,14.1615,7.5307,1,1.0,0.0,0,1,14.1615
141,3,41.0767,0.0,42.4845,41.0767,42.4845,22.5922,3,1.0,0.0,0,3,14.1615
142,2,27.3845,0.0,28.323,27.3845,28.323,15.0615,2,1.0,0.0,0,2,14.1615
143,1,13.6922,0.0,14.1615,13.6922,14.1615,7.5307,1,1.0,0.0,0,1,14.1615
144,3,41.0767,0.0,42.4845,41.0767,42.4845,22.5922,3,1.0,0.0,0,3,14.1615
146,2,27.3845,0.0,28.323,27.3845,28.323,15.0615,2,1.0,0.0,0,2,14.1615
147,1,13.6922,0.0,14.1615,13.6922,14.1615,7.5307,1,1.0,0.0,0,1,14.1615
148,1,13.6922,0.0,14.1615,13.6922,14.1615,7.5307,1,1.0,0.0,0,1,14.1615
149,3,41.0767,0.0,42.4845,41.0767,42.4845,22.5922,3,1.0,0.0,0,3,14.1615
150,3,41.0767,0.0,42.4845,41.0767,42.4845,22.5922,3,1.0,0.0,0,3,14.1615
151,1,13.6922,0.0,14.1615,13.6922,14.1615,7.5307,1,1.0,0.0,0,1,14.1615
152,2,27.3845,0.0,28.323,27.3845,28.323,15.0615,2,1.0,0.0,0,2,14.1615
154,4,54.7689,0.0,56.646,54.7689,56.646,30.1229,4,1.0,0.0,0,4,14.1615
155,1,13.6922,0.0,14.1615,13.6922,14.1615,7.5307,1,1.0,0.0,0,1,14.1615
156,1,13.6922,0.0,14.1615,13.6922,14.1615,7.5307,1,1.0,0.0,0,1,14.1615
158,2,27.3845,0.0,28.323,27.3845,28.323,15.0615,2,1.0,0.0,0,2,14.1615
160,1,13.6922,0.0,14.1615,13.6922,14.1615,7.5307,1,1.0,0.0,0,1,14.1615
