# Statistiques résumées des distributions par grandeur et par pas
step,name,n,mean,std,min,q10,q25,median,q75,q90,q99,max
80,levier_entite,338,0.8691,0.0448,0.661,0.8765,0.8821,0.8821,0.8821,0.8821,0.9087,0.9437
90,passif_total,345,477.947,87.7295,94.1537,342.3922,511.2809,511.2809,511.2809,511.2809,511.2809,511.5825
90,actif_liquide,345,66.7613,13.2765,10.094,41.0255,71.5217,71.5217,71.5217,71.5217,78.3917,80.3931
90,actif_total,345,552.3587,108.8303,104.6733,388.817,577.8026,577.8026,577.8026,594.692,757.4377,789.5162
90,ratio_L_P,345,0.1399,0.0135,0.05,0.1399,0.1399,0.1399,0.1399,0.1508,0.1613,0.1648
90,taux_interne,345,0.0234,0.0039,0.0221,0.0221,0.0221,0.0221,0.0221,0.027,0.0393,0.0515
90,levier_entite,345,0.8697,0.0491,0.6215,0.8023,0.8849,0.8849,0.8849,0.8849,0.9138,0.9678
100,passif_total,348,523.5519,95.5479,176.2555,363.3605,559.6388,559.6388,559.6388,559.6388,571.8319,579.3357
100,actif_liquide,348,71.8788,13.1707,11.0414,45.4757,76.2212,76.2212,76.2212,76.2212,84.3722,90.5219
100,actif_total,348,605.0282,121.5,183.4872,411.1582,630.8599,630.8599,630.8599,665.9404,874.6302,910.8617
100,ratio_L_P,348,0.1377,0.0094,0.05,0.1362,0.1362,0.1362,0.1362,0.146,0.1572,0.1597
100,taux_interne,348,0.0223,0.0034,0.0208,0.0211,0.0211,0.0211,0.0211,0.0263,0.0362,0.0377
100,levier_entite,348,0.8703,0.0517,0.5914,0.8039,0.8871,0.8871,0.8871,0.8871,0.8948,0.9671
110,passif_total,350,566.4758,101.1443,205.3606,352.0777,603.3725,603.3725,603.3725,603.3725,635.4179,639.1793
110,actif_liquide,350,76.5709,13.1843,31.4906,49.6229,80.3902,80.3902,80.3902,81.9809,95.5874,99.0848
110,actif_total,350,654.2382,132.8961,231.8512,396.7006,678.7627,678.7627,678.7627,730.5644,993.6719,1040.8752
110,ratio_L_P,350,0.1356,0.0051,0.1313,0.1332,0.1332,0.1332,0.1332,0.143,0.1551,0.1567
110,taux_interne,350,0.0214,0.0031,0.0198,0.0204,0.0204,0.0204,0.0204,0.0266,0.033,0.0349
110,levier_entite,350,0.8716,0.0533,0.5935,0.8147,0.8889,0.8889,0.8889,0.8889,0.8956,0.8994
120,passif_total,357,598.4398,112.2088,239.7596,368.2004,642.6344,642.6344,642.6344,642.6344,667.7681,668.0441
120,actif_liquide,357,78.6128,15.2301,19.1435,49.859,84.0743,84.0743,84.0743,84.0743,97.6287,104.184
120,actif_total,357,693.216,152.801,270.4828,414.4039,721.7087,721.7087,721.7087,788.6349,1118.6929,1181.7795
120,ratio_L_P,357,0.1316,0.0093,0.05,0.1308,0.1308,0.1308,0.1308,0.1384,0.1502,0.156
120,taux_interne,357,0.0209,0.003,0.0193,0.0197,0.0197,0.0197,0.0197,0.0261,0.0308,0.0323
120,levier_entite,357,0.8713,0.0616,0.556,0.8152,0.8904,0.8904,0.8904,0.8904,0.902,0.9479
130,passif_total,360,631.6849,118.9746,266.6088,386.8778,677.6723,677.6723,677.6723,677.6723,727.4113,738.6988
130,actif_liquide,360,82.4228,15.3365,30.4937,52.9138,87.3195,87.3195,87.3195,90.0995,104.8851,110.1842
130,actif_total,360,732.6472,168.5425,297.6439,434.8674,759.9918,759.9918,759.9918,840.4082,1254.6075,1335.0146
130,ratio_L_P,360,0.1307,0.0049,0.0993,0.1289,0.1289,0.1289,0.1311,0.1365,0.1473,0.1558
130,taux_interne,360,0.0203,0.0029,0.0184,0.0192,0.0192,0.0192,0.0192,0.0254,0.0294,0.0306
130,levier_entite,360,0.8717,0.065,0.5257,0.8215,0.8917,0.8917,0.8917,0.8917,0.8983,0.9233
140,passif_total,367,656.0983,129.1327,284.543,370.3426,708.7888,708.7888,708.7888,714.6926,750.0514,769.6246
140,actif_liquide,367,83.2305,17.2309,26.4347,47.6333,90.1704,90.1704,90.1704,90.1704,106.0374,115.5932
140,actif_total,367,763.2754,190.218,315.1237,414.0102,793.9592,793.9592,793.9592,886.2793,1393.4753,1500.3255
140,ratio_L_P,367,0.127,0.0099,0.05,0.1272,0.1272,0.1272,0.1272,0.1332,0.1421,0.1542
140,taux_interne,367,0.02,0.0029,0.018,0.0187,0.0188,0.0188,0.0188,0.026,0.0287,0.0296
140,levier_entite,367,0.8716,0.0711,0.4986,0.8264,0.8927,0.8927,0.8927,0.8927,0.9278,0.9354
150,passif_total,374,676.3545,140.1471,235.6056,368.1792,736.3118,736.3118,736.3118,747.7151,774.2335,785.0898
150,actif_liquide,374,85.1508,18.7245,11.9913,47.6485,92.6693,92.6693,92.6693,92.6693,108.3274,122.4433
150,actif_total,374,790.4838,215.2317,259.8053,413.6568,823.9812,823.9812,823.9812,924.3232,1550.313,1684.2761
150,ratio_L_P,374,0.126,0.0107,0.0349,0.1259,0.1259,0.1259,0.1267,0.1319,0.1413,0.1563
150,taux_interne,374,0.0197,0.0031,0.0178,0.0183,0.0184,0.0184,0.0184,0.0261,0.0284,0.0326
150,levier_entite,374,0.8708,0.0784,0.452,0.8304,0.8936,0.8936,0.8936,0.8936,0.9071,0.9801
160,passif_total,378,698.5012,147.8751,256.0526,386.4574,760.5753,760.5753,760.5753,771.888,838.5422,845.5293
160,actif_liquide,378,88.0886,19.2651,17.1585,49.8526,94.8556,94.8556,94.8556,96.2737,118.9098,136.3138
160,actif_total,378,818.7113,238.5587,275.596,431.2532,850.4309,850.4309,850.4309,957.6704,1727.011,1892.1855
160,ratio_L_P,378,0.1262,0.0073,0.05,0.1247,0.1247,0.1247,0.1265,0.1316,0.145,0.1615
160,taux_interne,378,0.0194,0.003,0.0172,0.018,0.0181,0.0181,0.0181,0.0254,0.0283,0.0312
160,levier_entite,378,0.8709,0.0812,0.4358,0.8336,0.8943,0.8943,0.8943,0.8956,0.904,0.9559
170,passif_total,383,717.1706,156.659,270.4734,394.3362,781.9055,781.9055,781.9055,818.3153,889.6645,913.3241
170,actif_liquide,383,89.4541,20.1252,20.4808,50.5788,96.7652,96.7652,96.7652,96.7652,126.0283,148.1805
170,actif_total,383,842.5664,264.2049,285.9542,439.507,873.6707,873.6707,873.6707,988.1114,1906.0383,2119.4436
170,ratio_L_P,383,0.1248,0.0068,0.0757,0.1238,0.1238,0.1238,0.1252,0.1291,0.1434,0.1622
