step,n_entities_alive,n_entities_total,n_spawned,extraction_total,interest_paid_total,credit_transactions,auto_invest_total,n_failures,destroyed_assets,redirected_claims,volume_prets_actifs,n_prets_actifs,actif_total_systeme,passif_total_systeme,liquidite_totale,mean_passif,mean_internal_rate
45,29,29,0,417.2811,87.2122,1,299.2881,0,0.0,0.0,2098.7654,55,8902.9885,6250.8843,698.3389,215.5477,0.034189
46,30,30,1,427.4575,88.8559,3,277.2994,0,0.0,0.0,2287.5146,58,9384.3617,6599.8152,647.0318,219.9938,0.03385
47,31,31,1,446.5989,94.972,3,267.3189,0,0.0,0.0,2478.0097,61,9880.3867,6933.6329,623.7441,223.6656,0.033574
48,31,31,0,462.9722,101.0542,1,302.5421,0,0.0,0.0,2534.5181,62,10242.5603,7157.1107,705.9315,230.8745,0.033051
49,31,31,0,470.3506,102.824,1,327.1425,0,0.0,0.0,2596.7995,63,10611.6244,7406.4924,763.3326,238.9191,0.032497
50,32,32,1,480.6742,104.729,2,327.0927,0,0.0,0.0,2735.4172,65,11070.8064,7732.1729,763.2162,241.6304,0.032406
51,32,32,0,496.2557,108.8989,0,370.2847,0,0.0,0.0,2735.4172,65,11390.4292,7951.0142,863.9977,248.4692,0.031987
52,32,32,0,503.0732,108.8989,2,358.7683,0,0.0,0.0,2879.2523,67,11854.1757,8297.7973,837.1261,259.3062,0.031236
53,33,33,1,516.5151,113.1064,1,377.1635,0,0.0,0.0,2958.4091,68,12269.8189,8596.3617,880.0481,260.4958,0.031552
54,34,34,1,532.2433,115.3948,2,371.5185,0,0.0,0.0,3113.8599,70,12770.44,8959.7037,866.8764,263.5207,0.031433
55,35,35,1,551.0792,119.8069,3,348.4232,0,0.0,0.0,3351.8457,73,13365.1518,9375.3187,812.9874,267.8662,0.030962
56,36,36,1,572.6437,126.4465,1,386.9749,0,0.0,0.0,3429.6481,74,13813.6789,9661.0895,902.9413,268.3636,0.031299
57,36,36,0,585.6208,128.5879,1,413.1554,0,0.0,0.0,3511.2544,75,14261.513,9966.2294,964.0292,276.8397,0.030551
58,38,38,2,600.3281,130.8032,2,413.3572,0,0.0,0.0,3686.0672,77,14829.2423,10368.6749,964.5001,272.8599,0.031342
