step,n_entities_alive,n_entities_total,n_spawned,extraction_total,interest_paid_total,amortissement_total,credit_transactions,auto_invest_total,n_failures,destroyed_assets,redirected_claims,volume_prets_actifs,n_prets_actifs,actif_total_systeme,passif_total_systeme,liquidite_totale,mean_passif,mean_internal_rate
763,12,7795,12,295.1355,0.0,0.0,0,1210.3374,8,0.0,0.0,0,0,2534.6747,3490.3374,1324.3374,290.8614,0.028405
764,15,7810,15,402.9281,0.0,0.0,0,1514.9366,12,0.0,0.0,0,0,3172.3731,4364.9366,1657.4366,290.9958,0.028974
765,10,7820,10,389.6403,0.0,0.0,0,1010.2819,15,0.0,0.0,0,0,2115.5639,2910.2819,1105.2819,291.0282,0.02911
766,11,7831,11,320.1411,0.0,0.0,0,1111.1543,10,0.0,0.0,0,0,2326.8086,3201.1543,1215.6543,291.014,0.029053
767,13,7844,13,355.1524,0.0,0.0,0,1309.3327,11,0.0,0.0,0,0,2742.1653,3779.3327,1432.8327,290.7179,0.027794
768,9,7853,9,340.6337,0.0,0.0,0,912.8318,13,0.0,0.0,0,0,1911.1637,2622.8318,998.3318,291.4258,0.030801
769,5,7858,5,228.5418,0.0,0.0,0,504.3626,9,0.0,0.0,0,0,1056.2253,1454.3626,551.8626,290.8725,0.02845
770,7,7865,7,185.2798,0.0,0.0,0,710.4118,5,0.0,0.0,0,0,1487.3236,2040.4118,776.9118,291.4874,0.03106
771,13,7878,13,308.969,0.0,0.0,0,1315.419,7,0.0,0.0,0,0,2754.3379,3785.419,1438.919,291.1861,0.029781
772,5,7883,5,291.9849,0.0,0.0,0,504.0865,13,0.0,0.0,0,0,1055.6731,1454.0865,551.5865,290.8173,0.028219
773,8,7891,8,191.8952,0.0,0.0,0,808.3076,5,0.0,0.0,0,0,1692.6151,2328.3076,884.3076,291.0384,0.029155
774,15,7906,15,341.8926,0.0,0.0,0,1515.8021,8,0.0,0.0,0,0,3174.1041,4365.8021,1658.3021,291.0535,0.02922
775,10,7916,10,385.5667,0.0,0.0,0,1007.0145,15,0.0,0.0,0,0,2109.0289,2907.0145,1102.0145,290.7014,0.027725
776,15,7931,15,364.9303,0.0,0.0,0,1514.5383,10,0.0,0.0,0,0,3171.5767,4364.5383,1657.0383,290.9692,0.028861
777,13,7944,13,442.5775,0.0,0.0,0,1319.5893,15,0.0,0.0,0,0,2762.6787,3789.5893,1443.0893,291.5069,0.031143
778,9,7953,9,355.2145,0.0,0.0,0,907.2266,13,0.0,0.0,0,0,1899.9531,2617.2266,992.7266,290.803,0.028154
779,7,7960,7,244.8183,0.0,0.0,0,707.9412,9,0.0,0.0,0,0,1482.3823,2037.9412,774.4412,291.1345,0.029566
780,12,7972,12,294.1726,0.0,0.0,0,1216.999,7,0.0,0.0,0,0,2547.998,3496.999,1330.999,291.4166,0.030761
781,8,7980,8,330.3911,0.0,0.0,0,810.9921,12,0.0,0.0,0,0,1697.9842,2330.9921,886.9921,291.374,0.03058
782,10,7990,10,279.347,0.0,0.0,0,1010.0376,8,0.0,0.0,0,0,2115.0752,2910.0376,1105.0376,291.0038,0.029008
783,18,8008,18,412.0015,0.0,0.0,0,1816.9836,10,0.0,0.0,0,0,3804.9672,5236.9836,1987.9836,290.9435,0.02875
784,11,8019,11,447.7119,0.0,0.0,0,1109.2325,18,0.0,0.0,0,0,2322.9651,3199.2325,1213.7325,290.8393,0.02831
785,9,8028,9,309.514,0.0,0.0,0,911.8461,11,0.0,0.0,0,0,1909.1922,2621.8461,997.3461,291.3162,0.030332
786,5,8033,5,228.222,0.0,0.0,0,505.5864,9,0.0,0.0,0,0,1058.6728,1455.5864,553.0864,291.1173,0.029489
787,8,8041,8,190.9682,0.0,0.0,0,805.928,5,0.0,0.0,0,0,1687.8561,2325.928,881.928,290.741,0.027895
788,10,8051,10,265.8916,0.0,0.0,0,1009.9386,8,0.0,0.0,0,0,2114.8772,2909.9386,1104.9386,290.9939,0.028963
789,11,8062,11,315.0012,0.0,0.0,0,1109.1313,10,0.0,0.0,0,0,2322.7626,3199.1313,1213.6313,290.8301,0.02827
790,13,8075,13,360.2146,0.0,0.0,0,1314.1695,11,0.0,0.0,0,0,2751.8391,3784.1695,1437.6695,291.09,0.029373
791,10,8085,10,361.952,0.0,0.0,0,1011.7536,13,0.0,0.0,0,0,2118.5073,2911.7536,1106.7536,291.1754,0.029735
792,10,8095,10,305.4405,0.0,0.0,0,1008.0562,10,0.0,0.0,0,0,2111.1123,2908.0562,1103.0562,290.8056,0.028167
793,15,8110,15,374.8628,0.0,0.0,0,1518.1603,10,0.0,0.0,0,0,3178.8205,4368.1603,1660.6603,291.2107,0.029888
794,12,8122,12,420.0688,0.0,0.0,0,1209.5744,15,0.0,0.0,0,0,2533.1489,3489.5744,1323.5744,290.7979,0.028133
795,15,8137,15,401.383,0.0,0.0,0,1515.1738,12,0.0,0.0,0,0,3172.8476,4365.1738,1657.6738,291.0116,0.029042
796,15,8152,15,462.5178,0.0,0.0,0,1517.2507,15,0.0,0.0,0,0,3177.0013,4367.2507,1659.7507,291.15,0.029629
797,6,8158,6,334.0676,0.0,0.0,0,602.5192,15,0.0,0.0,0,0,1262.0385,1742.5192,659.5192,290.4199,0.026528
798,12,8170,12,248.4842,0.0,0.0,0,1208.1837,6,0.0,0.0,0,0,2530.3674,3488.1837,1322.1837,290.682,0.027642
799,9,8179,9,309.9557,0.0,0.0,0,906.39,12,0.0,0.0,0,0,1898.2799,2616.39,991.89,290.71,0.027761
800,7,8186,7,242.2377,0.0,0.0,0,707.6342,9,0.0,0.0,0,0,1481.7684,2037.6342,774.1342,291.0906,0.029377
801,8,8194,8,234.0913,0.0,0.0,0,810.5892,7,0.0,0.0,0,0,1697.1783,2330.5892,886.5892,291.3236,0.030364
802,8,8202,8,258.8763,0.0,0.0,0,812.0654,8,0.0,0.0,0,0,1700.1307,2332.0654,888.0654,291.5082,0.031148
803,6,8208,6,228.0852,0.0,0.0,0,606.3059,8,0.0,0.0,0,0,1269.6118,1746.3059,663.3059,291.051,0.029207
804,6,8214,6,185.771,0.0,0.0,0,606.9303,6,0.0,0.0,0,0,1270.8607,1746.9303,663.9303,291.1551,0.029649
805,7,8221,7,208.1638,0.0,0.0,0,711.409,6,0.0,0.0,0,0,1489.3181,2041.409,777.909,291.6299,0.031664
806,12,8233,12,296.5011,0.0,0.0,0,1213.6356,7,0.0,0.0,0,0,2541.2712,3493.6356,1327.6356,291.1363,0.029572
807,22,8255,22,508.4624,0.0,0.0,0,2222.9478,12,0.0,0.0,0,0,4654.8955,6402.9478,2431.9478,291.0431,0.029175
808,2,8257,2,402.3739,0.0,0.0,0,202.427,22,0.0,0.0,0,0,423.854,582.427,221.427,291.2135,0.029892
809,13,8270,13,212.9846,0.0,0.0,0,1313.3544,2,0.0,0.0,0,0,2750.2088,3783.3544,1436.8544,291.0273,0.029109
810,7,8277,7,313.3976,0.0,0.0,0,705.8159,13,0.0,0.0,0,0,1478.1317,2035.8159,772.3159,290.8308,0.028276
811,8,8285,8,228.9176,0.0,0.0,0,810.536,7,0.0,0.0,0,0,1697.072,2330.536,886.536,291.317,0.030339
812,15,8300,15,348.2468,0.0,0.0,0,1516.0754,8,0.0,0.0,0,0,3174.6507,4366.0754,1658.5754,291.0717,0.029296
813,10,8310,10,395.707,0.0,0.0,0,1011.7516,15,0.0,0.0,0,0,2118.5032,2911.7516,1106.7516,291.1752,0.029736
814,6,8316,6,257.6365,0.0,0.0,0,607.1808,10,0.0,0.0,0,0,1271.3616,1747.1808,664.1808,291.1968,0.029828
815,12,8328,12,270.9512,0.0,0.0,0,1213.7599,6,0.0,0.0,0,0,2541.5198,3493.7599,1327.7599,291.1467,0.029616
816,7,8335,7,301.3699,0.0,0.0,0,706.3779,12,0.0,0.0,0,0,1479.2558,2036.3779,772.8779,290.9111,0.028615
817,7,8342,7,207.913,0.0,0.0,0,704.915,7,0.0,0.0,0,0,1476.3299,2034.915,771.415,290.7021,0.027728
818,12,8354,12,276.2223,0.0,0.0,0,1211.8028,7,0.0,0.0,0,0,2537.6056,3491.8028,1325.8028,290.9836,0.028923
819,8,8362,8,322.5011,0.0,0.0,0,813.5676,12,0.0,0.0,0,0,1703.1352,2333.5676,889.5676,291.6959,0.031945
820,9,8371,9,274.5516,0.0,0.0,0,910.099,8,0.0,0.0,0,0,1905.698,2620.099,995.599,291.1221,0.029511
821,10,8381,10,296.0867,0.0,0.0,0,1012.6407,9,0.0,0.0,0,0,2120.2813,2912.6407,1107.6407,291.2641,0.030115
822,5,8386,5,252.626,0.0,0.0,0,509.5816,10,0.0,0.0,0,0,1066.6632,1459.5816,557.0816,291.9163,0.03288
823,8,8394,8,206.9872,0.0,0.0,0,808.9534,5,0.0,0.0,0,0,1693.9067,2328.9534,884.9534,291.1192,0.029499
824,15,8409,15,345.0915,0.0,0.0,0,1516.5253,8,0.0,0.0,0,0,3175.5507,4366.5253,1659.0253,291.1017,0.029424
825,10,8419,10,384.8912,0.0,0.0,0,1005.8046,15,0.0,0.0,0,0,2106.6093,2905.8046,1100.8046,290.5805,0.027212
826,11,8430,11,306.9079,0.0,0.0,0,1110.442,10,0.0,0.0,0,0,2325.384,3200.442,1214.942,290.9493,0.028777
827,9,8439,9,303.9566,0.0,0.0,0,907.3071,11,0.0,0.0,0,0,1900.1142,2617.3071,992.8071,290.8119,0.028193
828,13,8452,13,328.0414,0.0,0.0,0,1314.4048,9,0.0,0.0,0,0,2752.3096,3784.4048,1437.9048,291.1081,0.029449
