step,volume_joules,nb_entites,ratio_destruction
214,2850.1325,13,0.599656
215,1951.6049,9,0.415308
216,2817.2261,13,0.655928
217,1513.0168,7,0.393237
218,2404.1427,11,0.586832
219,1737.7907,8,0.353902
220,3254.9145,15,0.6874
221,1518.8033,7,0.472954
222,1737.2204,8,0.32613
223,3676.2663,17,0.591488
224,2606.9749,12,0.637379
225,1524.716,7,0.644262
226,858.7823,4,0.269636
227,2385.9689,11,0.693172
228,1082.0403,5,0.362692
229,1948.266,9,0.433237
230,2627.4745,12,0.453779
231,3233.4034,15,0.581668
232,2384.6206,11,0.58618
233,1716.7752,8,0.367301
234,3029.4803,14,0.58884
235,2170.7933,10,0.561361
236,1745.2604,8,0.578417
237,1308.7903,6,0.507486
238,1304.8232,6,0.506659
239,1305.0388,6,0.407217
240,1944.7709,9,0.414076
241,2826.0988,13,0.506638
242,2826.228,13,0.596915
243,1963.9548,9,0.398335
244,3050.3457,14,0.526142
245,2816.0076,13,0.571046
246,2170.7605,10,0.532431
247,1959.304,9,0.434882
248,2621.6391,12,0.553841
249,2163.1687,10,0.505124
250,2179.3808,10,0.633031
251,1289.504,6,0.43281
252,1731.3823,8,0.42692
253,2381.5736,11,0.555446
254,1958.4421,9,0.754848
255,654.5885,3,0.181211
256,3030.9273,14,0.506143
257,3030.1616,14,0.671694
258,1520.2541,7,0.444087
259,1952.0712,9,0.567898
260,1529.5728,7,0.474298
261,1743.4953,8,0.339827
262,3477.9098,16,0.62124
263,2182.3683,10,0.423925
264,3048.4798,14,0.565831
265,2414.6952,11,0.656034
266,1295.4149,6,0.356556
267,2411.9148,11,0.466833
268,2832.1883,13,0.506861
269,2834.481,13,0.598587
270,1947.1302,9,0.454731
271,2405.1919,11,0.558631
272,1945.8676,9,0.413478
273,2844.6479,13,0.472002
274,3275.7811,15,0.659822
275,1729.1616,8,0.505062
276,1741.3281,8,0.354911
277,3239.1894,15,0.60457
278,2178.3994,10,0.532701
279,1969.6207,9,0.57148
280,1510.9731,7,0.471266
281,1743.0945,8,0.621868
282,1090.134,5,0.300525
283,2602.6695,12,0.450058
284,3272.2478,15,0.542544
285,2841.8302,13,0.441088
286,3701.2417,17,0.612922
287,2411.0733,11,0.38754
288,3913.6542,18,0.725709
289,1516.0979,7,0.373949
290,2604.5689,12,0.467594
291,3048.1774,14,0.545974
292,2597.3688,12,0.433399
293,3497.9089,16,0.673336
294,1747.3354,8,0.427938
295,2407.2633,11,0.587196
296,1736.7121,8,0.425917
297,2418.8155,11,0.449047
298,3052.9601,14,0.74164
299,1098.1995,5,0.256885
300,3265.1093,15,0.794614
301,863.7877,4,0.238721
302,2831.9081,13,0.691081
303,1295.2373,6,0.43413
304,1727.8284,8,0.385572
305,2829.7065,13,0.598051
306,1949.432,9,0.479422
307,2174.147,10,0.630713
308,1310.5235,6,0.408539
309,1939.3397,9,0.454885
310,2382.0414,11,0.445241
311,3052.9631,14,0.525281
312,2841.513,13,0.550178
313,2379.6946,11,0.652361
314,1299.9884,6,0.434371
315,1738.041,8,0.53932
316,1527.7775,7,0.376043
317,2597.6722,12,0.604999
318,1744.8282,8,0.621823
319,1093.0296,5,0.283835
320,2839.9451,13,0.598767
321,1951.7775,9,0.568086
322,1526.7203,7,0.508517
323,1508.052,7,0.372142
324,2618.0999,12,0.552668
325,2179.2579,10,0.720487
326,866.6888,4,0.449368
327,1094.7228,5,0.365047
328,1954.6097,9,0.415191
329,2829.2539,13,0.656779
330,1514.7087,7,0.323303
331,3250.5147,15,0.754762
332,1082.0833,5,0.361955
333,1962.0895,9,0.649989
334,1082.5443,5,0.461437
335,1289.8922,6,0.252502
336,3931.8348,18,0.628468
337,2382.6374,11,0.506249
338,2380.8724,11,0.555405
339,1958.3779,9,0.607168
340,1297.8986,6,0.321056
341,2810.3125,13,0.624005
342,1739.2373,8,0.451209
343,2170.6472,10,0.561044
344,1749.973,8,0.370804
345,3056.6631,14,0.546421
346,2602.3753,12,0.710258
347,1094.2721,5,0.424707
348,1523.03,7,0.418545
349,2171.8273,10,0.594355
350,1522.7692,7,0.339549
351,3039.8313,14,0.615631
352,1940.6712,9,0.454838
353,2386.2517,11,0.483928
354,2619.0506,12,0.529881
355,2380.8481,11,0.483368
356,2619.435,12,0.55214
357,2191.4886,10,0.562511
358,1762.9497,8,0.328322
359,3713.8969,17,0.538565
360,3276.8961,15,0.720578
361,1305.9463,6,0.407317
362,1945.7607,9,0.455346
363,2388.9126,11,0.506128
364,2397.6182,11,0.557784
365,1946.7181,9,0.396593
366,3039.2613,14,0.6141
367,1966.8067,9,0.398987
368,3041.7094,14,0.544572
369,2616.8648,12,0.528509
370,2405.1647,11,0.557899
371,1958.6589,9,0.650111
372,1077.727,5,0.219917
373,3940.8234,18,0.628096
374,2402.0086,11,0.531025
375,2183.8149,10,0.632964
376,1296.0406,6,0.504066
377,1315.158,6,0.383921
378,2159.997,10,0.505337
379,2168.6657,10,0.482079
380,2394.1185,11,0.55789
381,1939.524,9,0.413592
382,2822.4669,13,0.526536
383,2604.33,12,0.449962
384,3279.943,15,0.543209
385,2840.5117,13,0.598583
386,1955.9622,9,0.435679
387,2593.6372,12,0.484808
388,2835.957,13,0.690878
389,1301.6529,6,0.380532
390,2179.0193,10,0.507862
391,2162.4559,10,0.531751
392,1954.6455,9,0.534846
393,1753.5573,8,0.54208
394,1520.5159,7,0.374571
395,2606.5938,12,0.636913
396,1531.2213,7,0.545466
397,1317.3233,6,0.383909
398,2167.9082,10,0.630499
399,1305.3091,6,0.339713
400,2602.205,12,0.505314
401,2625.297,12,0.529777
402,2395.1709,11,0.618176
403,1516.5424,7,0.373993
404,2605.086,12,0.435473
405,3457.0842,16,0.891606
406,427.8469,2,0.252242
407,1300.4874,6,0.434208
408,1741.7197,8,0.451177
409,2177.8491,10,0.562522
410,1739.9683,8,0.450411
411,2188.1189,10,0.775084
412,652.1608,3,0.170509
413,3255.3366,15,0.658946
414,1720.2499,8,0.618527
415,1092.8567,5,0.269298
416,3047.2026,14,0.673519
417,1511.4707,7,0.416317
418,2178.6813,10,0.407111
419,3256.3878,15,0.630413
420,1965.4159,9,0.537667
421,1731.5315,8,0.57742
422,1298.178,6,0.40513
423,1958.6403,9,0.569585
424,1518.2485,7,0.37433
425,2603.1816,12,0.486778
426,2810.2034,13,0.8699
427,428.1205,2,0.12604
428,3054.657,14,0.67358
429,1518.553,7,0.374115
430,2609.4982,12,0.451698
431,3244.3924,15,0.582049
432,2394.8632,11,0.506446
433,2403.4068,11,0.585543
434,1755.8174,8,0.508362
435,1749.5367,8,0.388522
