# Données détaillées de chaque cascade de faillites
step,nb_entites_faillie,volume_actifs_detruits,volume_creances_annulees,volume_passif_efface,actif_systeme_avant,passif_systeme_avant,liquidite_systeme_avant,nb_entites_avant,ratio_destruction,ratio_contagion,nb_contamines,nb_deja_fragiles,passif_median_failli
47,8,1734.1778,0.0,2246.7536,4061.2128,4336.7536,3334.4592,19,0.42701,0.0,0,8,281.0582
48,11,2387.7619,0.0,3090.1408,3868.1629,4420.1408,2868.0222,18,0.617286,0.0,0,11,280.5993
49,7,1518.9948,0.0,1966.2555,2372.29,2726.2555,1736.0346,11,0.640307,0.0,0,7,281.1572
50,4,883.9742,0.0,1126.8828,2361.4218,2456.8828,1994.5389,11,0.37434,0.0,0,4,282.0287
51,7,1512.6221,0.0,1964.9264,2991.7143,3294.9264,2356.7879,14,0.505604,0.0,0,7,280.775
52,7,1515.4414,0.0,1965.6665,3630.2598,3865.6665,2994.5933,17,0.417447,0.0,0,7,280.6809
53,10,2169.3761,0.0,2808.9183,4501.3371,4898.9183,3592.4188,21,0.48194,0.0,0,10,281.0353
54,11,2398.9813,0.0,3092.3574,4306.5672,4802.3574,3304.2098,20,0.557052,0.0,0,11,281.4607
55,9,1962.4518,0.0,2529.9386,4288.0428,4619.9386,3468.1041,20,0.457657,0.0,0,9,281.0956
56,11,2385.3563,0.0,3089.4909,4499.7963,4989.4909,3500.3053,21,0.530103,0.0,0,11,280.7448
57,10,2168.5785,0.0,2808.748,3646.4374,4138.748,2737.6894,17,0.594712,0.0,0,10,280.7362
58,7,1513.5469,0.0,1965.1115,2779.9929,3105.1115,2144.8814,13,0.544443,0.0,0,7,280.3734
59,6,1296.0591,0.0,1684.2507,3630.4163,3774.2507,3086.1656,17,0.357,0.0,0,6,280.7496
60,11,2404.4576,0.0,3093.4357,3253.7737,3853.4357,2250.3379,15,0.738975,0.0,0,11,281.4512
61,4,875.4682,0.0,1125.0922,3000.7179,3025.0922,2635.6257,14,0.291753,0.0,0,4,281.8115
62,10,2192.7166,0.0,2813.6124,3884.3769,4333.6124,2970.7645,18,0.564496,0.0,0,10,282.0
63,8,1735.4768,0.0,2247.0471,3633.9121,3957.0471,2906.865,17,0.477578,0.0,0,8,281.4255
64,9,1942.2028,0.0,2525.8209,4060.4368,4425.8209,3244.6159,19,0.478324,0.0,0,9,280.3892
65,10,2177.3917,0.0,2810.4553,5141.0071,5470.4553,4230.5518,24,0.423534,0.0,0,10,281.1862
66,14,3043.8204,0.0,3933.7769,6008.7012,6593.7769,4734.9243,28,0.506569,0.0,0,14,281.0212
67,14,3046.128,0.0,3934.3463,4313.3102,5074.3463,3038.9639,20,0.706216,0.0,0,14,281.1968
68,6,1297.8482,0.0,1684.582,3631.5152,3774.582,3086.9333,17,0.357385,0.0,0,6,280.6624
69,11,2402.7434,0.0,3093.1252,4298.8374,4803.1252,3295.7122,20,0.558929,0.0,0,11,281.3601
70,9,1936.6156,0.0,2524.7673,3203.099,3664.7673,2388.3317,15,0.604607,0.0,0,9,280.6751
