step,n_entities_alive,n_entities_total,n_spawned,extraction_total,interest_paid_total,credit_transactions,auto_invest_total,n_failures,destroyed_assets,redirected_claims,volume_prets_actifs,n_prets_actifs,actif_total_systeme,passif_total_systeme,liquidite_totale,mean_passif,mean_internal_rate
196,109,121,0,2967.1576,1792.3074,5,1121.2294,0,0.0,0.0,98456.5571,536,203992.9374,86744.9542,19336.4261,795.8253,0.018828
197,108,122,1,3013.4511,1832.8607,1,1284.2781,2,2043.6849,0.0,97046.2791,520,202787.2979,86287.8443,19993.1745,798.9615,0.018775
198,108,123,1,2991.6535,1794.3414,1,1396.181,1,1112.8477,0.0,96587.0339,511,202779.7734,86248.4991,20484.2405,798.5972,0.018813
199,107,123,0,2986.242,1777.5569,1,1489.5198,1,912.8339,0.0,96270.7259,504,202981.1956,86334.9502,20910.5195,806.8687,0.018741
200,106,123,0,2971.6442,1763.0864,1,1538.4351,1,1240.4632,0.0,95737.0942,497,202787.5022,86422.7092,21157.6988,815.3086,0.018714
201,104,124,1,2957.3223,1745.1059,6,1045.6449,3,3424.1404,0.0,95564.205,472,202207.5601,87824.6075,19338.7476,844.4674,0.018347
202,104,125,1,2956.2978,1708.2908,2,1183.1131,1,1043.8106,0.0,95282.4297,464,202384.7126,87708.8557,19913.4272,843.3544,0.018461
203,104,125,0,2948.1448,1694.3432,2,1201.4281,0,0.0,0.0,96376.5614,466,204225.9805,88260.6384,20108.7808,848.66,0.018441
204,105,126,1,2957.8159,1707.2126,1,1329.5974,0,0.0,0.0,96995.2707,467,205596.161,88459.1323,20666.7581,842.4679,0.018553
205,103,126,0,2969.9827,1714.3727,7,838.732,2,2010.8351,0.0,98362.777,453,207046.6075,90257.7642,18941.0663,876.289,0.017992
206,103,127,1,2983.469,1707.3394,7,741.2896,1,998.0582,0.0,99389.0121,450,208526.7614,90923.7636,18728.9858,882.755,0.01785
207,105,129,2,3000.9646,1708.2745,7,628.5314,0,0.0,0.0,101669.7987,457,211585.3384,92034.9063,18405.6333,876.5229,0.017889
208,106,130,1,3047.9563,1735.1391,3,857.2484,0,0.0,0.0,102476.5548,460,213190.5809,91873.7127,19370.3134,866.7331,0.018004
209,107,131,1,3058.7735,1744.6488,4,914.1522,0,0.0,0.0,103841.3938,464,215348.5374,92330.8297,19711.3139,862.905,0.018059
210,108,132,1,3080.0349,1760.8138,1,1151.1205,0,0.0,0.0,104351.4291,465,216656.6641,92161.0689,20684.166,853.3432,0.018207
211,107,132,0,3085.9948,1766.8232,10,559.4819,1,1247.9938,0.0,107212.8918,467,219913.9281,94610.8527,18625.1835,884.2136,0.017825
212,107,133,1,3120.3574,1789.8157,2,905.8198,1,1062.8329,0.0,106580.8085,461,219796.8495,93769.784,19981.257,876.3531,0.017939
213,108,134,1,3104.8058,1772.3595,3,999.4473,0,0.0,0.0,107814.0672,464,221818.297,94142.7942,20401.4356,871.6925,0.017975
214,106,134,0,3123.4977,1786.8245,4,991.6691,2,2467.8641,0.0,106959.7912,450,220934.6996,94062.787,20442.1214,887.3848,0.017747
215,106,134,0,3096.8799,1754.0527,10,554.6273,0,0.0,0.0,110555.4885,460,225285.841,96342.4559,18917.8966,908.8911,0.017397
216,106,134,0,3142.2876,1796.569,3,843.3937,0,0.0,0.0,111281.5567,463,226796.744,95995.6686,20049.5187,905.6195,0.017418
217,104,134,0,3137.12,1805.1888,2,1041.7383,2,3352.5299,0.0,108754.7422,450,223830.2191,94744.8481,20850.6289,911.0082,0.01739
218,103,134,0,3085.8445,1752.6382,1,1240.9294,1,1174.5851,0.0,108121.756,442,223595.5177,94315.8931,21672.8687,915.6883,0.017343
219,102,134,0,3063.2708,1735.4259,5,992.3428,1,1803.7954,0.0,108750.829,438,224255.9965,95200.0403,20815.1272,933.3337,0.017179
220,102,135,1,3065.5594,1731.2821,2,1112.2847,1,1226.3684,0.0,108520.407,431,224379.7643,95066.1527,21303.2046,932.0211,0.017196
221,99,135,0,3060.2703,1718.232,7,761.5546,3,4393.0638,0.0,107060.1545,413,222186.2868,95452.5497,20168.5826,964.1672,0.016829
222,99,135,0,3026.091,1669.1542,5,782.9544,0,0.0,0.0,108606.1295,418,224395.3084,95882.3281,20401.8507,968.5084,0.016781
223,98,135,0,3033.9691,1687.2988,10,487.532,1,1312.8535,0.0,110260.0889,419,226333.748,97050.9001,19512.759,990.3153,0.01653
224,98,135,0,3041.6183,1696.6795,1,879.2766,0,0.0,0.0,110423.5723,420,227156.5443,96162.4422,21060.5297,981.2494,0.016626
225,98,135,0,3026.3043,1698.6147,8,605.1303,0,0.0,0.0,113268.6945,428,230632.7852,97699.2458,20154.8448,996.9311,0.016499
226,98,136,1,3053.4818,1732.4136,3,824.6027,1,1319.6812,0.0,112948.9514,423,230594.4821,97207.9978,20927.533,991.9183,0.016647
227,100,138,2,3045.3161,1718.7282,11,469.3862,0,0.0,0.0,116251.6881,434,234548.318,99055.7608,19740.8691,990.5576,0.016745
228,103,141,3,3104.5117,1758.3243,5,666.84,0,0.0,0.0,117530.9179,439,236533.4366,99045.7153,20471.8034,961.6089,0.017102
229,102,141,0,3137.6498,1773.7001,13,356.8764,1,1861.2788,0.0,118943.8429,443,238001.945,100066.7621,19501.34,981.0467,0.016951
230,101,141,0,3139.4765,1781.6684,5,608.624,1,1738.1461,0.0,118260.8795,439,237450.3395,99170.2056,20524.2544,981.8832,0.016957
231,100,141,0,3110.0552,1764.1586,3,853.2038,1,1688.3753,0.0,117468.4642,435,236791.7596,98413.7086,21409.5868,984.1371,0.01672
232,99,141,0,3090.3932,1745.5593,2,1053.4215,1,1801.8098,0.0,116469.5441,427,235836.9387,97711.6169,22150.7778,986.986,0.016612
233,97,141,0,3067.2137,1724.6011,2,1173.3969,2,3594.8359,0.0,113831.3959,413,232655.1847,96727.3433,22581.4455,997.1891,0.016517
234,97,142,1,3023.1414,1674.8756,1,1329.5574,1,1452.6522,0.0,112981.8855,406,232000.4362,96337.9925,23165.5581,993.1752,0.016565
235,97,142,0,3013.1835,1655.7909,3,1216.1546,0,0.0,0.0,114708.3174,409,234299.4169,97363.5192,22712.5803,1003.7476,0.016449
236,97,142,0,3030.6376,1676.0914,6,1057.1335,0,0.0,0.0,116699.4414,415,236868.7437,98474.2063,22180.096,1015.198,0.016392
237,98,143,1,3048.4199,1699.7723,3,1027.7504,0,0.0,0.0,118371.2397,418,239134.4074,99218.9709,22034.1969,1012.4385,0.016455
238,96,143,0,3071.0916,1719.5501,4,961.9719,2,3003.9112,0.0,117240.4421,406,237736.7246,99215.363,21760.9195,1033.4934,0.016257
239,95,143,0,3041.4797,1688.4477,1,1256.0809,1,1496.9566,0.0,115893.0138,397,236501.3683,98187.4023,22895.9522,1033.5516,0.016263
240,96,144,1,3011.3595,1661.9967,2,1293.4678,0,0.0,0.0,116910.4948,399,238067.6146,98549.1032,23088.0166,1026.5532,0.016379
241,95,144,0,3026.7821,1673.9526,1,1412.5688,1,1606.9414,0.0,115911.6567,393,237167.2049,98162.5135,23568.0346,1033.2896,0.016321
242,95,144,0,3004.869,1653.5721,12,468.3925,0,0.0,0.0,121235.8707,405,243011.0795,102001.3698,20248.839,1073.6986,0.016032
243,93,144,0,3064.1358,1715.474,5,701.1908,2,3130.1697,0.0,119040.7142,396,240527.6741,100749.0958,21202.8641,1083.3236,0.015869
244,92,144,0,3018.1905,1672.3952,12,397.894,1,1780.817,0.0,120309.5771,401,241817.526,101681.2637,20286.6852,1105.2311,0.015669
245,92,145,1,3021.9032,1679.3534,4,703.2015,1,1737.759,0.0,119299.1184,398,240838.7249,100580.4613,21419.1452,1093.2659,0.015878
246,93,146,1,3001.822,1658.8028,1,1050.4726,0,0.0,0.0,119488.2981,399,241548.698,99822.7045,22702.6955,1073.3624,0.016194
247,93,146,0,2997.6026,1661.0432,10,541.8026,0,0.0,0.0,123208.2077,409,245765.0501,102097.2626,20924.5798,1097.82,0.015984
248,92,146,0,3034.73,1705.3207,1,925.5908,1,1505.0112,0.0,121923.1892,403,244612.7434,100814.7592,22334.7951,1095.8126,0.015863
249,92,147,1,3005.8113,1682.0009,4,964.8019,1,1696.7781,0.0,121611.7451,400,244352.6265,100710.8297,22490.0517,1094.6829,0.015756
250,93,148,1,3007.376,1670.7605,4,986.4347,0,0.0,0.0,122954.1535,404,246197.2457,101039.6562,22668.436,1086.4479,0.016017
251,93,149,1,3021.3448,1686.7852,6,776.896,1,1591.8426,0.0,123947.0506,405,247303.8473,102001.6914,21820.1053,1096.7924,0.015882
252,93,149,0,3036.6757,1691.1757,13,388.0608,0,0.0,0.0,127434.0801,418,251299.6831,103846.0479,20484.555,1116.6242,0.01562
253,91,149,0,3068.6452,1732.996,1,817.5743,2,3370.3676,0.0,124256.8662,402,247763.6308,101898.9498,22062.8149,1119.7687,0.015514
