# Indicateurs agrégés du système à chaque pas
step,nb_entites,nb_prets,nb_masses_faillite,actif_total,passif_total,liquidite_totale,volume_prets,levier_systeme,ratio_liquidite,densite_financiere,concentration_prets,nb_faillites,volume_faillites
56,36,51,0,10897.8128,6595.6238,2073.7562,2408.4327,0.605225,0.314414,0.221001,0.022896,0,0.0
57,36,52,0,11267.8265,6762.8534,2211.3338,2473.6393,0.600191,0.326982,0.219531,0.0224,0,0.0
58,38,54,0,11765.2379,7040.7773,2272.6798,2641.7809,0.598439,0.322788,0.224541,0.021665,0,0.0
59,40,62,0,12572.3544,7548.5413,2119.5688,3104.2444,0.600408,0.280792,0.24691,0.018801,0,0.0
60,40,64,0,13013.5923,7705.911,2307.7475,3199.9338,0.592143,0.299478,0.245892,0.018256,0,0.0
61,41,67,0,13556.2021,7966.5556,2409.271,3385.3755,0.587669,0.302423,0.249729,0.017341,0,0.0
62,41,70,0,14096.0016,8228.0178,2501.4556,3571.5283,0.583713,0.304017,0.253372,0.016487,0,0.0
63,41,71,0,14523.0497,8402.8949,2683.2173,3641.9375,0.57859,0.319321,0.250769,0.016229,0,0.0
64,41,72,0,14959.6787,8613.6509,2827.9557,3723.0721,0.575791,0.328311,0.248874,0.016005,0,0.0
65,41,72,0,15315.3863,8778.5415,3018.7727,3723.0721,0.573184,0.343881,0.243094,0.016005,0,0.0
66,44,77,0,16118.97,9311.9598,2890.225,4136.7852,0.577702,0.310378,0.256641,0.015007,0,0.0
67,44,79,0,16681.4149,9599.4675,2985.9393,4316.0082,0.575459,0.311053,0.258732,0.01465,0,0.0
68,44,82,0,17351.1429,9969.1692,3002.8414,4599.1324,0.574554,0.301213,0.265062,0.014169,0,0.0
69,44,83,0,17836.5298,10174.0203,3189.7941,4692.7154,0.570404,0.313523,0.263096,0.014008,0,0.0
70,45,86,0,18505.6199,10547.6358,3223.6842,4959.2998,0.569969,0.305631,0.267989,0.013513,0,0.0
71,45,88,0,19076.9968,10824.4161,3348.1932,5129.3876,0.567407,0.309319,0.268878,0.013182,0,0.0
72,45,89,0,19576.9368,11057.525,3517.181,5227.2307,0.564824,0.31808,0.26701,0.013044,0,0.0
73,45,90,0,20074.9315,11308.5532,3668.2723,5323.106,0.563317,0.32438,0.265162,0.012902,0,0.0
74,46,93,0,20813.293,11761.8183,3633.7711,5647.7036,0.565111,0.308946,0.271351,0.012565,0,0.0
75,46,94,0,21327.2314,12004.215,3805.8421,5747.1743,0.562859,0.317042,0.269476,0.012433,0,0.0
76,47,96,0,21983.5809,12378.428,3862.0602,5978.0927,0.563076,0.311999,0.271934,0.012238,0,0.0
77,49,99,0,22764.9738,12831.3205,3867.21,6311.4432,0.563643,0.301388,0.277244,0.011911,0,0.0
78,49,103,0,23568.7693,13265.8695,3875.527,6672.3728,0.562858,0.292143,0.283102,0.011474,0,0.0
79,49,106,0,24313.1309,13637.1169,3951.7461,6969.2679,0.560895,0.289779,0.286646,0.011123,0,0.0
80,49,107,0,24874.6802,13858.3023,4182.3092,7079.0688,0.557125,0.301791,0.284589,0.011021,0,0.0
81,49,110,0,25616.451,14254.3294,4235.3644,7371.7573,0.556452,0.297128,0.287774,0.010703,0,0.0
82,49,111,0,26177.5065,14496.3745,4445.1896,7480.9425,0.553772,0.306641,0.285778,0.010606,0,0.0
83,49,113,0,26866.82,14863.6681,4527.5853,7720.5665,0.553235,0.304608,0.287364,0.01044,0,0.0
84,50,114,0,27465.821,15156.3799,4702.9691,7856.472,0.551827,0.310296,0.286045,0.010381,0,0.0
85,51,115,0,28071.2679,15470.9326,4862.9275,7992.4077,0.551131,0.314327,0.284718,0.01032,0,0.0
86,52,116,0,28696.5044,15811.946,5003.1936,8141.3648,0.551006,0.316419,0.283706,0.01028,0,0.0
87,53,120,0,29640.6419,16406.4888,4897.3521,8601.8011,0.553513,0.298501,0.290203,0.010016,0,0.0
88,55,122,0,30341.1643,16747.29,5078.2936,8790.5807,0.551966,0.303231,0.289725,0.009874,0,0.0
89,55,123,0,30972.5127,17048.3754,5277.2591,8921.8782,0.550436,0.309546,0.288058,0.009802,0,0.0
90,55,127,0,32053.8375,17726.7656,5099.1788,9502.8931,0.553031,0.287654,0.296467,0.009577,0,0.0
91,56,129,0,32840.8686,18093.8048,5261.0918,9765.972,0.550954,0.290768,0.297373,0.009435,0,0.0
92,56,131,0,33549.4632,18408.114,5466.0245,9955.3247,0.548686,0.296936,0.296736,0.00931,0,0.0
93,56,133,0,34357.2404,18815.9132,5575.933,10245.3943,0.547655,0.296341,0.298202,0.009193,0,0.0
94,56,136,0,35294.8077,19323.7667,5586.1233,10664.9177,0.547496,0.28908,0.302167,0.009,0,0.0
95,57,137,0,35983.2713,19613.7618,5835.2428,10819.2667,0.54508,0.297508,0.300675,0.008949,0,0.0
96,57,142,0,37151.246,20300.2552,5675.6444,11460.3464,0.546422,0.279585,0.308478,0.008654,0,0.0
97,57,155,0,38897.0674,21347.4471,5162.9838,12671.6365,0.548819,0.241855,0.325774,0.007885,0,0.0
98,57,158,0,39610.6967,21439.6428,5623.151,12832.9029,0.541259,0.262278,0.323976,0.007741,0,0.0
99,57,159,0,40235.5509,21557.0852,6050.2064,12913.2592,0.535772,0.28066,0.320942,0.007684,0,0.0
100,58,162,0,41131.3875,21966.9102,6194.3026,13260.1746,0.534067,0.281983,0.322386,0.007515,0,0.0
