# Indicateurs agrégés du système à chaque pas
step,nb_entites,nb_prets,nb_masses_faillite,actif_total,passif_total,liquidite_totale,volume_prets,levier_systeme,ratio_liquidite,densite_financiere,concentration_prets,nb_faillites,volume_faillites
58,38,44,0,13070.7907,9827.8058,1249.7857,2183.1992,0.751891,0.127168,0.167029,0.023562,0,0.0
59,40,45,0,13569.7528,10133.5062,1399.0964,2237.1503,0.746772,0.138066,0.164863,0.023021,0,0.0
60,40,49,0,14240.0269,10588.965,1374.716,2476.346,0.743606,0.129825,0.1739,0.021124,0,0.0
61,41,50,0,14758.2068,10917.0078,1511.4465,2534.7524,0.739725,0.138449,0.171752,0.020692,0,0.0
62,41,52,0,15326.2242,11308.298,1575.8765,2647.0497,0.73784,0.139356,0.172714,0.019876,0,0.0
63,41,52,0,15788.6094,11634.3014,1712.2583,2647.0497,0.736879,0.147173,0.167656,0.019876,0,0.0
64,41,52,0,16251.3236,11991.9618,1817.3121,2647.0497,0.737907,0.151544,0.162882,0.019876,0,0.0
65,41,52,0,16715.0798,12371.1861,1901.844,2647.0497,0.740121,0.153732,0.158363,0.019876,0,0.0
66,44,53,0,17293.3788,12843.7166,1945.4888,2724.1734,0.742696,0.151474,0.157527,0.019568,0,0.0
67,44,55,0,17928.0828,13348.3515,1922.6836,2877.0477,0.74455,0.144039,0.160477,0.018956,0,0.0
68,44,56,0,18502.0077,13786.0554,1982.5685,2953.3838,0.745111,0.14381,0.159625,0.018657,0,0.0
69,44,57,0,19082.5004,14232.7352,2038.5998,3031.1654,0.745853,0.143233,0.158845,0.01837,0,0.0
70,45,58,0,19679.687,14694.2667,2101.8288,3108.5916,0.746672,0.143037,0.157959,0.018087,0,0.0
71,45,59,0,20276.6157,15158.135,2156.1974,3187.2833,0.747567,0.142247,0.15719,0.017814,0,0.0
72,45,61,0,20959.6396,15683.075,2154.6349,3346.9297,0.748251,0.137386,0.159685,0.017293,0,0.0
73,45,61,0,21491.4844,16087.8501,2281.7046,3346.9297,0.748569,0.141828,0.155733,0.017293,0,0.0
74,46,63,0,22207.8921,16645.8828,2272.4567,3519.5526,0.749548,0.136518,0.158482,0.016841,0,0.0
75,46,64,0,22832.3006,17118.2275,2347.4995,3596.5737,0.749737,0.137134,0.157521,0.016586,0,0.0
76,47,66,0,23576.6016,17681.7276,2351.7313,3778.1427,0.749969,0.133003,0.16025,0.016185,0,0.0
77,49,67,0,24254.1568,18181.5122,2452.1406,3865.504,0.749625,0.13487,0.159375,0.015973,0,0.0
78,49,72,0,25253.2031,18913.7514,2298.5304,4285.9213,0.748964,0.121527,0.169718,0.014922,0,0.0
79,49,72,0,25856.1397,19303.4405,2511.778,4285.9213,0.746571,0.130121,0.16576,0.014922,0,0.0
80,49,72,0,26456.8411,19745.2492,2670.6707,4285.9213,0.746319,0.135256,0.161997,0.014922,0,0.0
81,49,72,0,27056.4269,20221.7111,2793.7946,4285.9213,0.74739,0.138158,0.158407,0.014922,0,0.0
82,49,72,0,27655.5759,20721.3047,2893.35,4285.9213,0.749263,0.139632,0.154975,0.014922,0,0.0
83,49,72,0,28254.6753,21236.4116,2977.3424,4285.9213,0.751607,0.1402,0.151689,0.014922,0,0.0
84,50,73,0,28959.7263,21834.7608,2995.2322,4379.7332,0.75397,0.137177,0.151235,0.014749,0,0.0
85,51,77,0,29980.5106,22635.5565,2821.8121,4778.142,0.755009,0.124663,0.159375,0.014132,0,0.0
86,52,78,0,30662.6921,23123.9377,2986.9903,4811.7641,0.754139,0.129173,0.156926,0.013984,0,0.0
87,53,79,0,31415.2999,23694.9006,3074.0708,4911.3285,0.754247,0.129736,0.156336,0.013833,0,0.0
88,55,82,0,32380.9902,24419.4562,3034.5425,5201.9915,0.754129,0.124267,0.16065,0.013374,0,0.0
89,55,83,0,33165.3464,24980.1089,3152.3067,5307.9308,0.753199,0.126193,0.160044,0.013244,0,0.0
90,55,88,0,34337.9592,25826.0739,2988.2215,5798.6638,0.752114,0.115706,0.16887,0.012531,0,0.0
91,56,92,0,35292.6548,26447.9609,3087.0091,6037.6848,0.74939,0.11672,0.171075,0.012033,0,0.0
92,56,92,0,36011.0515,26917.0785,3336.2883,6037.6848,0.747467,0.123947,0.167662,0.012033,0,0.0
93,56,92,0,36725.8161,27446.4265,3521.7048,6037.6848,0.747333,0.128312,0.164399,0.012033,0,0.0
94,56,92,0,37438.161,28015.4812,3664.995,6037.6848,0.748313,0.13082,0.161271,0.012033,0,0.0
95,57,93,0,38268.2218,28692.7808,3715.354,6145.0871,0.749781,0.129487,0.160579,0.011922,0,0.0
96,57,94,0,39095.9351,29361.3184,3768.0154,6251.6014,0.751007,0.128333,0.159904,0.01181,0,0.0
97,57,95,0,39931.6737,30031.8627,3822.725,6362.086,0.752081,0.127289,0.159324,0.011704,0,0.0
98,57,95,0,40660.003,30626.3296,3956.5874,6362.086,0.75323,0.129189,0.15647,0.011704,0,0.0
99,57,95,0,41386.4122,31243.318,4066.0082,6362.086,0.754917,0.13014,0.153724,0.011704,0,0.0
100,58,96,0,42238.6857,31962.5585,4088.589,6477.5382,0.756713,0.127918,0.153356,0.011609,0,0.0
101,58,98,0,43220.8372,32754.0477,4032.8168,6723.9726,0.75783,0.123124,0.155572,0.011445,0,0.0
102,58,98,0,43966.1901,33343.5489,4188.6686,6723.9726,0.758391,0.125622,0.152935,0.011445,0,0.0
103,63,100,0,45021.5584,34177.852,4181.9143,6976.7921,0.759144,0.122357,0.154966,0.011288,0,0.0
104,64,101,0,45925.378,34872.8424,4277.946,7094.5896,0.759337,0.122673,0.154481,0.011192,0,0.0
105,64,107,0,47296.7941,35894.5267,4040.99,7681.2774,0.758921,0.11258,0.162406,0.010611,0,0.0
106,64,108,0,48240.8373,36516.2602,4241.7958,7802.7812,0.756957,0.116162,0.161746,0.010526,0,0.0
107,66,110,0,49333.9388,37284.3724,4331.2591,8048.3073,0.755755,0.116168,0.163139,0.010359,0,0.0
108,66,113,0,50540.9797,38130.0361,4330.4222,8410.5214,0.754438,0.11357,0.16641,0.010104,0,0.0
109,67,115,0,51558.0038,38821.0337,4514.8888,8557.0813,0.752958,0.1163,0.16597,0.009931,0,0.0
110,68,116,0,52549.5561,39528.6503,4691.8727,8669.0331,0.752217,0.118695,0.164969,0.009843,0,0.0
111,68,118,0,53675.2043,40359.2103,4736.6954,8919.2986,0.751915,0.117363,0.166172,0.009693,0,0.0
112,69,122,0,55048.7727,41349.6555,4647.1615,9396.9558,0.751146,0.112387,0.170702,0.00938,0,0.0
113,69,123,0,56076.0242,42044.2293,4861.6049,9515.1901,0.749772,0.115631,0.169684,0.009303,0,0.0
114,69,123,0,56984.6114,42703.7021,5110.7192,9515.1901,0.74939,0.119679,0.166978,0.009303,0,0.0
115,69,124,0,58021.0474,43508.3941,5209.8477,9647.8057,0.749873,0.119744,0.166281,0.009238,0,0.0
116,70,126,0,59168.9975,44397.5903,5243.1564,9878.2508,0.750352,0.118096,0.16695,0.009096,0,0.0
117,71,128,0,60364.9271,45302.2351,5275.4408,10142.2512,0.750473,0.11645,0.168016,0.008967,0,0.0
118,72,129,0,61445.1443,46108.6178,5421.4906,10275.036,0.750403,0.117581,0.167223,0.008904,0,0.0
119,72,130,0,62535.7855,46941.0981,5533.0068,10421.6805,0.750628,0.117871,0.166651,0.008853,0,0.0
120,73,131,0,63645.036,47797.1968,5640.5173,10572.3219,0.750996,0.118009,0.166114,0.008806,0,0.0
121,73,133,0,64885.155,48748.649,5645.5489,10855.9572,0.751307,0.115809,0.16731,0.008693,0,0.0
122,73,135,0,66124.691,49674.6337,5684.2472,11130.8101,0.751227,0.11443,0.168331,0.008574,0,0.0
123,74,138,0,67523.6515,50697.4729,5649.1064,11547.0722,0.750811,0.111428,0.171008,0.008403,0,0.0
124,75,140,0,68806.4362,51598.4821,5756.4,11826.5541,0.749908,0.111561,0.171882,0.008289,0,0.0
125,77,141,0,69977.0844,52427.1071,5967.1877,11967.7897,0.749204,0.113819,0.171024,0.008234,0,0.0
126,80,142,0,71180.6595,53316.2869,6144.3734,12119.9993,0.749028,0.115244,0.170271,0.008186,0,0.0
127,81,150,0,73223.0368,54806.1395,5701.0933,13120.804,0.748482,0.104023,0.17919,0.007744,0,0.0
128,81,150,0,74315.7438,55456.6469,6143.2929,13120.804,0.74623,0.110776,0.176555,0.007744,0,0.0
129,82,154,0,75869.6654,56540.8272,6159.8697,13578.9684,0.745236,0.108946,0.178978,0.007531,0,0.0
130,83,157,0,77360.387,57553.7542,6269.8952,13951.7376,0.743969,0.10894,0.180347,0.007373,0,0.0
131,83,158,0,78625.1686,58413.7432,6532.988,14093.4374,0.742939,0.11184,0.179248,0.007327,0,0.0
132,83,159,0,79894.5396,59333.7189,6734.3915,14241.4292,0.74265,0.1135,0.178253,0.007283,0,0.0
133,83,160,0,81167.9972,60292.8253,6895.9211,14394.2508,0.742815,0.114374,0.177339,0.007242,0,0.0
134,83,160,0,82288.4697,61170.226,7138.9928,14394.2508,0.743363,0.116707,0.174924,0.007242,0,0.0
135,84,161,0,83566.9974,62206.3146,7234.2082,14546.4746,0.744389,0.116294,0.17407,0.007201,0,0.0
136,84,162,0,84844.9479,63239.2098,7324.6451,14701.093,0.74535,0.115824,0.17327,0.007161,0,0.0
137,84,163,0,86144.4477,64285.8128,7403.0849,14875.55,0.746256,0.115159,0.172681,0.007132,0,0.0
138,86,165,0,87620.5736,65449.4638,7399.6077,15201.5021,0.746965,0.113058,0.173492,0.007059,0,0.0
139,86,168,0,89279.5574,66699.7891,7299.5535,15710.2147,0.747089,0.109439,0.175967,0.006959,0,0.0
140,87,169,0,90626.2269,67670.3981,7511.8346,15878.9942,0.746698,0.111006,0.175214,0.006925,0,0.0
141,88,171,0,92162.5451,68806.316,7566.1032,16230.1259,0.746576,0.109962,0.176103,0.006863,0,0.0
142,88,173,0,93662.637,69900.3858,7661.4099,16540.8413,0.7463,0.109605,0.1766,0.006785,0,0.0
143,88,175,0,95178.9186,71004.0474,7752.3215,16862.5497,0.746006,0.109181,0.177167,0.00671,0,0.0
144,90,177,0,96724.4869,72126.7828,7862.3243,17185.3799,0.745693,0.109007,0.177674,0.006637,0,0.0
145,90,180,0,98449.9289,73370.2334,7839.1584,17690.5371,0.745254,0.106844,0.179691,0.006536,0,0.0
146,90,181,0,99849.7524,74348.5557,8094.8723,17856.3244,0.744604,0.108877,0.178832,0.006502,0,0.0
147,90,181,0,101080.7842,75263.32,8411.1398,17856.3244,0.744586,0.111756,0.176654,0.006502,0,0.0
148,93,183,0,102702.5926,76518.6886,8429.022,18219.8821,0.745051,0.110156,0.177404,0.006444,0,0.0
