# Statistiques résumées des distributions par grandeur et par pas
step,name,n,mean,std,min,q10,q25,median,q75,q90,q99,max
80,taux_interne,49,0.0255,0.0033,0.0216,0.0222,0.0226,0.0248,0.0276,0.0305,0.0333,0.0346
80,levier_entite,49,0.8093,0.1498,0.5048,0.5392,0.8048,0.8921,0.8984,0.902,0.9306,0.9333
90,passif_total,55,469.565,114.5449,221.3358,319.9971,381.7537,478.7598,593.7903,605.4086,620.9293,623.1072
90,actif_liquide,55,54.3313,18.1172,20.2184,30.067,43.4264,55.3903,66.1013,77.5426,92.0542,98.0531
90,actif_total,55,624.3265,292.2097,237.2974,342.0782,424.4911,530.4571,668.9456,1140.3715,1228.0717,1238.8678
90,ratio_L_P,55,0.1163,0.0259,0.05,0.0676,0.1182,0.1261,0.1316,0.1342,0.1503,0.1574
90,taux_interne,55,0.0237,0.0034,0.02,0.0203,0.0205,0.0229,0.0256,0.028,0.0329,0.0336
90,levier_entite,55,0.82,0.152,0.4853,0.5314,0.8887,0.895,0.901,0.9051,0.9499,0.9538
100,passif_total,58,551.0786,142.3236,122.2429,373.5427,444.9857,555.6758,684.1469,736.6276,758.5119,767.0504
100,actif_liquide,58,70.4929,24.9111,10.2007,42.4256,54.0007,65.8815,85.3878,113.5823,122.2156,123.7395
100,actif_total,58,728.2532,351.8109,127.4436,413.6043,495.5843,618.9575,765.6085,1362.6587,1484.2809,1498.4233
100,ratio_L_P,58,0.1258,0.0178,0.05,0.115,0.1172,0.1252,0.1284,0.1543,0.1613,0.1613
100,taux_interne,58,0.0221,0.0042,0.0181,0.0184,0.0191,0.0212,0.0237,0.0259,0.0358,0.0452
100,levier_entite,58,0.8247,0.148,0.5099,0.5337,0.8929,0.8974,0.9022,0.9054,0.9357,0.9592
110,passif_total,68,581.3037,189.6742,118.7948,270.5478,489.5009,620.3149,745.2186,810.6492,822.4437,822.8877
110,actif_liquide,68,68.9981,25.017,10.1482,33.2512,54.8918,68.93,83.5116,101.3769,121.3814,124.6421
110,actif_total,68,772.7876,431.9039,123.9431,297.7795,540.6995,687.4807,832.1358,1590.7258,1761.7667,1784.1021
110,ratio_L_P,68,0.1186,0.015,0.05,0.109,0.1128,0.1187,0.123,0.1339,0.1546,0.1607
110,taux_interne,68,0.0221,0.0057,0.0174,0.0176,0.0183,0.0201,0.0226,0.0304,0.0419,0.0459
110,levier_entite,68,0.8317,0.154,0.4563,0.5036,0.8962,0.8999,0.9052,0.9075,0.9412,0.9585
120,passif_total,73,654.7561,196.1119,156.9042,367.3669,519.762,674.1075,803.9523,904.045,940.604,952.8062
120,actif_liquide,73,77.2674,27.8664,10.7286,45.5791,59.9651,75.8912,90.598,113.9547,142.0023,143.8946
120,actif_total,73,871.8498,490.2907,162.6327,407.7102,577.1488,744.7168,893.1817,1852.583,2069.7718,2097.5767
120,ratio_L_P,73,0.1169,0.0153,0.05,0.1093,0.1105,0.117,0.1211,0.133,0.151,0.151
120,taux_interne,73,0.0205,0.0042,0.0162,0.0166,0.0176,0.0193,0.0219,0.0261,0.0335,0.0399
120,levier_entite,73,0.8339,0.1568,0.4362,0.4954,0.8987,0.9017,0.9061,0.9083,0.9438,0.9648
130,passif_total,83,693.4187,213.096,242.2793,331.1343,519.9077,741.7637,845.1824,954.4296,965.8279,972.1142
130,actif_liquide,83,75.5409,25.9096,11.9913,40.0287,56.7527,79.717,91.0079,109.0825,130.1958,133.3372
130,actif_total,83,932.0529,562.6179,257.0848,366.1631,570.9947,818.5802,936.4155,2130.2138,2413.1116,2452.2199
130,ratio_L_P,83,0.1089,0.0165,0.0452,0.0899,0.107,0.1124,0.116,0.1211,0.135,0.1372
130,taux_interne,83,0.0199,0.0041,0.016,0.0162,0.0172,0.0184,0.0219,0.0275,0.031,0.0321
130,levier_entite,83,0.8383,0.166,0.3951,0.4497,0.9009,0.9038,0.9084,0.9114,0.9482,0.9743
140,passif_total,87,777.8207,220.7094,174.7702,466.9238,602.9868,809.2869,918.7948,1074.3043,1116.2305,1130.0924
140,actif_liquide,87,86.3429,29.3517,11.0006,51.6002,66.7504,87.5138,98.7478,118.1034,171.4343,176.4981
140,actif_total,87,1041.6808,631.5325,180.7708,515.4354,665.35,888.6641,1014.824,2429.7743,2787.7582,2841.8782
140,ratio_L_P,87,0.1103,0.015,0.05,0.104,0.1059,0.1107,0.114,0.1225,0.1536,0.1562
140,taux_interne,87,0.0187,0.0036,0.0149,0.0153,0.0165,0.0176,0.0204,0.0231,0.028,0.0378
140,levier_entite,87,0.8414,0.1639,0.3779,0.444,0.9022,0.9053,0.909,0.9106,0.9512,0.9668
150,passif_total,99,797.2444,293.0777,8.5224,501.1716,628.0475,876.1177,982.0376,1171.849,1212.2512,1213.7075
150,actif_liquide,99,87.261,36.3218,7.9631,52.7011,64.9068,90.5379,104.4725,123.3375,176.0014,178.649
150,actif_total,99,1069.6927,734.1336,11.9913,555.8578,689.2677,965.993,1083.0528,2728.307,3188.5721,3263.0356
150,ratio_L_P,99,0.1308,0.1322,0.05,0.1015,0.1037,0.1084,0.113,0.1358,0.9937,0.9937
150,taux_interne,99,0.023,0.0248,0.0144,0.0146,0.016,0.0169,0.02,0.0223,0.1713,0.1713
150,levier_entite,99,0.8443,0.1628,0.3588,0.4421,0.9039,0.9066,0.9104,0.9136,0.9669,0.968
160,passif_total,107,856.3448,288.4756,252.3608,376.1263,694.7489,929.1952,1036.8437,1252.0183,1295.868,1304.0298
160,actif_liquide,107,91.2997,32.8917,23.2062,41.158,71.9963,95.4121,108.7437,128.741,180.1362,191.1691
160,actif_total,107,1153.138,805.1106,284.0652,398.8967,762.2408,1023.2224,1142.2888,2763.3579,3622.3712,3729.6099
160,ratio_L_P,107,0.1081,0.016,0.05,0.1009,0.1024,0.1065,0.1108,0.1288,0.1465,0.1485
160,taux_interne,107,0.0182,0.0045,0.0138,0.0141,0.0155,0.0164,0.019,0.0258,0.0314,0.0315
160,levier_entite,107,0.8498,0.1638,0.3496,0.4682,0.9049,0.9077,0.9114,0.9133,0.9479,0.9521
170,passif_total,110,952.734,266.0005,206.6238,542.2262,783.1889,982.2297,1103.3603,1346.2732,1415.0346,1428.1866
170,actif_liquide,110,104.2392,39.2713,11.4857,61.1839,81.2074,102.3395,115.3564,136.2843,217.2769,222.5774
170,actif_total,110,1283.8328,882.2678,213.1095,598.5169,861.3722,1080.3119,1214.3412,2899.2295,4110.9704,4243.8008
170,ratio_L_P,110,0.1081,0.0152,0.05,0.0994,0.1013,0.1051,0.1105,0.1168,0.1553,0.1558
170,taux_interne,110,0.0168,0.0031,0.0132,0.0136,0.0151,0.016,0.0179,0.0215,0.0232,0.0348
170,levier_entite,110,0.8517,0.1656,0.3298,0.4865,0.906,0.9086,0.9117,0.914,0.9233,0.9696
180,passif_total,114,1043.2277,266.8861,568.8846,659.1527,853.2983,1059.3013,1164.0804,1493.2738,1608.2016,1610.7766
180,actif_liquide,114,109.5396,36.4689,45.9252,72.1959,89.0884,106.482,119.2571,139.8352,233.1446,238.8536
180,actif_total,114,1397.9957,967.1472,613.3879,726.8512,939.0791,1160.7834,1278.989,2692.4552,4622.6923,4772.5375
180,ratio_L_P,114,0.1042,0.0121,0.05,0.0977,0.0996,0.1037,0.1077,0.1111,0.1452,0.1483
180,taux_interne,114,0.0159,0.0021,0.0125,0.0129,0.0147,0.0154,0.0171,0.0195,0.0207,0.021
180,levier_entite,114,0.8554,0.1619,0.3283,0.5941,0.9073,0.9096,0.9133,0.9149,0.9393,0.9447
190,passif_total,119,1118.4806,300.0243,245.9035,768.9848,920.0198,1136.9464,1219.5429,1550.6814,1789.8952,1843.4872
190,actif_liquide,119,116.2651,43.0211,11.9913,82.0197,89.5026,110.6196,121.4862,144.1906,252.8242,272.498
190,actif_total,119,1491.6924,1064.6926,252.8949,845.4974,1012.4265,1243.7466,1337.9047,2120.0408,5145.0115,5336.4624
190,ratio_L_P,119,0.1022,0.0145,0.047,0.0962,0.098,0.1024,0.1054,0.1084,0.143,0.1478
190,taux_interne,119,0.0155,0.0028,0.0116,0.0127,0.0143,0.0148,0.0165,0.018,0.0291,0.0319
190,levier_entite,119,0.8601,0.1576,0.3271,0.7698,0.9086,0.9106,0.9142,0.916,0.9667,0.9733
200,passif_total,123,1204.023,274.2094,803.565,880.121,1009.0904,1207.5956,1278.7531,1545.9066,1912.7812,1939.2083
200,actif_liquide,123,120.7884,35.5729,45.0452,88.2795,95.8091,117.3282,126.1167,148.6544,256.742,260.2519
200,actif_total,123,1609.6479,1151.9669,873.1169,967.5186,1102.6143,1320.5342,1401.7685,1818.6013,5696.8429,5924.947
200,ratio_L_P,123,0.0998,0.0107,0.0458,0.0936,0.0964,0.1009,0.1034,0.1051,0.1342,0.1346
200,taux_interne,123,0.0147,0.0015,0.0114,0.0127,0.014,0.0144,0.0157,0.0169,0.0175,0.0176
200,levier_entite,123,0.8609,0.1599,0.3186,0.8519,0.9098,0.9117,0.9152,0.9172,0.9437,0.9609
210,passif_total,132,1240.7616,298.8473,254.9738,976.3483,1073.386,1265.3371,1332.5564,1484.9799,1939.0362,1947.2425
210,actif_liquide,132,121.8726,35.8714,11.9913,94.3841,101.8059,122.6207,129.7683,151.7635,231.4455,247.0017
210,actif_total,132,1669.7668,1258.4162,261.9652,1070.1878,1161.1676,1382.8083,1459.8324,1632.5249,6285.7868,6583.7957
210,ratio_L_P,132,0.0972,0.0107,0.047,0.0922,0.0945,0.0991,0.1019,0.103,0.1201,0.1268
210,taux_interne,132,0.0146,0.0026,0.0113,0.013,0.0137,0.0141,0.0153,0.016,0.0282,0.0313
210,levier_entite,132,0.8639,0.1627,0.2891,0.9093,0.9112,0.9126,0.9168,0.9192,0.9476,0.9733
220,passif_total,135,1329.4406,290.3256,332.1419,1074.638,1177.9591,1333.8861,1383.6174,1529.4153,2146.4946,2152.3154
220,actif_liquide,135,134.9785,49.324,11.9913,104.3801,110.1315,128.1138,133.8753,155.6313,302.378,305.5692
220,actif_total,135,1791.9402,1370.2758,339.1332,1164.0325,1283.3717,1458.7987,1514.2051,1680.3865,6934.6605,7298.7831
220,ratio_L_P,135,0.0994,0.0138,0.0361,0.092,0.0938,0.0982,0.1003,0.1022,0.1414,0.1448
220,taux_interne,135,0.014,0.0017,0.0108,0.0128,0.0134,0.0137,0.0146,0.0153,0.0174,0.0274
220,levier_entite,135,0.8647,0.1622,0.274,0.9099,0.9121,0.9135,0.9173,0.9194,0.9276,0.9794
