pas,valeur
5,21.194911
5,21.194911
5,21.194911
5,21.194911
5,21.194911
5,21.194911
5,21.194911
5,21.194911
5,21.194911
5,21.194911
5,21.194911
5,11.819348
5,8.597404
10,39.507049
10,39.507049
10,39.507049
10,39.507049
10,39.507049
10,39.507049
10,39.507049
10,39.507049
10,39.507049
10,39.507049
10,39.507049
10,27.998475
10,24.516413
15,62.184912
15,62.184912
15,62.184912
15,62.184912
15,62.184912
15,62.184912
15,62.184912
15,62.184912
15,62.184912
15,62.184912
15,62.184912
15,48.073575
15,43.702705
15,18.008138
15,8.597404
20,88.659836
20,88.659836
20,88.659836
20,88.659836
20,88.659836
20,88.659836
20,88.659836
20,88.659836
20,88.659836
20,88.659836
20,88.659836
20,72.363781
20,67.201483
20,35.490357
20,24.516413
20,21.194911
20,11.819348
25,105.989941
25,110.458449
25,118.134887
25,118.134887
25,118.134887
25,118.134887
25,118.134887
25,118.134887
25,118.134887
25,118.134887
25,118.134887
25,100.133758
25,94.340036
25,57.320548
25,43.702705
25,39.507049
25,27.998475
25,18.008138
25,39.532831
25,34.185531
30,132.607572
30,131.937604
30,132.060805
30,133.402348
30,136.220636
30,149.856486
30,149.856486
30,149.856486
30,149.856486
30,149.856486
30,149.856486
30,130.593408
30,124.322179
30,83.099452
30,67.201483
30,62.184912
30,48.073575
30,35.490357
30,56.279726
30,50.317759
30,44.711234
30,42.042083
30,39.494065
35,169.34296
35,167.967253
35,165.452002
35,164.379945
35,163.509194
35,183.156417
35,183.156417
35,183.156417
35,183.156417
35,183.156417
35,183.156417
35,163.021393
35,156.409973
35,112.037173
35,94.340036
35,88.659836
35,72.363781
35,57.320548
35,76.496002
35,69.655561
35,63.035741
35,59.804797
35,56.635024
40,208.525971
40,207.01507
40,204.072041
40,202.647015
40,201.261927
40,195.203261
40,207.441518
40,217.45787
40,217.45787
40,217.45787
40,217.45787
40,196.7861
40,189.95346
40,143.365837
40,124.322179
40,118.134887
40,100.133758
40,83.099452
40,99.379037
40,91.765646
40,84.319063
40,80.647607
40,77.016463
40,53.199483
40,8.597404
40,41.985246
45,223.491603
45,228.361139
45,225.414043
45,231.009859
45,229.562262
45,231.449787
45,228.212195
45,228.322705
45,228.322705
45,228.322705
45,229.20932
45,231.346534
45,224.393837
45,176.399153
45,156.409973
45,149.856486
45,130.593408
45,112.037173
45,124.417815
45,116.179947
45,108.067912
45,104.040655
45,100.037567
45,73.041989
45,90.244334
45,90.686137
45,87.879515
45,49.401333
45,49.610911
45,85.121324
50,263.168542
50,259.806602
50,256.887178
50,255.027604
50,253.607082
50,244.478439
50,265.770505
50,264.576964
50,264.576964
50,264.576964
50,263.490473
50,242.619314
50,259.258777
50,210.542144
50,189.95346
50,183.156417
50,163.021393
50,143.365837
50,151.14351
50,142.42833
50,133.804437
50,129.500459
50,125.206163
50,95.722372
50,108.975486
50,109.682857
50,105.640752
50,67.335843
50,67.568758
50,99.322101
50,92.484986
55,278.873289
55,277.48244
55,279.330628
55,298.01156
55,296.587443
55,285.873488
55,277.323193
55,276.158891
55,276.158891
55,276.158891
55,275.9924
55,276.766937
55,294.154776
55,245.288704
55,224.393837
55,217.45787
55,196.7861
55,176.399153
55,179.119869
55,170.063744
55,161.070471
55,156.563482
55,152.053325
55,120.659753
55,129.848481
55,130.61576
55,125.728666
55,88.829291
55,89.095331
55,118.178236
55,110.986046
55,97.947078
55,98.218647
55,98.994776
55,100.785879
60,323.198438
60,317.956343
60,314.13374
60,320.348374
60,318.963248
60,330.694313
60,318.197068
60,317.007657
60,317.007657
60,317.007657
60,314.53731
60,315.839598
60,309.74793
60,280.214811
60,259.258777
60,252.271778
60,231.346534
60,210.542144
60,207.951032
60,198.676378
60,189.442121
60,184.798923
60,180.141449
60,147.366707
60,152.060463
60,152.852915
60,147.196096
60,112.750294
60,113.04636
60,138.754741
60,131.655479
60,116.808147
60,117.071441
60,116.990257
60,117.277504
60,140.695076
65,339.348671
65,352.108237
65,362.994745
65,353.821304
65,352.473443
65,342.062315
65,348.213985
65,361.152518
65,361.152518
65,361.152518
65,358.385174
65,355.070265
65,334.505519
65,314.97013
65,294.154776
65,287.18955
65,266.246793
65,245.288704
65,237.285964
65,227.90027
65,218.538104
65,213.8178
65,209.073852
65,175.393762
65,175.269485
65,176.073816
65,169.694688
65,138.56018
65,138.881558
65,160.473962
65,153.629214
65,137.678155
65,137.930453
65,137.338467
65,137.098119
65,153.094199
65,115.722007
65,107.060332
70,387.734774
70,379.648585
70,375.802727
70,385.984761
70,400.322172
70,387.035013
70,371.54754
70,381.0458
70,381.0458
70,381.0458
70,387.494605
70,393.582657
70,371.38343
70,349.269302
70,328.758529
70,321.874541
70,301.108115
70,280.214811
70,266.819223
70,257.415183
70,248.022837
70,243.276704
70,238.499214
70,204.332928
70,199.202787
70,200.009288
70,192.958519
70,165.806958
70,166.148873
70,183.046214
70,176.566351
70,159.757536
70,159.994486
70,158.918679
70,158.253664
70,169.729781
70,134.333274
70,168.097444
70,154.553289
70,60.799362
70,57.237587
75,402.357189
75,397.872167
75,398.652748
75,411.817912
75,391.414579
75,399.813922
75,391.975863
75,411.762049
75,411.762049
75,411.762049
75,408.949078
75,398.699097
75,409.051208
75,382.883525
75,362.808281
75,356.05336
75,335.620187
75,314.97013
75,296.289391
75,286.945665
75,277.606203
75,272.877978
75,268.112205
75,233.822048
75,223.614492
75,224.414906
75,216.747515
75,194.080775
75,194.438718
75,206.22948
75,200.202118
75,182.720026
75,182.937785
75,181.375748
75,180.290836
75,187.365017
75,155.060907
75,183.391524
75,166.746149
75,127.554697
75,169.606714
75,126.639919
75,155.423798
80,439.066417
80,444.924897
80,438.566827
80,425.257495
80,430.135138
80,445.497373
80,426.753132
80,422.305782
80,422.305782
80,422.305782
80,419.127161
80,436.076257
80,414.754105
80,415.63274
80,396.095624
80,389.507555
80,369.532559
80,349.269302
80,325.476168
80,316.258465
80,307.041371
80,302.367767
80,297.651789
80,263.545753
80,248.282977
