# Statistiques résumées des distributions par grandeur et par pas
pas,nom,n,moyenne,ecart_type,min,q10,q25,median,q75,q90,q99,max
195,actif_total,109,812.9399,741.014,398.0371,423.3623,451.7329,540.691,714.6356,1778.9604,3497.1162,3716.8712
195,ratio_L_P,109,0.0786,0.012,0.0329,0.0695,0.0753,0.0782,0.081,0.0843,0.1197,0.1201
195,taux_interne,109,0.0215,0.0032,0.0155,0.0159,0.0193,0.0222,0.0243,0.0251,0.0258,0.0259
195,levier_entite,109,0.8746,0.1771,0.272,0.5868,0.934,0.9352,0.9365,0.9434,0.9556,0.979
200,passif_total,112,588.7671,226.7761,8.5974,406.6209,432.6882,507.7472,670.6037,1055.6335,1125.7294,1126.2205
200,actif_liquide,112,48.4241,27.4064,8.3939,30.2339,31.8744,39.212,50.7829,79.2804,151.3804,158.5526
200,actif_total,112,822.3208,784.0401,11.9913,432.0965,461.0607,542.3897,716.6285,1644.1558,3707.5233,3955.4154
200,ratio_L_P,112,0.0874,0.0854,0.0345,0.0685,0.0749,0.0781,0.0805,0.0874,0.1404,0.9763
200,taux_interne,112,0.0228,0.0145,0.0149,0.0154,0.0193,0.0222,0.024,0.0248,0.0412,0.1705
200,levier_entite,112,0.8755,0.1737,0.2846,0.6433,0.9344,0.9355,0.9379,0.9445,0.9564,0.9754
