step,volume_joules,nb_entites,ratio_destruction
357,166.6509,1,0.511977
358,164.1461,1,1.0
361,326.9931,2,0.509405
362,321.9382,2,0.672173
363,159.8694,1,1.0
365,163.163,1,0.507676
366,162.5672,1,0.504522
367,165.9808,1,0.512658
368,161.8067,1,1.0
370,162.2402,1,0.253357
371,495.768,3,1.0
373,165.0889,1,1.0
377,163.3639,1,1.0
379,331.4943,2,1.0
382,325.9395,2,0.671224
383,165.924,1,1.0
385,325.8194,2,0.338707
386,657.9985,4,1.0
388,487.6248,3,1.0
391,325.2632,2,1.0
393,167.0681,1,1.0
395,330.8051,2,0.677517
396,160.8825,1,0.253592
397,485.4544,3,0.754771
398,161.5651,1,0.336454
399,330.3415,2,1.0
401,166.9832,1,0.516118
402,158.9214,1,0.49869
403,166.1491,1,0.511902
404,163.053,1,0.507313
405,162.8973,1,0.506815
406,163.3523,1,0.205481
407,647.8013,4,0.577469
408,486.5451,3,0.754093
409,163.7396,1,1.0
412,325.9231,2,0.670416
413,167.2614,1,0.347478
414,319.9472,2,1.0
416,167.3032,1,1.0
418,161.6254,1,0.337766
419,326.4318,2,0.672406
420,164.4407,1,0.511525
421,159.8684,1,0.337025
422,320.8666,2,1.0
424,162.2212,1,0.506677
425,162.0533,1,0.503206
426,166.819,1,1.0
428,161.2576,1,1.0
430,162.9292,1,0.339471
431,326.6027,2,1.0
434,489.1211,3,0.756567
435,160.76,1,1.0
437,163.4262,1,0.340312
438,326.1021,2,0.672334
439,164.2246,1,0.505979
440,167.4308,1,0.511246
441,166.7646,1,1.0
443,323.7754,2,0.504873
444,327.7891,2,0.673788
445,163.8374,1,0.507884
446,163.869,1,1.0
448,328.4789,2,0.673584
449,164.9395,1,1.0
451,166.2271,1,0.514097
452,160.0894,1,0.335568
453,326.6637,2,1.0
455,164.935,1,1.0
458,161.3831,1,1.0
460,327.7928,2,0.509314
461,323.8846,2,0.672014
462,162.3004,1,0.337396
463,330.6038,2,1.0
468,490.2326,3,1.0
470,162.6936,1,1.0
473,331.0079,2,0.509882
474,329.1285,2,0.673396
475,165.9857,1,1.0
477,320.2266,2,0.667925
478,164.9116,1,0.339882
479,334.3428,2,0.677383
480,164.9661,1,0.342443
481,325.8804,2,1.0
483,167.1062,1,1.0
485,484.2267,3,0.75315
486,163.7188,1,0.51077
487,159.4465,1,0.499421
488,166.5151,1,1.0
490,164.4363,1,0.508385
491,164.3728,1,1.0
493,164.9964,1,0.343299
494,323.5573,2,0.506795
495,321.8203,2,0.668644
496,165.7131,1,1.0
498,164.5998,1,0.341157
499,328.7771,2,0.67233
500,167.3257,1,1.0
