# Données détaillées de chaque cascade de faillites
step,nb_entites_faillie,volume_actifs_detruits,volume_creances_annulees,volume_passif_efface,actif_systeme_avant,passif_systeme_avant,liquidite_systeme_avant,nb_entites_avant,ratio_destruction,ratio_contagion,nb_contamines,nb_deja_fragiles,passif_median_failli
189,1,158.6784,0.0,168.1655,158.6784,168.1655,90.5129,1,1.0,0.0,0,1,168.1655
192,2,325.9495,0.0,338.0413,325.9495,338.0413,187.9082,2,1.0,0.0,0,2,169.0536
194,2,321.7123,0.0,337.2026,635.1323,537.2026,497.9297,4,0.506528,0.0,0,2,168.9552
195,2,318.4092,0.0,336.539,318.4092,336.539,181.8701,2,1.0,0.0,0,2,168.283
197,2,328.8018,0.0,338.6074,487.01,438.6074,348.4026,3,0.675144,0.0,0,2,169.3896
198,1,162.5437,0.0,168.9437,162.5437,168.9437,93.6001,1,1.0,0.0,0,1,168.9437
200,1,159.3741,0.0,168.3084,159.3741,168.3084,91.0657,1,1.0,0.0,0,1,168.3084
202,1,166.0265,0.0,169.6212,166.0265,169.6212,96.4053,1,1.0,0.0,0,1,169.6212
204,2,325.3966,0.0,337.9105,957.5473,737.9105,819.6368,6,0.339823,0.0,0,2,169.1841
205,4,648.8129,0.0,675.4678,1122.176,975.4678,846.7082,7,0.578174,0.0,0,4,168.7656
206,3,485.1818,0.0,506.2634,642.1636,606.2634,435.9002,4,0.755542,0.0,0,3,168.4605
207,1,159.8293,0.0,168.3918,159.8293,168.3918,91.4375,1,1.0,0.0,0,1,168.3918
209,1,162.2757,0.0,168.8871,477.7706,368.8871,408.8835,3,0.339652,0.0,0,1,168.8871
210,2,323.2088,0.0,337.4727,480.7105,437.4727,343.2378,3,0.672356,0.0,0,2,169.24
211,1,161.1023,0.0,168.6258,161.1023,168.6258,92.4765,1,1.0,0.0,0,1,168.6258
213,1,164.6838,0.0,169.3481,321.1342,269.3481,251.7862,2,0.512819,0.0,0,1,169.3481
214,1,158.596,0.0,168.1527,158.596,168.1527,90.4433,1,1.0,0.0,0,1,168.1527
220,1,161.8677,0.0,168.8165,321.7003,268.8165,252.8837,2,0.503163,0.0,0,1,168.8165
221,1,166.3613,0.0,169.6747,166.3613,169.6747,96.6866,1,1.0,0.0,0,1,169.6747
223,3,485.8955,0.0,506.4653,644.6475,606.4653,438.1822,4,0.753738,0.0,0,3,168.7177
224,1,163.866,0.0,169.1884,321.6304,269.1884,252.4421,2,0.509485,0.0,0,1,169.1884
225,1,161.6527,0.0,168.744,161.6527,168.744,92.9087,1,1.0,0.0,0,1,168.744
227,2,331.1802,0.0,339.0266,646.6784,539.0266,507.6518,4,0.512125,0.0,0,2,169.5914
228,2,323.1987,0.0,337.4742,640.9956,537.4742,503.5214,4,0.504214,0.0,0,2,169.0195
229,2,328.4256,0.0,338.5086,328.4256,338.5086,189.917,2,1.0,0.0,0,2,169.2567
233,1,162.6654,0.0,168.9443,322.5078,268.9443,253.5635,2,0.504377,0.0,0,1,168.9443
234,1,166.3169,0.0,169.6791,325.8725,269.6791,256.1934,2,0.510374,0.0,0,1,169.6791
235,1,165.6673,0.0,169.55,324.6686,269.55,255.1186,2,0.510266,0.0,0,1,169.55
236,1,164.4128,0.0,169.3006,164.4128,169.3006,95.1123,1,1.0,0.0,0,1,169.3006
239,1,165.0265,0.0,169.4119,165.0265,169.4119,95.6146,1,1.0,0.0,0,1,169.4119
242,1,163.2418,0.0,169.0705,322.0294,269.0705,252.9589,2,0.506916,0.0,0,1,169.0705
243,1,164.002,0.0,169.2044,320.7963,269.2044,251.5919,2,0.511234,0.0,0,1,169.2044
244,1,159.3771,0.0,168.3074,635.0961,468.3074,566.7886,4,0.25095,0.0,0,1,168.3074
245,3,490.3037,0.0,507.3235,490.3037,507.3235,282.9802,3,1.0,0.0,0,3,169.1774
247,1,165.9774,0.0,169.5881,324.9557,269.5881,255.3676,2,0.510769,0.0,0,1,169.5881
248,1,164.2994,0.0,169.2902,164.2994,169.2902,95.0092,1,1.0,0.0,0,1,169.2902
253,2,325.8631,0.0,338.0279,483.6167,438.0279,345.5888,3,0.673804,0.0,0,2,169.6438
254,1,161.6322,0.0,168.7391,161.6322,168.7391,92.8931,1,1.0,0.0,0,1,168.7391
256,3,489.7238,0.0,507.1938,649.3459,607.1938,442.1521,4,0.75418,0.0,0,3,168.9306
257,1,165.9142,0.0,169.58,643.6858,469.58,574.1058,4,0.257756,0.0,0,1,169.58
258,3,495.1793,0.0,508.2472,812.4979,708.2472,604.2506,5,0.609453,0.0,0,3,169.5668
259,2,327.4463,0.0,338.2934,327.4463,338.2934,189.153,2,1.0,0.0,0,2,169.6464
261,2,321.3633,0.0,337.1294,640.4632,537.1294,503.3337,4,0.501767,0.0,0,2,168.9429
262,2,331.5105,0.0,339.095,647.1652,539.095,508.0702,4,0.51225,0.0,0,2,169.7977
263,2,323.6235,0.0,337.5446,638.0964,537.5446,500.5518,4,0.50717,0.0,0,2,169.3963
264,2,320.7816,0.0,337.0128,480.786,437.0128,343.7732,3,0.667202,0.0,0,2,168.6757
265,1,166.8484,0.0,169.752,166.8484,169.752,97.0965,1,1.0,0.0,0,1,169.752
268,1,160.7266,0.0,168.5677,321.0062,268.5677,252.4385,2,0.500696,0.0,0,1,168.5677
269,1,167.2974,0.0,169.8758,485.8841,369.8758,416.0083,3,0.344316,0.0,0,1,169.8758
270,2,330.3752,0.0,338.864,330.3752,338.864,191.5112,2,1.0,0.0,0,2,169.8872
272,2,324.1775,0.0,337.6671,483.3513,437.6671,345.6842,3,0.670687,0.0,0,2,169.4491
273,1,164.8076,0.0,169.3782,324.3013,269.3782,254.9231,2,0.508193,0.0,0,1,169.3782
274,1,165.577,0.0,169.5222,165.577,169.5222,96.0549,1,1.0,0.0,0,1,169.5222
