# Statistiques résumées des distributions par grandeur et par pas
step,name,n,mean,std,min,q10,q25,median,q75,q90,q99,max
800,levier_entite,2,1.1169,0.0032,1.1137,1.1144,1.1153,1.1169,1.1185,1.1195,1.1201,1.1201
850,passif_total,1,177.3762,0.0,177.3762,177.3762,177.3762,177.3762,177.3762,177.3762,177.3762,177.3762
850,actif_liquide,1,82.3762,0.0,82.3762,82.3762,82.3762,82.3762,82.3762,82.3762,82.3762,82.3762
850,actif_total,1,159.7525,0.0,159.7525,159.7525,159.7525,159.7525,159.7525,159.7525,159.7525,159.7525
850,ratio_L_P,1,0.4644,0.0,0.4644,0.4644,0.4644,0.4644,0.4644,0.4644,0.4644,0.4644
850,taux_interne,1,0.0427,0.0,0.0427,0.0427,0.0427,0.0427,0.0427,0.0427,0.0427,0.0427
850,levier_entite,1,1.1103,0.0,1.1103,1.1103,1.1103,1.1103,1.1103,1.1103,1.1103,1.1103
900,passif_total,1,176.8884,0.0,176.8884,176.8884,176.8884,176.8884,176.8884,176.8884,176.8884,176.8884
900,actif_liquide,1,81.8884,0.0,81.8884,81.8884,81.8884,81.8884,81.8884,81.8884,81.8884,81.8884
900,actif_total,1,158.7767,0.0,158.7767,158.7767,158.7767,158.7767,158.7767,158.7767,158.7767,158.7767
900,ratio_L_P,1,0.4629,0.0,0.4629,0.4629,0.4629,0.4629,0.4629,0.4629,0.4629,0.4629
900,taux_interne,1,0.039,0.0,0.039,0.039,0.039,0.039,0.039,0.039,0.039,0.039
900,levier_entite,1,1.1141,0.0,1.1141,1.1141,1.1141,1.1141,1.1141,1.1141,1.1141,1.1141
950,passif_total,2,176.2965,0.2323,176.0642,176.1106,176.1803,176.2965,176.4127,176.4824,176.5242,176.5288
950,actif_liquide,2,81.2965,0.2323,81.0642,81.1106,81.1803,81.2965,81.4127,81.4824,81.5242,81.5288
950,actif_total,2,157.593,0.4647,157.1284,157.2213,157.3607,157.593,157.8254,157.9648,158.0484,158.0577
950,ratio_L_P,2,0.4611,0.0007,0.4604,0.4606,0.4608,0.4611,0.4615,0.4617,0.4618,0.4618
950,taux_interne,2,0.0346,0.0017,0.0328,0.0332,0.0337,0.0346,0.0355,0.036,0.0363,0.0363
950,levier_entite,2,1.1187,0.0018,1.1169,1.1172,1.1178,1.1187,1.1196,1.1201,1.1205,1.1205
