step,n_entities_alive,n_entities_total,n_spawned,extraction_total,interest_paid_total,amortissement_total,credit_transactions,auto_invest_total,n_failures,destroyed_assets,redirected_claims,volume_prets_actifs,n_prets_actifs,actif_total_systeme,passif_total_systeme,liquidite_totale,mean_passif,mean_internal_rate
48,1,65,1,21.5692,0.0,0.0,0,77.1776,1,0.0,0.0,0,0,159.3553,177.1776,82.1776,177.1776,0.041188
49,0,65,0,14.5861,0.0,0.0,0,0.0,1,0.0,0.0,0,0,0,0,0,0.0,0.0
50,3,68,3,30.4357,0.0,0.0,0,230.3157,0,0.0,0.0,0,0,475.6314,530.3157,245.3157,176.7719,0.038144
51,0,68,0,40.4304,0.0,0.0,0,0.0,3,0.0,0.0,0,0,0,0,0,0.0,0.0
52,0,68,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0.0,0.0
53,0,68,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0.0,0.0
54,2,70,2,22.2022,0.0,0.0,0,154.4901,0,0.0,0.0,0,0,318.9801,354.4901,164.4901,177.245,0.04169
55,1,71,1,40.6113,0.0,0.0,0,77.1684,2,0.0,0.0,0,0,159.3368,177.1684,82.1684,177.1684,0.041119
56,2,73,2,37.3276,0.0,0.0,0,154.7059,1,0.0,0.0,0,0,319.4118,354.7059,164.7059,177.3529,0.042497
57,1,74,1,41.2978,0.0,0.0,0,77.2848,2,0.0,0.0,0,0,159.5696,177.2848,82.2848,177.2848,0.041988
58,0,74,0,15.0235,0.0,0.0,0,0.0,1,0.0,0.0,0,0,0,0,0,0.0,0.0
59,0,74,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0.0,0.0
60,0,74,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0.0,0.0
61,2,76,2,22.4905,0.0,0.0,0,154.6328,0,0.0,0.0,0,0,319.2656,354.6328,164.6328,177.3164,0.042222
62,1,77,1,41.8179,0.0,0.0,0,77.6158,2,0.0,0.0,0,0,160.2316,177.6158,82.6158,177.6158,0.044458
63,1,78,1,26.2835,0.0,0.0,0,76.9103,1,0.0,0.0,0,0,158.8206,176.9103,81.9103,176.9103,0.039189
64,1,79,1,22.9314,0.0,0.0,0,76.2144,1,0.0,0.0,0,0,157.4287,176.2144,81.2144,176.2144,0.033971
65,2,81,2,31.0718,0.0,0.0,0,152.8864,1,0.0,0.0,0,0,315.7728,352.8864,162.8864,176.4432,0.035681
66,2,83,2,44.019,0.0,0.0,0,152.8291,2,0.0,0.0,0,0,315.6583,352.8291,162.8291,176.4146,0.035474
67,3,86,3,52.0508,0.0,0.0,0,228.5779,2,0.0,0.0,0,0,472.1557,528.5779,243.5779,176.1926,0.033805
68,1,87,1,45.5881,0.0,0.0,0,76.6469,3,0.0,0.0,0,0,158.2938,176.6469,81.6469,176.6469,0.037216
69,0,87,0,13.1597,0.0,0.0,0,0.0,1,0.0,0.0,0,0,0,0,0,0.0,0.0
70,1,88,1,9.3408,0.0,0.0,0,76.3737,0,0.0,0.0,0,0,157.7473,176.3737,81.3737,176.3737,0.035167
71,2,90,2,30.1447,0.0,0.0,0,152.2991,1,0.0,0.0,0,0,314.5981,352.2991,162.2991,176.1495,0.033483
72,1,91,1,32.3647,0.0,0.0,0,76.095,2,0.0,0.0,0,0,157.19,176.095,81.095,176.095,0.033073
73,1,92,1,22.6085,0.0,0.0,0,77.1969,1,0.0,0.0,0,0,159.3938,177.1969,82.1969,177.1969,0.041332
74,0,92,0,14.6498,0.0,0.0,0,0.0,1,0.0,0.0,0,0,0,0,0,0.0,0.0
75,1,93,1,11.8319,0.0,0.0,0,77.6068,0,0.0,0.0,0,0,160.2135,177.6068,82.6068,177.6068,0.044391
76,2,95,2,36.8772,0.0,0.0,0,153.9208,1,0.0,0.0,0,0,317.8416,353.9208,163.9208,176.9604,0.039564
77,1,96,1,39.4179,0.0,0.0,0,77.3545,2,0.0,0.0,0,0,159.7091,177.3545,82.3545,177.3545,0.042509
78,2,98,2,34.6005,0.0,0.0,0,153.1958,1,0.0,0.0,0,0,316.3915,353.1958,163.1958,176.5979,0.036846
79,0,98,0,25.9356,0.0,0.0,0,0.0,2,0.0,0.0,0,0,0,0,0,0.0,0.0
80,0,98,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0.0,0.0
81,0,98,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0.0,0.0
82,0,98,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0.0,0.0
83,0,98,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0.0,0.0
84,1,99,1,8.925,0.0,0.0,0,76.1679,0,0.0,0.0,0,0,157.3358,176.1679,81.1679,176.1679,0.033621
85,1,100,1,21.5033,0.0,0.0,0,76.5332,1,0.0,0.0,0,0,158.0665,176.5332,81.5332,176.5332,0.036364
86,2,102,2,34.6609,0.0,0.0,0,154.313,1,0.0,0.0,0,0,318.626,354.313,164.313,177.1565,0.04103
87,3,105,3,59.4253,0.0,0.0,0,230.239,2,0.0,0.0,0,0,475.478,530.239,245.239,176.7463,0.037957
88,0,105,0,40.3123,0.0,0.0,0,0.0,3,0.0,0.0,0,0,0,0,0,0.0,0.0
89,1,106,1,10.489,0.0,0.0,0,76.9421,0,0.0,0.0,0,0,158.8841,176.9421,81.9421,176.9421,0.039427
90,1,107,1,21.9969,0.0,0.0,0,75.7637,1,0.0,0.0,0,0,156.5273,175.7637,80.7637,175.7637,0.03058
91,0,107,0,10.7892,0.0,0.0,0,0.0,1,0.0,0.0,0,0,0,0,0,0.0,0.0
92,1,108,1,9.3074,0.0,0.0,0,76.3572,0,0.0,0.0,0,0,157.7143,176.3572,81.3572,176.3572,0.035043
93,1,109,1,23.7398,0.0,0.0,0,77.3572,1,0.0,0.0,0,0,159.7144,177.3572,82.3572,177.3572,0.042529
94,2,111,2,36.3063,0.0,0.0,0,153.9978,1,0.0,0.0,0,0,317.9955,353.9978,163.9978,176.9989,0.039852
95,0,111,0,28.2664,0.0,0.0,0,0.0,2,0.0,0.0,0,0,0,0,0,0.0,0.0
96,0,111,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0.0,0.0
97,0,111,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0.0,0.0
98,2,113,2,19.469,0.0,0.0,0,153.1372,0,0.0,0.0,0,0,316.2743,353.1372,163.1372,176.5686,0.036623
99,2,115,2,44.6713,0.0,0.0,0,152.812,2,0.0,0.0,0,0,315.624,352.812,162.812,176.406,0.035401
100,0,115,0,24.876,0.0,0.0,0,0.0,2,0.0,0.0,0,0,0,0,0,0.0,0.0
101,2,117,2,21.4916,0.0,0.0,0,154.1383,0,0.0,0.0,0,0,318.2767,354.1383,164.1383,177.0692,0.040377
102,0,117,0,28.7903,0.0,0.0,0,0.0,2,0.0,0.0,0,0,0,0,0,0.0,0.0
103,1,118,1,10.0238,0.0,0.0,0,76.7118,0,0.0,0.0,0,0,158.4236,176.7118,81.7118,176.7118,0.037703
104,2,120,2,36.4712,0.0,0.0,0,154.9632,1,0.0,0.0,0,0,319.9264,354.9632,164.9632,177.4816,0.043457
105,1,121,1,42.0155,0.0,0.0,0,77.3102,2,0.0,0.0,0,0,159.6205,177.3102,82.3102,177.3102,0.042178
106,1,122,1,26.2849,0.0,0.0,0,77.3964,1,0.0,0.0,0,0,159.7928,177.3964,82.3964,177.3964,0.042822
107,0,122,0,15.2012,0.0,0.0,0,0.0,1,0.0,0.0,0,0,0,0,0,0.0,0.0
108,1,123,1,9.8588,0.0,0.0,0,76.6301,0,0.0,0.0,0,0,158.2602,176.6301,81.6301,176.6301,0.037091
109,1,124,1,21.9396,0.0,0.0,0,76.13,1,0.0,0.0,0,0,157.26,176.13,81.13,176.13,0.033337
110,0,124,0,11.7529,0.0,0.0,0,0.0,1,0.0,0.0,0,0,0,0,0,0.0,0.0
111,2,126,2,16.3831,0.0,0.0,0,151.6096,0,0.0,0.0,0,0,313.2192,351.6096,161.6096,175.8048,0.03089
