# Données détaillées de chaque cascade de faillites
step,nb_entites_faillie,volume_actifs_detruits,volume_creances_annulees,volume_passif_efface,actif_systeme_avant,passif_systeme_avant,liquidite_systeme_avant,nb_entites_avant,ratio_destruction,ratio_contagion,nb_contamines,nb_deja_fragiles,passif_median_failli
79,2,433.2898,0.0,561.6782,433.2898,561.6782,251.6116,2,1.0,0.0,0,2,281.3039
85,1,214.0952,0.0,280.3057,425.2816,470.3057,334.9759,2,0.50342,0.0,0,1,280.3057
86,1,216.2849,0.0,280.7589,642.0943,660.7589,551.3354,3,0.336843,0.0,0,1,280.7589
87,2,440.2689,0.0,563.0642,1075.5907,1133.0642,892.5265,5,0.409328,0.0,0,2,281.6182
88,3,652.8814,0.0,843.0698,652.8814,843.0698,379.8116,3,1.0,0.0,0,3,281.2194
90,1,218.709,0.0,281.2661,427.7739,471.2661,336.5078,2,0.511272,0.0,0,1,281.2661
91,1,211.7089,0.0,279.8042,211.7089,279.8042,121.9047,1,1.0,0.0,0,1,279.8042
93,1,215.3136,0.0,280.5405,428.7716,470.5405,338.2311,2,0.502164,0.0,0,1,280.5405
94,1,221.3244,0.0,281.7811,646.2647,661.7811,554.4836,3,0.342467,0.0,0,1,281.7811
95,2,438.3347,0.0,562.6731,438.3347,562.6731,255.6616,2,1.0,0.0,0,2,281.3386
99,2,433.0401,0.0,561.6055,854.7115,941.6055,673.1059,4,0.506651,0.0,0,2,281.4557
100,2,430.9456,0.0,561.2021,430.9456,561.2021,249.7435,2,1.0,0.0,0,2,281.4014
102,2,439.3653,0.0,562.8475,439.3653,562.8475,256.5178,2,1.0,0.0,0,2,281.6351
104,1,217.3799,0.0,280.9804,644.9818,660.9804,554.0014,3,0.337033,0.0,0,1,280.9804
105,2,444.038,0.0,563.8708,657.3665,753.8708,473.4956,3,0.67548,0.0,0,2,282.0976
106,1,220.922,0.0,281.7228,434.4881,471.7228,342.7652,2,0.508465,0.0,0,1,281.7228
107,1,221.5563,0.0,281.8297,221.5563,281.8297,129.7266,1,1.0,0.0,0,1,281.8297
109,1,216.8856,0.0,280.8791,426.9605,470.8791,336.0814,2,0.507976,0.0,0,1,280.8791
110,1,213.8857,0.0,280.2587,213.8857,280.2587,123.6271,1,1.0,0.0,0,1,280.2587
112,2,423.7099,0.0,559.7105,847.0817,939.7105,667.3712,4,0.5002,0.0,0,2,279.9479
113,2,434.8763,0.0,561.9673,646.1159,751.9673,464.1486,3,0.673062,0.0,0,2,281.6853
114,1,216.3682,0.0,280.7828,216.3682,280.7828,125.5854,1,1.0,0.0,0,1,280.7828
120,2,433.971,0.0,561.7866,433.971,561.7866,252.1844,2,1.0,0.0,0,2,281.5174
126,1,223.0063,0.0,282.1308,436.6638,472.1308,344.533,2,0.510705,0.0,0,1,282.1308
127,1,221.8354,0.0,281.8709,431.7587,471.8709,339.8879,2,0.513795,0.0,0,1,281.8709
128,1,213.4721,0.0,280.1905,843.9922,850.1905,753.8017,4,0.252931,0.0,0,1,280.1905
129,3,642.3185,0.0,840.9091,854.0879,1030.9091,583.1789,4,0.752052,0.0,0,3,279.9196
130,1,217.4787,0.0,281.0212,852.7934,851.0212,761.7722,4,0.255019,0.0,0,1,281.0212
131,3,652.7418,0.0,843.0666,652.7418,843.0666,379.6752,3,1.0,0.0,0,3,281.2631
133,1,214.8484,0.0,280.4531,640.7347,660.4531,550.2817,3,0.335316,0.0,0,1,280.4531
