# Historiques d'entités surveillées (snapshots toutes les freq_snapshot étapes)
entity_id,step,alive,creation_step,actif_liquide,actif_prete,actif_endoinvesti,actif_exoinvesti,actif_total,passif_inne,passif_endoinvesti,passif_exoinvesti,passif_credit_detenu,passif_total,extraction,interest_received,interest_paid,depreciation
1,0,1,0,110.962005,0.0,101.462005,0.0,212.424011,190.0,101.462005,0.0,0.0,291.462005,14.569708,0.0,0.0,2.145697
1,50,0,0,127.696881,0.0,91.315805,0.0,219.012686,190.0,91.315805,0.0,0.0,281.315805,18.024743,0.0,0.0,11.436068
1,100,0,0,127.696881,0.0,91.315805,0.0,219.012686,190.0,91.315805,0.0,0.0,281.315805,0.0,0.0,0.0,0.0
1,150,0,0,127.696881,0.0,91.315805,0.0,219.012686,190.0,91.315805,0.0,0.0,281.315805,0.0,0.0,0.0,0.0
1,200,0,0,127.696881,0.0,91.315805,0.0,219.012686,190.0,91.315805,0.0,0.0,281.315805,0.0,0.0,0.0,0.0
1,250,0,0,127.696881,0.0,91.315805,0.0,219.012686,190.0,91.315805,0.0,0.0,281.315805,0.0,0.0,0.0,0.0
1,300,0,0,127.696881,0.0,91.315805,0.0,219.012686,190.0,91.315805,0.0,0.0,281.315805,0.0,0.0,0.0,0.0
1,350,0,0,127.696881,0.0,91.315805,0.0,219.012686,190.0,91.315805,0.0,0.0,281.315805,0.0,0.0,0.0,0.0
1,400,0,0,127.696881,0.0,91.315805,0.0,219.012686,190.0,91.315805,0.0,0.0,281.315805,0.0,0.0,0.0,0.0
1,450,0,0,127.696881,0.0,91.315805,0.0,219.012686,190.0,91.315805,0.0,0.0,281.315805,0.0,0.0,0.0,0.0
1,500,0,0,127.696881,0.0,91.315805,0.0,219.012686,190.0,91.315805,0.0,0.0,281.315805,0.0,0.0,0.0,0.0
1,550,0,0,127.696881,0.0,91.315805,0.0,219.012686,190.0,91.315805,0.0,0.0,281.315805,0.0,0.0,0.0,0.0
1,600,0,0,127.696881,0.0,91.315805,0.0,219.012686,190.0,91.315805,0.0,0.0,281.315805,0.0,0.0,0.0,0.0
1,650,0,0,127.696881,0.0,91.315805,0.0,219.012686,190.0,91.315805,0.0,0.0,281.315805,0.0,0.0,0.0,0.0
1,700,0,0,127.696881,0.0,91.315805,0.0,219.012686,190.0,91.315805,0.0,0.0,281.315805,0.0,0.0,0.0,0.0
1,750,0,0,127.696881,0.0,91.315805,0.0,219.012686,190.0,91.315805,0.0,0.0,281.315805,0.0,0.0,0.0,0.0
1,800,0,0,127.696881,0.0,91.315805,0.0,219.012686,190.0,91.315805,0.0,0.0,281.315805,0.0,0.0,0.0,0.0
1,850,0,0,127.696881,0.0,91.315805,0.0,219.012686,190.0,91.315805,0.0,0.0,281.315805,0.0,0.0,0.0,0.0
1,900,0,0,127.696881,0.0,91.315805,0.0,219.012686,190.0,91.315805,0.0,0.0,281.315805,0.0,0.0,0.0,0.0
1,950,0,0,127.696881,0.0,91.315805,0.0,219.012686,190.0,91.315805,0.0,0.0,281.315805,0.0,0.0,0.0,0.0
2,0,1,0,109.308991,0.0,99.808991,0.0,209.117982,190.0,99.808991,0.0,0.0,289.808991,11.230285,0.0,0.0,2.112303
2,50,0,0,121.972935,0.0,89.828092,0.0,211.801027,190.0,89.828092,0.0,0.0,279.828092,13.895994,0.0,0.0,11.212949
2,100,0,0,121.972935,0.0,89.828092,0.0,211.801027,190.0,89.828092,0.0,0.0,279.828092,0.0,0.0,0.0,0.0
2,150,0,0,121.972935,0.0,89.828092,0.0,211.801027,190.0,89.828092,0.0,0.0,279.828092,0.0,0.0,0.0,0.0
2,200,0,0,121.972935,0.0,89.828092,0.0,211.801027,190.0,89.828092,0.0,0.0,279.828092,0.0,0.0,0.0,0.0
2,250,0,0,121.972935,0.0,89.828092,0.0,211.801027,190.0,89.828092,0.0,0.0,279.828092,0.0,0.0,0.0,0.0
2,300,0,0,121.972935,0.0,89.828092,0.0,211.801027,190.0,89.828092,0.0,0.0,279.828092,0.0,0.0,0.0,0.0
2,350,0,0,121.972935,0.0,89.828092,0.0,211.801027,190.0,89.828092,0.0,0.0,279.828092,0.0,0.0,0.0,0.0
2,400,0,0,121.972935,0.0,89.828092,0.0,211.801027,190.0,89.828092,0.0,0.0,279.828092,0.0,0.0,0.0,0.0
2,450,0,0,121.972935,0.0,89.828092,0.0,211.801027,190.0,89.828092,0.0,0.0,279.828092,0.0,0.0,0.0,0.0
2,500,0,0,121.972935,0.0,89.828092,0.0,211.801027,190.0,89.828092,0.0,0.0,279.828092,0.0,0.0,0.0,0.0
2,550,0,0,121.972935,0.0,89.828092,0.0,211.801027,190.0,89.828092,0.0,0.0,279.828092,0.0,0.0,0.0,0.0
2,600,0,0,121.972935,0.0,89.828092,0.0,211.801027,190.0,89.828092,0.0,0.0,279.828092,0.0,0.0,0.0,0.0
2,650,0,0,121.972935,0.0,89.828092,0.0,211.801027,190.0,89.828092,0.0,0.0,279.828092,0.0,0.0,0.0,0.0
2,700,0,0,121.972935,0.0,89.828092,0.0,211.801027,190.0,89.828092,0.0,0.0,279.828092,0.0,0.0,0.0,0.0
2,750,0,0,121.972935,0.0,89.828092,0.0,211.801027,190.0,89.828092,0.0,0.0,279.828092,0.0,0.0,0.0,0.0
2,800,0,0,121.972935,0.0,89.828092,0.0,211.801027,190.0,89.828092,0.0,0.0,279.828092,0.0,0.0,0.0,0.0
2,850,0,0,121.972935,0.0,89.828092,0.0,211.801027,190.0,89.828092,0.0,0.0,279.828092,0.0,0.0,0.0,0.0
2,900,0,0,121.972935,0.0,89.828092,0.0,211.801027,190.0,89.828092,0.0,0.0,279.828092,0.0,0.0,0.0,0.0
2,950,0,0,121.972935,0.0,89.828092,0.0,211.801027,190.0,89.828092,0.0,0.0,279.828092,0.0,0.0,0.0,0.0
3,0,1,0,109.979524,0.0,100.479524,0.0,210.459048,190.0,100.479524,0.0,0.0,290.479524,12.584897,0.0,0.0,2.125849
3,50,0,0,124.408001,0.0,90.431572,0.0,214.839572,190.0,90.431572,0.0,0.0,280.431572,15.685123,0.0,0.0,11.304599
3,100,0,0,124.408001,0.0,90.431572,0.0,214.839572,190.0,90.431572,0.0,0.0,280.431572,0.0,0.0,0.0,0.0
3,150,0,0,124.408001,0.0,90.431572,0.0,214.839572,190.0,90.431572,0.0,0.0,280.431572,0.0,0.0,0.0,0.0
3,200,0,0,124.408001,0.0,90.431572,0.0,214.839572,190.0,90.431572,0.0,0.0,280.431572,0.0,0.0,0.0,0.0
3,250,0,0,124.408001,0.0,90.431572,0.0,214.839572,190.0,90.431572,0.0,0.0,280.431572,0.0,0.0,0.0,0.0
3,300,0,0,124.408001,0.0,90.431572,0.0,214.839572,190.0,90.431572,0.0,0.0,280.431572,0.0,0.0,0.0,0.0
3,350,0,0,124.408001,0.0,90.431572,0.0,214.839572,190.0,90.431572,0.0,0.0,280.431572,0.0,0.0,0.0,0.0
3,400,0,0,124.408001,0.0,90.431572,0.0,214.839572,190.0,90.431572,0.0,0.0,280.431572,0.0,0.0,0.0,0.0
3,450,0,0,124.408001,0.0,90.431572,0.0,214.839572,190.0,90.431572,0.0,0.0,280.431572,0.0,0.0,0.0,0.0
3,500,0,0,124.408001,0.0,90.431572,0.0,214.839572,190.0,90.431572,0.0,0.0,280.431572,0.0,0.0,0.0,0.0
3,550,0,0,124.408001,0.0,90.431572,0.0,214.839572,190.0,90.431572,0.0,0.0,280.431572,0.0,0.0,0.0,0.0
3,600,0,0,124.408001,0.0,90.431572,0.0,214.839572,190.0,90.431572,0.0,0.0,280.431572,0.0,0.0,0.0,0.0
3,650,0,0,124.408001,0.0,90.431572,0.0,214.839572,190.0,90.431572,0.0,0.0,280.431572,0.0,0.0,0.0,0.0
3,700,0,0,124.408001,0.0,90.431572,0.0,214.839572,190.0,90.431572,0.0,0.0,280.431572,0.0,0.0,0.0,0.0
3,750,0,0,124.408001,0.0,90.431572,0.0,214.839572,190.0,90.431572,0.0,0.0,280.431572,0.0,0.0,0.0,0.0
3,800,0,0,124.408001,0.0,90.431572,0.0,214.839572,190.0,90.431572,0.0,0.0,280.431572,0.0,0.0,0.0,0.0
3,850,0,0,124.408001,0.0,90.431572,0.0,214.839572,190.0,90.431572,0.0,0.0,280.431572,0.0,0.0,0.0,0.0
3,900,0,0,124.408001,0.0,90.431572,0.0,214.839572,190.0,90.431572,0.0,0.0,280.431572,0.0,0.0,0.0,0.0
