step,volume_joules,nb_entites,ratio_destruction
358,218.7396,1,1.0
361,435.7637,2,0.508795
362,429.0839,2,0.671683
363,213.0921,1,1.0
365,217.4425,1,0.507033
366,216.6597,1,0.503821
367,221.1625,1,0.511998
368,215.6453,1,1.0
370,216.2237,1,0.252837
371,660.6244,3,1.0
373,219.9879,1,1.0
377,217.7077,1,1.0
379,441.7059,2,1.0
382,434.3726,2,0.670595
383,221.0894,1,1.0
385,434.2146,2,0.338097
386,876.8336,4,1.0
388,649.8554,3,1.0
391,433.4834,2,1.0
393,222.5985,1,1.0
395,440.8022,2,0.676963
396,214.4308,1,0.253143
397,646.9949,3,0.754326
398,215.3301,1,0.335849
399,440.1885,2,1.0
401,222.4827,1,0.515502
402,211.8354,1,0.498024
403,221.3873,1,0.511211
404,217.2998,1,0.506668
405,217.0939,1,0.506164
406,217.692,1,0.20507
407,863.3583,4,0.576868
408,648.4334,3,0.753608
409,218.2014,1,1.0
412,434.3491,2,0.66976
413,222.8547,1,0.346898
414,426.4576,2,1.0
416,222.9175,1,1.0
418,215.4113,1,0.337199
419,435.0185,2,0.6718
420,219.1334,1,0.510929
421,213.0922,1,0.336537
422,427.6711,2,1.0
424,216.199,1,0.506062
425,215.9757,1,0.502489
426,222.2666,1,1.0
428,214.9257,1,1.0
430,217.1336,1,0.338884
431,435.25,2,1.0
434,651.838,3,0.756124
435,214.267,1,1.0
437,217.7924,1,0.339726
438,434.5901,2,0.671738
439,218.8467,1,0.50522
440,223.0819,1,0.510458
441,222.2034,1,1.0
443,431.5158,2,0.50422
444,436.8178,2,0.673193
445,218.3301,1,0.507202
446,218.3752,1,1.0
448,437.7256,2,0.672962
449,219.7857,1,1.0
451,221.4897,1,0.51347
452,213.3829,1,0.335021
453,435.3268,2,1.0
455,219.7827,1,1.0
458,215.0952,1,1.0
460,436.823,2,0.508678
461,431.6582,2,0.671467
462,216.3041,1,0.336781
463,440.5332,2,1.0
468,653.3059,3,1.0
470,216.8221,1,1.0
473,441.0703,2,0.509165
474,438.5915,2,0.672755
475,221.1668,1,1.0
477,426.8262,2,0.667347
478,219.7524,1,0.339199
479,445.4644,2,0.676726
480,219.8248,1,0.341836
481,434.3032,2,1.0
483,222.647,1,1.0
485,645.3729,3,0.75267
486,218.1789,1,0.510194
487,212.5319,1,0.498749
488,221.862,1,1.0
490,219.1241,1,0.507685
491,219.0442,1,1.0
493,219.8596,1,0.342711
494,431.2232,2,0.506208
495,428.9295,2,0.668043
496,220.8044,1,1.0
498,219.3339,1,0.340523
499,438.1154,2,0.671657
500,222.9378,1,1.0
502,218.6689,1,0.256465
503,649.9488,3,0.752079
504,223.1372,1,0.5109
505,221.5579,1,0.259678
506,644.6923,3,0.754857
507,212.2786,1,1.0
509,220.9702,1,0.508629
510,221.4755,1,0.344841
511,429.1248,2,0.668517
512,219.9591,1,1.0
514,656.1502,3,0.607999
515,434.0911,2,1.0
517,439.0643,2,1.0
519,863.1601,4,0.803227
520,216.6848,1,0.50554
521,217.9942,1,1.0
523,218.5312,1,0.505434
524,222.1315,1,0.513078
525,215.4912,1,0.336241
526,439.1834,2,0.672005
527,223.4832,1,0.347124
528,428.3322,2,1.0
530,223.0365,1,1.0
533,646.7161,3,0.75435
534,215.0791,1,1.0
537,649.3138,3,0.75299
538,220.2993,1,0.342313
539,434.5383,2,0.508884
540,426.0533,2,1.0
542,425.1545,2,1.0
544,213.8756,1,1.0
546,215.0259,1,0.505384
547,214.7337,1,0.50168
548,221.1385,1,0.341829
549,440.1344,2,1.0
552,443.7912,2,0.675313
553,221.4224,1,1.0
555,434.9881,2,0.671559
556,219.5981,1,0.511237
557,213.6507,1,1.0
559,214.0596,1,0.500155
560,222.4483,1,0.344663
561,434.121,2,0.669754
562,222.468,1,1.0
567,872.5962,4,0.579507
568,648.0912,3,0.751985
569,221.8776,1,0.260715
570,639.409,3,0.751091
571,217.841,1,0.340468
572,431.8225,2,0.672969
573,213.3598,1,0.50141
574,218.3422,1,0.50495
575,222.6809,1,1.0
579,428.5297,2,1.0
582,219.1925,1,1.0
588,216.0753,1,0.502704
589,221.9154,1,0.512068
590,216.9009,1,0.337899
591,438.2734,2,0.674149
592,217.6952,1,0.340224
593,432.1805,2,0.502816
594,443.5187,2,0.509002
595,444.7081,2,1.0
597,215.0856,1,0.338175
598,429.5195,2,0.504847
599,429.962,2,0.671415
600,214.6909,1,0.336149
601,436.2863,2,1.0
603,214.6789,1,0.500518
604,222.9749,1,0.51357
605,216.3468,1,0.203704
606,867.6738,4,0.67274
607,431.9646,2,0.672998
608,213.4726,1,0.504327
609,213.2906,1,1.0
611,218.0579,1,0.256131
612,648.2509,3,0.751642
613,222.9356,1,0.513966
614,215.3934,1,0.506964
615,212.5809,1,0.334469
616,434.3372,2,0.506407
617,434.6225,2,0.406158
618,653.0914,3,1.0
620,217.6315,1,0.337484
621,443.384,2,1.0
623,431.8198,2,0.67245
624,214.5047,1,0.251626
625,658.5506,3,1.0
627,222.1424,1,0.346574
628,424.9513,2,0.501877
629,431.3559,2,1.0
632,215.1755,1,1.0
634,432.4534,2,0.6726
635,214.7585,1,0.336327
636,435.7469,2,1.0
638,220.0864,1,1.0
641,221.814,1,0.258828
642,652.3493,3,1.0
644,439.8277,2,1.0
650,219.8687,1,1.0
652,211.3867,1,0.250465
653,646.8358,3,1.0
657,220.1956,1,0.50764
658,221.5926,1,0.509052
659,221.9478,1,0.512519
660,216.1228,1,0.255863
661,637.86,3,0.75144
662,216.0021,1,0.336922
663,438.6526,2,0.507129
664,441.3162,2,0.674955
665,219.3571,1,1.0
667,221.4254,1,0.509052
668,221.5087,1,0.511438
669,217.2499,1,1.0
671,214.1428,1,0.500643
672,221.6877,1,0.512152
673,216.3373,1,1.0
676,436.8087,2,1.0
678,218.683,1,1.0
680,215.3172,1,0.504157
681,217.6361,1,1.0
683,440.9914,2,0.67619
684,216.3358,1,0.25442
685,649.8611,3,0.753955
686,218.2769,1,1.0
688,221.7153,1,0.342533
689,439.7252,2,0.673938
