step,n_entities_alive,n_entities_total,n_spawned,extraction_total,interest_paid_total,credit_transactions,auto_invest_total,n_failures,destroyed_assets,redirected_claims,volume_prets_actifs,n_prets_actifs,actif_total_systeme,passif_total_systeme,liquidite_totale,mean_passif,mean_internal_rate
197,120,122,1,3594.4783,1867.3834,19,796.2329,0,0.0,0.0,116676.8394,1030,240028.7788,112276.7335,11677.4438,935.6394,0.016947
198,121,123,1,3626.1225,1896.3443,11,970.0307,0,0.0,0.0,118818.7947,1041,243266.9977,113160.1848,11895.2561,935.2081,0.016958
199,121,123,0,3653.8528,1921.2269,8,1298.5407,0,0.0,0.0,120509.0325,1049,246048.9494,113897.8596,12249.2952,941.3046,0.016833
200,121,123,0,3668.8039,1940.9398,2,2046.0628,0,0.0,0.0,121101.9169,1051,247726.3657,114270.9497,12960.737,944.388,0.016818
201,122,124,1,3674.9449,1947.8388,3,2230.8251,0,0.0,0.0,122012.4518,1054,249715.56,115143.9907,13171.3554,943.8032,0.016877
202,123,125,1,3699.4642,1958.2628,6,1743.138,0,0.0,0.0,124030.4152,1061,252816.8536,116619.4122,12784.2641,948.1253,0.016897
203,122,125,0,3732.654,1980.7,12,946.927,1,1337.1325,0.0,125765.9425,1057,255168.9931,117845.0174,12170.2711,965.9428,0.016667
204,122,126,1,3745.21,1988.968,13,861.2045,1,1275.1765,2.7436,127004.9462,1054,257090.1007,118463.136,12237.0001,971.0093,0.01668
205,122,126,0,3753.837,1992.1018,14,852.5487,0,0.0,0.0,129494.875,1068,260656.8695,119448.5508,12328.4252,979.0865,0.01649
206,123,127,1,3777.6091,2021.1318,6,1570.5005,0,0.0,0.0,130697.1145,1074,262947.5088,119849.5197,13020.856,974.3863,0.016648
207,124,129,2,3796.8046,2035.0985,2,2234.0126,1,1406.4457,0.0,129902.7345,1059,262758.0779,119829.2601,13651.0648,966.365,0.016846
208,125,130,1,3800.7283,2015.2598,5,1967.2252,0,0.0,0.0,131578.5663,1064,265511.0993,121093.1319,13469.3827,968.7451,0.016747
209,126,131,1,3836.9613,2034.1659,13,979.5915,0,0.0,0.0,134955.5633,1077,269979.2505,123045.3577,12613.3111,976.5505,0.016607
210,127,132,1,3888.486,2072.7089,13,913.2504,0,0.0,0.0,137517.1344,1090,273660.647,124076.8721,12706.6219,976.9832,0.016629
211,126,132,0,3918.6384,2102.2278,14,905.7575,1,1458.3139,0.0,138651.353,1087,275418.5449,124610.8047,12791.3687,988.9746,0.01638
212,127,133,1,3922.8924,2105.2948,14,938.4766,0,0.0,0.0,141199.8987,1101,279085.7641,125623.2108,12902.6361,989.1591,0.016443
213,127,134,1,3952.7162,2135.1336,8,1454.2432,1,1491.5153,0.0,141382.9436,1094,279909.3857,125769.9437,13396.4799,990.3145,0.016427
214,127,134,0,3953.2261,2127.8518,4,1969.5795,0,0.0,0.0,142542.1857,1098,282172.0433,126396.0664,13873.7727,995.2446,0.016335
215,127,134,0,3964.353,2141.3842,7,1617.8704,0,0.0,0.0,144817.3515,1105,285539.4607,127773.8813,13588.2094,1006.0936,0.01624
216,124,134,0,3986.4088,2167.7782,11,1120.9743,3,4376.128,0.0,143299.2818,1066,283675.8863,127766.3506,13235.2354,1030.3738,0.015974
