# Statistiques résumées des distributions par grandeur et par pas
step,name,n,mean,std,min,q10,q25,median,q75,q90,q99,max
80,levier_entite,49,0.8092,0.1413,0.5334,0.5543,0.8048,0.8875,0.8883,0.8982,0.9141,0.9151
90,passif_total,55,413.0957,138.822,203.6527,261.5132,294.8265,371.3158,585.8967,600.6362,621.6611,630.0802
90,actif_liquide,55,52.6716,18.4349,22.1762,31.8979,38.6823,49.8538,69.2621,78.4422,93.804,97.7489
90,actif_total,55,560.1112,316.8061,220.8289,294.1877,330.3661,416.9609,668.9456,1121.5578,1197.5637,1208.7212
90,ratio_L_P,55,0.1285,0.0179,0.05,0.1114,0.1256,0.1342,0.1388,0.1423,0.1508,0.1551
90,taux_interne,55,0.0257,0.0043,0.0199,0.0204,0.0207,0.0259,0.0291,0.0309,0.0349,0.035
90,levier_entite,55,0.8167,0.1473,0.4985,0.5311,0.8882,0.8902,0.8927,0.9025,0.9338,0.9404
100,passif_total,58,480.8478,169.3558,238.8593,310.5224,340.2542,421.4822,683.8967,730.1908,758.3094,761.7053
100,actif_liquide,58,62.7538,26.6495,11.9766,37.8855,43.2018,51.4968,83.8753,107.4671,118.3537,120.2617
100,actif_total,58,647.3276,379.3121,245.8359,345.2405,378.126,471.902,765.6085,1340.2139,1440.7262,1457.9893
100,ratio_L_P,58,0.1296,0.021,0.05,0.123,0.1263,0.1309,0.1366,0.1506,0.1592,0.1594
100,taux_interne,58,0.0239,0.0041,0.0181,0.0185,0.0191,0.0244,0.0271,0.0284,0.032,0.0324
100,levier_entite,58,0.8228,0.1436,0.5089,0.5378,0.8914,0.8929,0.8944,0.9016,0.9379,0.9716
110,passif_total,68,500.4396,201.2992,134.3081,252.6599,359.3078,433.2754,745.2186,793.1156,820.5022,820.5886
110,actif_liquide,68,61.2762,26.1579,11.8842,33.5218,44.0874,54.8974,73.1213,99.6178,123.214,123.5635
110,actif_total,68,681.1031,452.3041,150.3288,279.9946,399.6161,482.9581,832.1358,1557.9521,1709.431,1730.211
110,ratio_L_P,68,0.1239,0.0201,0.05,0.1116,0.1223,0.1259,0.1308,0.1442,0.1544,0.1565
110,taux_interne,68,0.0239,0.0055,0.0175,0.0178,0.0183,0.024,0.0264,0.0315,0.0386,0.0431
110,levier_entite,68,0.8287,0.1508,0.454,0.5074,0.8928,0.8957,0.8973,0.9023,0.9518,0.9713
