step,n_entities_alive,n_entities_total,n_spawned,extraction_total,interest_paid_total,credit_transactions,auto_invest_total,n_failures,destroyed_assets,redirected_claims,volume_prets_actifs,n_prets_actifs,actif_total_systeme,passif_total_systeme,liquidite_totale,mean_passif,mean_internal_rate
46,30,30,1,394.4609,28.1596,3,275.8795,0,0.0,0.0,922.3768,22,7462.129,5771.2641,918.4881,192.3755,0.037406
47,31,31,1,413.3373,32.8583,1,293.1982,0,0.0,0.0,974.2525,23,7798.0802,6008.9128,969.9149,193.8359,0.037698
48,31,31,0,425.2984,34.4282,1,304.0038,0,0.0,0.0,1030.7965,24,8134.9401,6252.3824,1006.7612,201.6898,0.036513
49,31,31,0,435.0499,36.1225,0,331.9359,0,0.0,0.0,1030.7965,24,8419.206,6462.3706,1081.0389,208.4636,0.035906
50,32,32,1,444.5776,36.1225,2,320.0584,0,0.0,0.0,1146.0171,26,8832.1445,6776.5023,1069.6251,211.7657,0.035657
51,32,32,0,460.0803,39.5068,0,350.0708,0,0.0,0.0,1146.0171,26,9129.3006,6994.243,1149.0405,218.5701,0.035093
52,32,32,0,467.4457,39.5068,0,372.3836,0,0.0,0.0,1146.0171,26,9427.7317,7229.9417,1211.7729,225.9357,0.034521
53,33,33,1,477.4814,39.5068,1,374.4362,0,0.0,0.0,1205.5136,27,9799.3257,7527.4756,1231.3365,228.1053,0.034796
54,34,34,1,493.2319,41.1977,4,324.7324,0,0.0,0.0,1441.8702,31,10356.9733,7946.315,1138.7881,233.7151,0.033938
55,35,35,1,515.81,47.838,3,316.2718,0,0.0,0.0,1620.2296,34,10872.3245,8290.42,1136.6749,236.8691,0.033638
56,36,36,1,534.8359,52.8338,1,352.1148,0,0.0,0.0,1684.5241,35,11285.5163,8549.5208,1231.4714,237.4867,0.033945
57,36,36,0,547.2514,54.6037,1,377.7962,0,0.0,0.0,1746.1633,36,11691.442,8821.5658,1303.7129,245.0435,0.033088
58,38,38,2,561.6052,56.2763,1,403.6731,0,0.0,0.0,1811.9709,37,12128.3171,9128.2152,1378.131,240.2162,0.036984
59,40,40,2,580.2392,58.0391,1,426.3404,0,0.0,0.0,1878.3476,38,12576.6013,9452.168,1446.0857,236.3042,0.039838
60,40,40,0,595.3128,59.8233,2,421.1213,0,0.0,0.0,2005.4681,40,13073.1633,9815.3665,1452.3287,245.3842,0.034351
61,41,41,1,616.0026,63.2367,1,446.0432,0,0.0,0.0,2070.7547,41,13530.5785,10139.389,1525.4348,247.3022,0.034485
62,41,41,0,630.2819,64.9643,1,463.4285,0,0.0,0.0,2138.1886,42,13986.4922,10471.5636,1581.7399,255.404,0.03361
63,41,41,0,641.9416,66.719,1,477.2979,0,0.0,0.0,2209.525,43,14449.9652,10814.8666,1630.5736,263.7772,0.032783
64,41,41,0,653.7211,68.5636,1,490.7666,0,0.0,0.0,2278.6553,44,14914.9334,11162.5662,1678.712,272.2577,0.032011
65,41,41,0,665.381,70.3335,2,480.5128,0,0.0,0.0,2419.9229,46,15455.5489,11565.1953,1675.4307,282.0779,0.031022
66,44,44,3,686.2074,73.891,3,465.8876,0,0.0,0.0,2632.4916,49,16109.2883,12031.4477,1665.3491,273.442,0.032446
67,44,44,0,713.0636,79.192,1,498.7276,0,0.0,0.0,2707.4042,50,16613.4672,12368.8588,1757.2042,281.1104,0.031693
68,44,44,0,724.5621,81.0575,2,500.6817,0,0.0,0.0,2856.8308,52,17194.8435,12775.99,1782.0226,290.3634,0.030671
69,44,44,0,739.1247,84.7773,0,553.3442,0,0.0,0.0,2856.8308,52,17632.4254,13078.2144,1917.3801,297.2321,0.030316
70,45,45,1,750.0494,84.7773,2,546.2986,0,0.0,0.0,3010.7193,54,18235.6503,13526.2373,1923.6938,300.5831,0.030185
71,45,45,0,768.7815,88.5037,0,592.6845,0,0.0,0.0,3010.7193,54,18684.5576,13852.897,2045.9412,307.8422,0.029832
72,45,45,0,777.9705,88.5037,1,599.8899,0,0.0,0.0,3095.2752,55,19218.0477,14264.7848,2082.9878,316.9952,0.029319
73,45,45,0,790.0956,90.4892,0,634.9267,0,0.0,0.0,3095.2752,55,19669.886,14618.9158,2180.695,324.8648,0.028968
74,46,46,1,802.009,90.4892,1,638.159,0,0.0,0.0,3179.8955,56,20218.7829,15058.8168,2210.0706,327.3656,0.029141
75,46,46,0,818.8126,92.4453,1,643.1471,0,0.0,0.0,3262.1524,57,20762.6985,15487.6446,2242.9015,336.6879,0.028508
76,47,47,1,834.0056,94.3227,4,574.3837,0,0.0,0.0,3597.2613,61,21574.922,16096.9842,2115.6764,342.489,0.028154
77,49,49,2,862.6223,101.9109,7,517.3559,0,0.0,0.0,4001.381,68,22484.4583,16711.2202,2016.8571,341.0453,0.028207
78,49,49,0,892.7862,111.128,0,609.7067,0,0.0,0.0,4001.381,68,22989.7272,16991.6025,2241.7437,346.7674,0.02796
79,49,49,0,900.3924,111.128,0,673.938,0,0.0,0.0,4001.381,68,23492.3448,17330.6084,2405.3554,353.6859,0.027686
80,49,49,0,909.3134,111.128,0,719.6792,0,0.0,0.0,4001.381,68,23993.6527,17708.5754,2528.6963,361.3995,0.027398
81,49,49,0,919.0638,111.128,0,753.2519,0,0.0,0.0,4001.381,68,24494.4898,18112.5558,2625.553,369.644,0.027104
82,49,49,0,929.32,111.128,0,778.8046,0,0.0,0.0,4001.381,68,24995.3613,18534.0093,2704.9709,378.2451,0.02681
83,49,49,0,939.8692,111.128,0,799.0596,0,0.0,0.0,4001.381,68,25496.5534,18967.2886,2772.8837,387.0875,0.026519
84,50,50,1,952.8086,111.128,3,728.4734,0,0.0,0.0,4292.4813,71,26301.3027,19617.4165,2641.4049,392.3483,0.026318
85,51,51,1,979.0038,117.1351,2,735.8907,0,0.0,0.0,4428.746,73,26966.6147,20107.2237,2685.6451,394.2593,0.026388
86,52,52,1,999.6772,119.9492,2,729.4996,0,0.0,0.0,4623.0235,75,27699.6185,20638.9563,2697.6387,396.903,0.026339
87,53,53,1,1022.1881,123.9659,1,761.6882,0,0.0,0.0,4722.5004,76,28349.1078,21097.5423,2794.0651,398.0668,0.026533
88,55,55,2,1043.4918,126.0237,5,674.5733,0,0.0,0.0,5196.1038,81,29392.4011,21839.0682,2632.2291,397.074,0.026444
89,55,55,0,1077.6163,135.7563,2,713.9286,0,0.0,0.0,5372.7678,83,30141.2032,22298.3794,2745.0559,405.4251,0.02599
90,55,55,0,1090.9546,139.377,1,771.207,0,0.0,0.0,5463.9151,84,30806.1172,22720.2661,2896.936,413.0957,0.025681
91,56,56,1,1104.3298,141.2265,2,783.0218,0,0.0,0.0,5661.2007,86,31588.602,23256.6682,2950.7331,415.2976,0.025652
92,56,56,0,1124.6095,145.2199,1,826.36,0,0.0,0.0,5755.9108,87,32266.8813,23718.2049,3072.7657,423.5394,0.025339
93,56,56,0,1136.525,147.1296,0,888.7898,0,0.0,0.0,5755.9108,87,32850.4564,24138.2306,3236.315,431.0398,0.025123
94,56,56,0,1146.4601,147.1296,0,933.6199,0,0.0,0.0,5755.9108,87,33432.0964,24594.6859,3361.4997,439.1908,0.024899
95,57,57,1,1159.3055,147.1296,2,903.4469,0,0.0,0.0,5968.3202,89,34236.9015,25229.2485,3324.3328,442.6184,0.024851
96,57,57,0,1181.6038,151.2894,1,921.0473,0,0.0,0.0,6072.2651,90,34933.4465,25755.3557,3390.8257,451.8483,0.024543
97,57,57,0,1194.5735,153.3174,0,969.4181,0,0.0,0.0,6072.2651,90,35526.9049,26215.3667,3524.2731,459.9187,0.024336
98,57,57,0,1205.024,153.3174,0,1004.9619,0,0.0,0.0,6072.2651,90,36118.7356,26701.7213,3629.7492,468.4513,0.024126
99,57,57,0,1215.9119,153.3174,0,1032.0235,0,0.0,0.0,6072.2651,90,36709.3998,27205.4104,3716.7243,477.2879,0.023916
100,58,58,1,1229.2843,153.3174,2,983.3255,0,0.0,0.0,6306.1096,92,37545.0002,27889.1722,3639.7184,480.8478,0.023872
101,58,58,0,1252.4807,157.6437,1,992.8292,0,0.0,0.0,6418.5525,93,38260.0963,28442.4608,3689.083,490.3873,0.023591
102,58,58,0,1265.5715,159.7013,0,1038.4773,0,0.0,0.0,6418.5525,93,38863.5255,28917.8888,3817.0842,498.5843,0.023404
103,63,63,5,1287.1123,159.7013,3,976.9979,0,0.0,0.0,6776.5871,96,39883.0307,29705.3636,3716.08,471.5137,0.028951
104,64,64,1,1326.5176,166.1138,8,824.74,0,0.0,0.0,7487.3344,104,41241.4364,30658.0436,3416.0584,479.0319,0.024459
105,64,64,0,1371.8218,179.0194,1,943.1327,0,0.0,0.0,7530.937,105,41954.3423,31038.018,3705.3873,484.969,0.024224
106,64,64,0,1381.3843,179.8065,1,1001.6738,0,0.0,0.0,7649.928,106,42738.6218,31544.3225,3864.3713,492.88,0.023889
107,66,66,2,1398.9235,181.954,2,1014.8327,0,0.0,0.0,7886.4629,108,43663.9278,32181.2036,3926.2614,487.594,0.024366
108,66,66,0,1425.6351,186.1875,1,1064.1318,0,0.0,0.0,8001.2664,109,44460.3045,32723.1148,4065.9232,495.8048,0.024008
109,67,67,1,1441.7991,188.2295,2,1068.7482,0,0.0,0.0,8230.658,111,45383.2785,33378.3924,4109.2281,498.185,0.023969
110,68,68,1,1466.6383,192.3305,2,1079.6874,0,0.0,0.0,8458.3389,113,46315.0125,34029.8928,4166.7808,500.4396,0.023933
111,68,68,0,1489.1494,196.3869,1,1123.0607,0,0.0,0.0,8583.5495,114,47142.456,34604.3662,4294.5402,508.8877,0.023591
112,69,69,1,1505.8651,198.5944,1,1159.0147,0,0.0,0.0,8711.7506,115,47985.0267,35211.2946,4406.9816,510.3086,0.023708
113,69,69,0,1525.6125,200.8268,2,1143.7226,0,0.0,0.0,8974.4507,117,48957.3616,35920.3914,4407.5195,520.5854,0.023256
114,69,69,0,1544.2488,205.371,1,1185.8433,0,0.0,0.0,9088.2391,118,49784.8556,36508.5152,4533.1013,529.1089,0.023001
115,69,69,0,1558.0207,207.3404,3,1135.02,0,0.0,0.0,9465.9887,121,50875.5332,37298.0147,4456.5298,540.5509,0.022594
116,70,70,1,1580.2393,213.8316,2,1171.1608,0,0.0,0.0,9650.5284,123,51790.3166,37919.6549,4570.1333,541.7094,0.022652
117,71,71,1,1603.36,216.999,3,1139.2531,0,0.0,0.0,10035.975,126,52914.0601,38697.9615,4535.1237,545.0417,0.022524
118,72,72,1,1632.1547,223.6221,1,1206.1932,0,0.0,0.0,10165.7689,127,53795.6039,39272.0893,4717.7457,545.4457,0.022676
119,72,72,0,1650.9564,225.8357,3,1169.9025,0,0.0,0.0,10563.3926,130,54938.5682,40061.3738,4673.8018,556.408,0.022223
120,73,73,1,1673.8305,232.5515,3,1198.8207,0,0.0,0.0,10822.4447,133,55960.2707,40730.2191,4772.6069,557.9482,0.022217
121,73,73,0,1696.6105,236.9567,1,1260.6925,0,0.0,0.0,10957.0914,134,56854.8391,41318.2539,4944.4938,566.0035,0.022011
122,73,73,0,1709.8788,239.2292,0,1348.8977,0,0.0,0.0,10957.0914,134,57612.5654,41848.0865,5172.3875,573.2615,0.021874
123,74,74,1,1722.9277,239.2292,1,1372.3428,0,0.0,0.0,11091.9121,135,58512.5458,42530.5883,5260.0454,574.7377,0.022011
124,75,75,1,1745.8005,241.4629,1,1398.2624,0,0.0,0.0,11215.7555,136,59408.661,43214.4822,5353.4233,576.1931,0.022165
125,77,77,2,1770.6332,243.5031,2,1372.8676,0,0.0,0.0,11507.7225,138,60491.5905,44032.5273,5336.3407,571.851,0.02251
