# Historiques d'entités surveillées (snapshots toutes les freq_snapshot étapes)
entity_id,step,alive,creation_step,actif_liquide,actif_prete,actif_endoinvesti,actif_exoinvesti,actif_total,passif_inne,passif_endoinvesti,passif_exoinvesti,passif_total,extraction,interest_received,interest_paid,depreciation
1,0,1,0,8.468943,0.0,3.522404,0.0,11.991347,5.0,3.522404,0.0,8.522404,2.236068,0.0,0.0,0.244721
1,10,1,0,11.012919,0.0,20.966069,0.0,31.978988,5.0,20.966069,0.0,25.966069,41.328169,0.0,0.0,21.340528
1,20,1,0,13.964173,0.0,31.058417,0.0,45.02259,5.0,31.058417,0.0,36.058417,55.553006,0.0,0.0,42.509404
1,30,1,0,15.519494,0.0,36.792366,0.0,52.31186,5.0,36.792366,0.0,41.792366,62.376258,0.0,0.0,55.086988
1,40,1,0,16.313559,0.0,39.83013,0.0,56.143689,5.0,39.83013,0.0,44.83013,65.816446,0.0,0.0,61.984617
1,50,1,0,16.713875,0.0,41.388966,0.0,58.102842,5.0,41.388966,0.0,46.388966,67.540256,0.0,0.0,65.581104
1,60,1,0,16.914474,0.0,42.176893,0.0,59.091367,5.0,42.176893,0.0,47.176893,68.401431,0.0,0.0,67.412905
1,70,1,0,17.014698,0.0,42.572245,0.0,59.586943,5.0,42.572245,0.0,47.572245,68.831039,0.0,0.0,68.335464
1,80,1,0,17.064699,0.0,42.769902,0.0,59.834601,5.0,42.769902,0.0,47.769902,69.045206,0.0,0.0,68.797548
1,90,1,0,17.089627,0.0,42.868544,0.0,59.958171,5.0,42.868544,0.0,47.868544,69.151935,0.0,0.0,69.028365
1,100,1,0,17.102049,0.0,42.917729,0.0,60.019779,5.0,42.917729,0.0,47.917729,69.205114,0.0,0.0,69.143507
1,110,1,0,17.108239,0.0,42.942243,0.0,60.050482,5.0,42.942243,0.0,47.942243,69.231609,0.0,0.0,69.200906
1,120,1,0,17.111323,0.0,42.954457,0.0,60.065781,5.0,42.954457,0.0,47.954457,69.244809,0.0,0.0,69.22951
1,130,1,0,17.112859,0.0,42.960543,0.0,60.073403,5.0,42.960543,0.0,47.960543,69.251385,0.0,0.0,69.243763
1,140,1,0,17.113625,0.0,42.963575,0.0,60.0772,5.0,42.963575,0.0,47.963575,69.254661,0.0,0.0,69.250863
1,150,1,0,17.114006,0.0,42.965086,0.0,60.079092,5.0,42.965086,0.0,47.965086,69.256293,0.0,0.0,69.254401
1,160,1,0,17.114196,0.0,42.965838,0.0,60.080034,5.0,42.965838,0.0,47.965838,69.257106,0.0,0.0,69.256163
1,170,1,0,17.114291,0.0,42.966213,0.0,60.080504,5.0,42.966213,0.0,47.966213,69.257511,0.0,0.0,69.257041
1,180,1,0,17.114338,0.0,42.9664,0.0,60.080738,5.0,42.9664,0.0,47.9664,69.257713,0.0,0.0,69.257479
1,190,1,0,17.114361,0.0,42.966493,0.0,60.080854,5.0,42.966493,0.0,47.966493,69.257813,0.0,0.0,69.257697
1,200,1,0,17.114373,0.0,42.966539,0.0,60.080912,5.0,42.966539,0.0,47.966539,69.257863,0.0,0.0,69.257805
1,210,1,0,17.114379,0.0,42.966562,0.0,60.080941,5.0,42.966562,0.0,47.966562,69.257888,0.0,0.0,69.257859
1,220,1,0,17.114382,0.0,42.966574,0.0,60.080956,5.0,42.966574,0.0,47.966574,69.257901,0.0,0.0,69.257886
1,230,1,0,17.114383,0.0,42.96658,0.0,60.080963,5.0,42.96658,0.0,47.96658,69.257907,0.0,0.0,69.2579
1,240,1,0,17.114384,0.0,42.966582,0.0,60.080966,5.0,42.966582,0.0,47.966582,69.25791,0.0,0.0,69.257906
1,250,1,0,17.114384,0.0,42.966584,0.0,60.080968,5.0,42.966584,0.0,47.966584,69.257912,0.0,0.0,69.25791
1,260,1,0,17.114385,0.0,42.966585,0.0,60.080969,5.0,42.966585,0.0,47.966585,69.257912,0.0,0.0,69.257911
1,270,1,0,17.114385,0.0,42.966585,0.0,60.08097,5.0,42.966585,0.0,47.966585,69.257913,0.0,0.0,69.257912
1,280,1,0,17.114385,0.0,42.966585,0.0,60.08097,5.0,42.966585,0.0,47.966585,69.257913,0.0,0.0,69.257913
1,290,1,0,17.114385,0.0,42.966585,0.0,60.08097,5.0,42.966585,0.0,47.966585,69.257913,0.0,0.0,69.257913
1,300,1,0,17.114385,0.0,42.966585,0.0,60.08097,5.0,42.966585,0.0,47.966585,69.257913,0.0,0.0,69.257913
1,310,1,0,17.114385,0.0,42.966585,0.0,60.08097,5.0,42.966585,0.0,47.966585,69.257913,0.0,0.0,69.257913
1,320,1,0,17.114385,0.0,42.966585,0.0,60.08097,5.0,42.966585,0.0,47.966585,69.257913,0.0,0.0,69.257913
1,330,1,0,17.114385,0.0,42.966585,0.0,60.08097,5.0,42.966585,0.0,47.966585,69.257913,0.0,0.0,69.257913
1,340,1,0,17.114385,0.0,42.966585,0.0,60.08097,5.0,42.966585,0.0,47.966585,69.257913,0.0,0.0,69.257913
1,350,1,0,17.114385,0.0,42.966585,0.0,60.08097,5.0,42.966585,0.0,47.966585,69.257913,0.0,0.0,69.257913
1,360,1,0,17.114385,0.0,42.966585,0.0,60.08097,5.0,42.966585,0.0,47.966585,69.257913,0.0,0.0,69.257913
1,370,1,0,17.114385,0.0,42.966585,0.0,60.08097,5.0,42.966585,0.0,47.966585,69.257913,0.0,0.0,69.257913
1,380,1,0,17.114385,0.0,42.966585,0.0,60.08097,5.0,42.966585,0.0,47.966585,69.257913,0.0,0.0,69.257913
1,390,1,0,17.114385,0.0,42.966585,0.0,60.08097,5.0,42.966585,0.0,47.966585,69.257913,0.0,0.0,69.257913
1,400,1,0,17.114385,0.0,42.966585,0.0,60.08097,5.0,42.966585,0.0,47.966585,69.257913,0.0,0.0,69.257913
1,410,1,0,17.114385,0.0,42.966585,0.0,60.08097,5.0,42.966585,0.0,47.966585,69.257913,0.0,0.0,69.257913
