# Données détaillées de chaque cascade de faillites
step,nb_entites_faillie,volume_actifs_detruits,volume_creances_annulees,volume_passif_efface,actif_systeme_avant,passif_systeme_avant,liquidite_systeme_avant,nb_entites_avant,ratio_destruction,ratio_contagion,nb_contamines,nb_deja_fragiles,passif_median_failli
111,2,146.8713,0.0,106.3745,786.9106,625.0143,216.7181,20,0.186643,1.0,2,0,68.4533
117,5,298.4007,0.0,226.0919,1182.4293,943.1362,288.546,27,0.252362,1.0,5,0,44.4666
118,3,180.6562,0.0,145.2799,913.6461,738.7444,241.7893,22,0.197731,1.0,3,0,47.811
119,2,103.1448,0.0,83.9012,769.3179,620.1987,221.8908,19,0.134073,1.0,2,0,42.7359
122,2,141.7465,0.0,112.6762,894.3568,714.7653,251.7752,21,0.15849,1.0,2,0,62.6043
124,1,51.8989,0.0,42.4682,874.2615,699.4012,267.553,21,0.059363,1.0,1,0,42.4682
125,1,36.894,0.0,31.403,925.209,729.3354,291.6405,23,0.039876,1.0,1,0,31.403
127,1,72.8074,0.0,58.3536,1043.1108,826.9631,304.7014,23,0.069798,1.0,1,0,58.3536
129,3,201.8611,0.0,153.765,1160.5388,917.3099,285.6556,23,0.173937,1.0,3,0,56.9574
130,1,57.5649,0.0,46.8693,1003.0337,780.4904,304.4749,22,0.057391,1.0,1,0,46.8693
132,4,336.3879,0.0,253.2096,1147.1881,914.4198,253.8967,22,0.293228,1.0,4,0,65.9006
133,2,118.2649,0.0,96.1536,809.7283,651.5262,220.8986,18,0.146055,1.0,2,0,48.855
134,2,116.9542,0.0,94.8836,753.5354,600.9478,210.2612,17,0.155207,1.0,2,0,60.6548
135,1,38.348,0.0,32.162,666.4271,529.653,202.1961,15,0.057543,1.0,1,0,32.162
137,1,63.2364,0.0,50.8724,753.8716,602.9207,195.1551,15,0.083882,1.0,1,0,50.8724
139,1,43.3671,0.0,36.1461,809.3073,621.7662,231.0171,16,0.053585,1.0,1,0,36.1461
140,1,75.7642,0.0,60.0131,820.1322,633.1151,218.1796,15,0.09238,1.0,1,0,60.0131
143,2,205.8746,0.0,139.8914,959.3004,753.0113,210.0084,17,0.214609,1.0,2,0,76.8223
145,1,70.9279,0.0,56.9965,816.4044,642.3776,205.379,15,0.086878,1.0,1,0,56.9965
147,1,98.0193,0.0,67.1368,858.1617,663.9412,226.4205,16,0.11422,1.0,1,0,67.1368
148,2,147.5617,0.0,118.3741,807.5832,640.0115,194.0285,15,0.18272,1.0,2,0,75.7097
153,1,92.5421,0.0,73.7955,885.4537,684.0934,189.5821,14,0.104514,1.0,1,0,73.7955
157,1,147.2821,0.0,72.3608,979.0151,725.1967,222.8464,15,0.150439,1.0,1,0,72.3608
158,2,154.5957,0.0,115.8301,864.8372,682.3798,176.1595,14,0.178757,1.0,2,0,61.9796
159,1,46.5528,0.0,39.2544,747.2353,582.4057,165.8011,13,0.0623,1.0,1,0,39.2544
160,1,65.5011,0.0,53.4089,738.465,561.6541,168.7369,12,0.088699,1.0,1,0,53.4089
162,1,69.6492,0.0,56.7521,762.4835,570.5449,189.1707,13,0.091345,1.0,1,0,56.7521
163,1,104.2203,0.0,70.7362,768.1021,563.0189,206.2807,15,0.135685,1.0,1,0,70.7362
165,1,150.183,0.0,78.053,812.7187,602.4519,232.0395,19,0.184791,1.0,1,0,78.053
166,1,52.0182,0.0,43.4516,698.7234,549.6096,237.7198,20,0.074447,1.0,1,0,43.4516
169,1,80.9861,0.0,65.3786,902.8146,714.6872,264.1678,23,0.089704,1.0,1,0,65.3786
171,2,205.3453,0.0,145.0912,997.7766,789.7816,264.9955,24,0.205803,1.0,2,0,79.3626
173,2,135.341,0.0,108.6888,918.9872,745.0512,264.2983,24,0.147272,1.0,2,0,62.1584
174,1,62.2944,0.0,50.2523,842.5528,678.7081,264.3152,23,0.073935,1.0,1,0,50.2523
176,3,140.7028,0.0,115.8409,937.5345,762.6498,255.8148,23,0.150077,1.0,3,0,40.1269
179,1,81.4478,0.0,64.6146,1034.5145,834.9181,306.4678,25,0.07873,1.0,1,0,64.6146
180,2,93.9677,0.0,77.9768,1021.6565,829.4683,290.9969,24,0.091976,1.0,2,0,40.6083
181,1,67.3994,0.0,54.1048,983.0294,796.2166,281.2234,22,0.068563,1.0,1,0,54.1048
184,1,46.4321,0.0,38.7972,1160.2364,922.4734,347.7813,26,0.04002,1.0,1,0,38.7972
185,2,85.8852,0.0,72.5099,1190.1841,954.3145,330.9089,25,0.072161,1.0,2,0,37.9672
187,1,81.0968,0.0,65.3059,1252.6046,998.8348,351.0333,25,0.064743,1.0,1,0,65.3059
190,1,66.0805,0.0,54.2371,1412.2466,1127.7972,385.8304,27,0.046791,1.0,1,0,54.2371
191,1,83.9878,0.0,67.8962,1417.2939,1133.0084,376.4935,26,0.059259,1.0,1,0,67.8962
192,2,203.6447,0.0,145.8147,1431.6955,1144.9456,356.2106,26,0.14224,1.0,2,0,76.8065
193,4,325.816,0.0,263.8882,1305.9596,1069.2007,288.0255,24,0.249484,1.0,4,0,70.2644
197,1,84.8344,0.0,68.5876,1220.5814,980.7655,335.1256,25,0.069503,1.0,1,0,68.5876
198,2,120.0726,0.0,98.8711,1216.0792,977.3226,325.6258,25,0.098737,1.0,2,0,63.2506
199,1,90.6992,0.0,72.8413,1146.9109,922.8227,307.9995,23,0.079081,1.0,1,0,72.8413
200,2,162.3362,0.0,121.1863,1137.2572,915.1753,291.9914,23,0.142744,1.0,2,0,68.6203
202,1,75.2598,0.0,61.4957,1069.1627,869.7104,293.7631,22,0.070391,1.0,1,0,61.4957
203,1,72.0643,0.0,59.0057,1045.609,851.859,283.6417,21,0.068921,1.0,1,0,59.0057
204,4,286.4022,0.0,233.6798,1079.979,883.2834,242.1947,21,0.265192,1.0,4,0,60.1378
207,3,221.2499,0.0,173.9541,977.9184,788.3946,240.9257,21,0.226246,1.0,3,0,59.4855
208,1,55.3194,0.0,45.6134,763.7739,618.9712,222.3774,18,0.072429,1.0,1,0,45.6134
210,1,66.8552,0.0,54.5554,824.8052,664.7862,242.0279,19,0.081056,1.0,1,0,54.5554
212,1,43.7821,0.0,37.1195,863.1509,699.7144,248.6299,19,0.050724,1.0,1,0,37.1195
213,3,243.7261,0.0,196.6492,921.1868,750.1144,213.828,19,0.264578,1.0,3,0,63.603
214,2,108.382,0.0,89.7605,704.3767,568.7527,196.4906,17,0.153869,1.0,2,0,45.4572
216,1,41.1986,0.0,34.875,730.3976,573.2636,247.5542,20,0.056406,1.0,1,0,34.875
217,1,69.3,0.0,56.1913,771.8139,609.4436,252.0711,21,0.089789,1.0,1,0,56.1913
218,1,76.8023,0.0,62.0335,784.369,620.8888,256.8131,22,0.097916,1.0,1,0,62.0335
219,3,200.5652,0.0,161.2609,796.8509,646.6814,208.9284,21,0.251697,1.0,3,0,60.6729
220,1,47.4495,0.0,38.917,637.097,504.5052,222.8559,20,0.074478,1.0,1,0,38.917
221,4,213.8038,0.0,172.9516,687.1385,558.8819,172.4618,19,0.311151,1.0,4,0,45.7596
222,1,43.7496,0.0,35.2618,480.8474,386.2279,158.0548,15,0.090984,1.0,1,0,35.2618
227,1,37.9326,0.0,31.7965,780.8882,618.2824,243.3253,20,0.048576,1.0,1,0,31.7965
230,2,120.8215,0.0,89.3084,980.4508,782.3456,252.589,21,0.123231,1.0,2,0,58.0899
232,1,62.1116,0.0,50.3763,966.9006,765.1099,276.4293,20,0.064238,1.0,1,0,50.3763
235,1,69.5112,0.0,56.1751,1191.4668,940.8019,340.4259,26,0.058341,1.0,1,0,56.1751
237,1,93.9308,0.0,63.1277,1315.9895,1032.2804,369.4381,28,0.071377,1.0,1,0,63.1277
238,4,315.5069,0.0,245.0215,1349.3612,1078.0163,322.981,28,0.233819,1.0,4,0,60.9211
239,1,78.3149,0.0,53.4172,1039.4671,831.2907,301.9799,24,0.075341,1.0,1,0,53.4172
243,2,135.4192,0.0,110.0912,1281.8388,1036.0297,331.9739,26,0.105645,1.0,2,0,71.8985
244,2,167.2466,0.0,134.2476,1216.7944,981.475,303.7829,24,0.137448,1.0,2,0,76.9845
246,1,73.1795,0.0,59.3788,1180.6435,941.1987,318.7322,24,0.061983,1.0,1,0,59.3788
248,1,108.1964,0.0,72.2247,1242.0092,991.2809,324.161,24,0.087114,1.0,1,0,72.2247
250,1,61.7424,0.0,50.9393,1256.7951,1015.1379,344.1943,25,0.049127,1.0,1,0,50.9393
251,2,179.8604,0.0,136.7964,1273.826,1035.3193,314.1738,24,0.141197,1.0,2,0,81.4213
252,1,73.8396,0.0,60.004,1120.1708,916.2105,299.5363,22,0.065918,1.0,1,0,60.004
253,1,53.6873,0.0,44.7375,1116.9691,903.6832,316.5729,23,0.048065,1.0,1,0,44.7375
254,2,117.768,0.0,97.4222,1127.514,919.9068,293.5984,22,0.104449,1.0,2,0,55.7413
255,1,60.8375,0.0,50.312,1046.7213,852.94,280.7715,20,0.058122,1.0,1,0,50.312
256,1,61.3006,0.0,50.8198,1055.7329,850.5449,297.2483,21,0.058065,1.0,1,0,50.8198
257,1,63.7814,0.0,52.5852,1043.6261,846.5892,283.47,20,0.061115,1.0,1,0,52.5852
258,1,72.4484,0.0,59.2809,1050.959,844.2799,298.1111,21,0.068936,1.0,1,0,59.2809
259,1,115.6411,0.0,92.4153,1075.3357,857.616,309.1147,23,0.10754,1.0,1,0,92.4153
260,1,45.9183,0.0,39.0685,1024.9938,817.7828,318.2007,24,0.044799,1.0,1,0,39.0685
262,1,52.617,0.0,44.2613,1126.199,906.719,334.0084,25,0.046721,1.0,1,0,44.2613
264,2,170.0328,0.0,138.3484,1248.9892,1011.0674,333.1548,26,0.136136,1.0,2,0,73.0855
265,1,80.6412,0.0,65.7126,1123.7111,910.7527,316.3153,24,0.071763,1.0,1,0,65.7126
267,1,112.8936,0.0,90.2117,1253.1725,1001.9167,335.1212,27,0.090086,1.0,1,0,90.2117
268,1,51.0727,0.0,42.9128,1219.4183,960.9581,361.0019,28,0.041883,1.0,1,0,42.9128
269,1,69.0358,0.0,56.5567,1268.8191,995.4321,376.5461,29,0.05441,1.0,1,0,56.5567
273,1,129.3186,0.0,82.7721,1698.305,1327.1727,492.4335,39,0.076146,1.0,1,0,82.7721
274,2,137.8923,0.0,113.3729,1657.3512,1326.189,466.0206,38,0.0832,1.0,2,0,57.4323
275,4,310.9928,0.0,230.448,1659.1376,1331.8195,423.2958,37,0.187442,1.0,4,0,63.845
276,1,45.985,0.0,38.5252,1369.1432,1110.4918,413.1179,33,0.033587,1.0,1,0,38.5252
279,1,55.3723,0.0,45.9646,1634.0955,1318.762,468.9724,35,0.033886,1.0,1,0,45.9646
280,1,51.5415,0.0,42.9294,1678.3074,1349.5643,482.7593,35,0.03071,1.0,1,0,42.9294
282,1,65.5196,0.0,53.7857,1816.4803,1465.2322,502.2094,35,0.03607,1.0,1,0,53.7857
284,1,121.4273,0.0,87.763,1955.4834,1580.8201,520.3871,36,0.062096,1.0,1,0,87.763
287,2,197.1943,0.0,158.944,2194.4451,1772.7807,563.8433,41,0.089861,1.0,2,0,82.1955
289,1,65.3318,0.0,54.1484,2161.8035,1747.2009,578.6086,40,0.030221,1.0,1,0,54.1484
290,3,278.42,0.0,216.4006,2249.9952,1817.9768,559.0074,41,0.123743,1.0,3,0,76.295
291,1,51.497,0.0,43.5014,2006.397,1627.6453,546.1194,38,0.025666,1.0,1,0,43.5014
293,1,86.7737,0.0,60.4694,2138.072,1737.2495,563.3701,38,0.040585,1.0,1,0,60.4694
294,3,199.9438,0.0,165.8331,2163.5321,1768.2439,544.4691,38,0.092415,1.0,3,0,56.4896
295,1,74.0754,0.0,60.9704,2016.216,1644.133,532.0266,35,0.03674,1.0,1,0,60.9704
296,6,388.5522,0.0,322.7107,2120.5052,1741.4667,448.625,35,0.183236,1.0,6,0,55.6871
297,1,108.6517,0.0,87.1906,1803.2703,1437.1047,472.4901,33,0.060253,1.0,1,0,87.1906
298,3,256.069,0.0,208.0878,1814.0735,1449.3911,440.5316,33,0.141157,1.0,3,0,69.82
299,1,53.2264,0.0,44.6218,1602.6071,1268.0382,441.6215,31,0.033212,1.0,1,0,44.6218
300,3,255.5161,0.0,207.5086,1676.7879,1333.9254,408.6564,31,0.152384,1.0,3,0,58.779
