step,n_entities_alive,n_entities_total,n_spawned,extraction_total,interest_paid_total,amortissement_total,credit_transactions,auto_invest_total,n_failures,destroyed_assets,redirected_claims,volume_prets_actifs,n_prets_actifs,actif_total_systeme,passif_total_systeme,liquidite_totale,mean_passif,mean_internal_rate
830,18,876,0,107.5623,1.1708,0.0,1,95.2111,1,0.0,0.0,10.352,1,643.7525,602.8095,120.591,33.4894,0.093654
831,19,877,1,108.5734,1.1708,0.0,0,104.4732,0,0.0,0.0,10.352,1,708.6533,661.0017,132.2996,34.7896,0.091662
832,17,877,0,113.8585,1.1708,0.0,3,91.5432,2,0.0,0.0,0,0,618.281,586.9666,116.3144,34.5274,0.090456
833,18,878,1,103.8541,0.0,0.0,0,100.3891,0,0.0,0.0,0,0,679.6367,642.1591,127.4776,35.6755,0.090929
834,17,878,0,109.2475,0.0,0.0,1,98.0174,1,0.0,0.0,0,0,694.2624,653.4723,125.7901,38.4395,0.087835
835,18,879,1,111.0312,0.0,0.0,0,107.136,0,0.0,0.0,0,0,755.9782,708.761,137.2172,39.3756,0.087754
836,16,879,0,116.2453,0.0,0.0,2,98.3105,2,0.0,0.0,0,0,715.9645,669.1138,126.8506,41.8196,0.085964
837,18,881,2,113.1521,0.0,0.0,0,113.1963,0,0.0,0.0,0,0,787.6052,733.3988,144.2064,40.7444,0.090642
838,19,882,1,120.8612,0.0,0.0,0,119.307,0,0.0,0.0,0,0,851.3758,793.3659,153.0099,41.7561,0.088144
839,20,883,1,128.5393,0.0,0.0,0,126.1037,0,0.0,0.0,0,0,917.1631,854.633,162.5301,42.7316,0.087454
840,23,886,3,140.2122,0.0,0.0,0,144.8532,0,0.0,0.0,0,0,1008.5845,939.0229,184.5617,40.8271,0.090998
841,24,888,2,152.2711,0.0,0.0,1,148.2998,1,0.0,0.0,0,0,1035.0802,965.9004,189.1798,40.2458,0.092743
842,25,889,1,155.2666,0.0,0.0,0,153.2932,0,0.0,0.0,0,0,1112.2123,1039.6036,197.6087,41.5841,0.089696
843,26,890,1,164.117,0.0,0.0,0,160.1757,0,0.0,0.0,0,0,1191.1517,1113.3189,207.8328,42.82,0.087263
844,25,891,1,173.3607,0.0,0.0,3,151.4729,2,0.0,0.0,0,0,1116.8107,1045.6299,196.1807,41.8252,0.08823
845,27,894,3,169.5877,0.0,0.0,2,161.9767,1,0.0,0.0,0,0,1128.9756,1057.236,206.7397,39.1569,0.093106
846,28,895,1,170.22,0.0,0.0,0,167.2947,0,0.0,0.0,0,0,1213.1024,1137.3071,215.7953,40.6181,0.089236
847,25,896,1,180.3296,0.0,0.0,5,141.0389,4,0.0,0.0,0,0,979.2353,924.0461,180.1892,36.9618,0.092339
848,27,898,2,156.5702,0.0,0.0,1,149.5439,0,0.0,0.0,10.8542,1,1083.1875,1014.5396,192.7937,37.5755,0.091124
849,28,899,1,167.7341,1.1116,0.0,0,160.1216,0,0.0,0.0,10.8542,1,1169.2624,1091.7073,206.7009,38.9895,0.088696
850,24,899,0,174.7786,1.1116,0.0,4,132.6812,4,0.0,0.0,0,0,933.5028,883.2912,170.2117,36.8038,0.089118
851,22,899,0,146.4505,0.0,0.0,2,117.0554,2,0.0,0.0,0,0,824.8227,784.4001,150.4226,35.6546,0.087235
852,23,900,1,133.1602,0.0,0.0,0,127.2745,0,0.0,0.0,0,0,897.6071,849.2346,163.3725,36.9232,0.086847
853,24,901,1,140.6224,0.0,0.0,0,135.9072,0,0.0,0.0,0,0,971.6661,916.7183,174.9478,38.1966,0.084818
854,23,901,0,146.3837,0.0,0.0,1,131.5983,1,0.0,0.0,0,0,976.8121,920.7559,171.0562,40.0329,0.082008
855,23,901,0,144.1918,0.0,0.0,1,126.9332,0,0.0,0.0,15.4478,1,1052.7237,982.5613,169.7146,42.7201,0.07809
856,24,902,1,151.6382,1.2156,0.0,0,141.4995,0,0.0,0.0,15.4478,1,1124.2922,1042.3046,186.5398,43.4294,0.07857
857,25,904,2,161.1694,1.2156,0.0,1,152.3398,1,0.0,0.0,15.4478,1,1158.2605,1069.6094,198.2033,42.7844,0.08296
858,26,905,1,163.7291,1.2156,0.0,0,159.6028,0,0.0,0.0,15.4478,1,1233.8093,1139.7513,208.6102,43.8366,0.081455
859,24,905,0,169.7999,1.2156,0.0,2,148.0689,2,0.0,0.0,15.4478,1,1177.8032,1087.3238,195.0316,45.3052,0.07931
860,25,906,1,162.6085,1.2156,0.0,0,157.0921,0,0.0,0.0,15.4478,1,1250.003,1152.6835,206.8717,46.1073,0.079094
861,28,909,3,174.3788,1.2156,0.0,1,169.4762,0,0.0,0.0,29.6761,2,1361.7293,1248.6197,223.4334,44.5936,0.082036
862,29,910,1,185.4493,2.7232,0.0,0,178.778,0,0.0,0.0,29.6761,2,1442.1278,1321.5357,235.9159,45.5702,0.080142
863,29,911,1,193.9305,2.7232,0.0,2,180.6689,1,0.0,0.0,29.6761,2,1459.7129,1336.5727,238.4641,46.0887,0.080175
864,32,914,3,200.1389,2.7232,0.0,1,193.0414,0,0.0,0.0,45.1174,3,1581.4498,1440.8981,255.4343,45.0281,0.083679
865,31,914,0,210.5623,4.3305,0.0,1,189.8539,1,0.0,0.0,45.1174,3,1582.4131,1439.9377,252.3581,46.4496,0.080513
866,30,915,1,210.6126,4.3305,0.0,3,181.6212,2,0.0,0.0,15.4413,1,1451.4906,1346.1992,239.8501,44.8733,0.081814
867,32,917,2,201.5383,1.6073,0.0,1,191.8609,0,0.0,0.0,26.1305,2,1559.4843,1439.1294,254.2244,44.9728,0.081646
868,34,919,2,214.4695,2.6268,0.0,1,202.7673,0,0.0,0.0,37.7604,3,1672.7838,1535.6137,269.4096,45.1651,0.080823
869,32,919,0,223.5789,3.7429,0.0,2,197.4318,2,0.0,0.0,37.7604,3,1643.4053,1502.9378,262.7071,46.9668,0.079087
870,34,921,2,221.9476,3.7429,0.0,1,209.2988,0,0.0,0.0,49.2635,4,1757.5158,1599.446,278.8062,47.0425,0.079553
871,35,922,1,232.7287,4.8317,0.0,0,221.6222,0,0.0,0.0,49.2635,4,1852.0845,1683.1237,294.6973,48.0892,0.078447
872,37,924,2,244.255,4.8317,0.0,1,229.6717,0,0.0,0.0,65.3624,5,1976.0365,1788.0819,307.5922,48.3265,0.078317
873,35,925,1,256.1176,6.46,0.0,5,214.6719,3,0.0,0.0,53.7324,4,1781.736,1618.1574,284.8462,46.2331,0.079427
874,35,926,1,235.7162,5.3439,0.0,1,217.7676,1,0.0,0.0,43.0432,3,1790.047,1633.4519,288.5518,46.6701,0.079869
875,33,926,0,234.9422,4.3244,0.0,2,201.1341,2,0.0,0.0,11.5032,1,1630.3793,1516.9511,266.925,45.9682,0.078912
876,31,926,0,219.7264,1.0887,0.0,2,192.5919,2,0.0,0.0,0,0,1563.6056,1462.5174,256.0882,47.178,0.077841
877,33,928,2,215.6934,0.0,0.0,1,202.6902,0,0.0,0.0,13.7095,1,1677.339,1558.1655,270.464,47.2171,0.078568
878,31,928,0,224.2796,1.3346,0.0,2,190.9901,2,0.0,0.0,13.7095,1,1573.8784,1460.6936,254.4753,47.1191,0.076985
879,30,928,0,210.2452,1.3346,0.0,2,176.4345,1,0.0,0.0,36.667,2,1589.399,1462.0184,240.7137,48.7339,0.074372
880,33,931,3,214.5925,3.0115,0.0,1,199.1982,0,0.0,0.0,50.7297,3,1711.9995,1559.0776,267.1922,47.2448,0.07761
881,34,933,2,228.1614,4.4256,0.0,1,214.4354,1,0.0,0.0,50.7297,3,1769.4237,1604.7432,283.9508,47.1983,0.079762
882,34,934,1,233.3882,4.4256,0.0,1,217.9002,1,0.0,0.0,50.7297,3,1801.8404,1632.4813,288.6293,48.0142,0.079965
883,33,934,0,233.8372,4.4256,0.0,1,213.191,1,0.0,0.0,50.7297,3,1803.0941,1633.1742,284.1902,49.4901,0.077351
884,34,935,1,232.9765,4.4256,0.0,0,223.6636,0,0.0,0.0,50.7297,3,1893.9815,1715.0203,298.2314,50.4418,0.076265
885,36,937,2,243.2033,4.4256,0.0,1,233.6262,0,0.0,0.0,60.2935,4,2006.6322,1813.7083,312.6303,50.3808,0.076209
886,38,939,2,256.0218,5.2896,0.0,1,241.313,0,0.0,0.0,76.601,5,2129.7041,1917.9579,325.1452,50.4726,0.076275
887,38,940,1,268.3434,6.9063,0.0,1,249.2752,1,0.0,0.0,76.601,5,2173.501,1952.4654,334.4347,51.3807,0.077026
888,35,942,2,274.1637,6.9063,0.0,10,208.4423,5,0.0,0.0,51.0199,4,1809.0066,1652.3491,280.6376,47.21,0.080079
889,35,943,1,240.9271,4.3533,0.0,1,217.4117,1,0.0,0.0,51.0199,4,1829.0624,1663.3347,289.7078,47.5238,0.080578
890,33,943,0,240.2339,4.3533,0.0,2,211.225,2,0.0,0.0,51.0199,4,1787.3992,1619.7292,281.6502,49.0827,0.078871
891,33,944,1,234.6719,4.3533,0.0,2,209.7807,1,0.0,0.0,0,0,1679.5199,1566.8841,277.6358,47.4813,0.080308
892,32,944,0,226.2161,0.0,0.0,1,206.1916,1,0.0,0.0,0,0,1688.075,1573.5171,274.5579,49.1724,0.07785
893,34,946,2,229.0495,0.0,0.0,1,215.7908,0,0.0,0.0,13.9824,1,1804.5191,1671.9385,288.5982,49.1747,0.078361
894,32,946,0,238.0925,1.401,0.0,2,210.8858,2,0.0,0.0,13.9824,1,1774.9896,1638.7292,282.278,51.2103,0.076654
895,34,948,2,236.1884,1.401,0.0,2,217.2592,0,0.0,0.0,36.3828,3,1900.3208,1740.5159,293.4221,51.1916,0.076406
896,35,949,1,247.5727,3.5142,0.0,0,233.0308,0,0.0,0.0,36.3828,3,1995.332,1821.4952,312.454,52.0427,0.075681
897,31,949,0,253.5902,3.5142,0.0,5,202.4511,4,0.0,0.0,36.3828,3,1716.6427,1564.6966,270.5633,50.4741,0.075266
898,32,950,1,222.9599,3.5142,0.0,0,213.5258,0,0.0,0.0,36.3828,3,1803.5977,1642.2528,284.9622,51.3204,0.075089
899,31,951,1,231.196,3.5142,0.0,3,203.836,2,0.0,0.0,22.4004,2,1685.5458,1547.144,271.0014,49.9079,0.076875
900,33,953,2,221.9878,2.1132,0.0,1,212.2593,0,0.0,0.0,34.2522,3,1795.0411,1642.0406,283.7483,49.7588,0.077053
901,34,955,2,235.5929,3.2162,0.0,1,220.4983,1,0.0,0.0,34.2522,3,1808.4167,1652.0868,292.0777,48.5908,0.080831
902,27,955,0,234.365,3.2162,0.0,9,159.2264,7,0.0,0.0,50.336,3,1417.4587,1286.5311,215.5916,47.6493,0.080726
903,26,956,1,191.8364,4.4565,0.0,3,160.7575,2,0.0,0.0,0,0,1220.9303,1141.153,209.7773,43.8905,0.084623
904,23,957,1,175.1855,0.0,0.0,5,142.2195,4,0.0,0.0,0,0,1048.7803,979.6874,184.0929,42.5951,0.088399
905,23,958,1,154.7622,0.0,0.0,1,140.7868,1,0.0,0.0,0,0,1035.6055,968.4362,182.1693,42.1059,0.08669
906,24,959,1,152.9464,0.0,0.0,0,148.63,0,0.0,0.0,0,0,1109.7572,1036.7226,193.0346,43.1968,0.085246
907,25,960,1,160.9614,0.0,0.0,0,156.4268,0,0.0,0.0,0,0,1185.4064,1106.4771,203.9293,44.2591,0.08329
908,28,963,3,173.0087,0.0,0.0,1,169.9689,0,0.0,0.0,11.204,1,1297.402,1204.5023,221.6956,43.0179,0.084364
909,26,964,1,184.9277,1.1066,0.0,4,156.1704,3,0.0,0.0,11.204,1,1169.3897,1085.5465,202.6392,41.7518,0.086666
910,29,968,4,177.4234,1.1066,0.0,3,167.5693,1,0.0,0.0,11.018,1,1185.5396,1105.0769,214.4447,38.1061,0.093138
911,28,968,0,177.1503,1.1473,0.0,1,158.3219,1,0.0,0.0,11.018,1,1166.8012,1090.8356,204.9475,38.9584,0.088563
912,26,968,0,173.2816,1.1473,0.0,2,144.3439,2,0.0,0.0,11.018,1,1074.4631,1006.0174,187.4276,38.693,0.086266
913,28,970,2,163.8882,1.1473,0.0,0,160.5909,0,0.0,0.0,11.018,1,1167.0363,1089.0066,207.0117,38.8931,0.086241
914,29,971,1,173.4478,1.1473,0.0,0,168.2998,0,0.0,0.0,11.018,1,1251.6788,1167.4057,218.2551,40.2554,0.08442
915,27,971,0,180.3302,1.1473,0.0,3,155.3124,2,0.0,0.0,11.018,1,1181.9534,1103.2273,202.7081,40.8603,0.082286
916,26,972,1,172.217,1.1473,0.0,3,150.2446,2,0.0,0.0,11.018,1,1123.1215,1047.0201,195.0834,40.27,0.084245
