# Statistiques résumées des distributions par grandeur et par pas
step,name,n,mean,std,min,q10,q25,median,q75,q90,q99,max
80,levier_entite,48,0.8108,0.1241,0.5487,0.5941,0.7693,0.8773,0.8834,0.8909,0.9326,0.9467
90,passif_total,55,299.5679,108.8268,99.2451,178.5647,201.6913,265.9078,436.0801,448.0777,462.1715,463.195
90,actif_liquide,55,42.1495,16.3208,13.5077,22.3401,30.1524,39.3217,53.0137,64.6883,78.2572,79.0757
90,actif_total,55,410.3793,240.8876,107.7528,198.9184,227.8853,303.4512,504.1354,835.7994,916.1495,929.4779
90,ratio_L_P,55,0.1425,0.0245,0.05,0.1116,0.1449,0.1506,0.1538,0.1599,0.1694,0.1718
90,taux_interne,55,0.0305,0.0059,0.0232,0.0236,0.0239,0.0307,0.0352,0.0374,0.0443,0.0502
90,levier_entite,55,0.8105,0.1443,0.4805,0.5293,0.8754,0.8831,0.8855,0.8951,0.9386,0.9485
100,passif_total,58,341.4456,125.8555,190.154,203.6214,226.517,305.818,489.3174,527.8278,547.9819,548.3365
100,actif_liquide,58,49.6969,21.416,11.5463,29.5325,32.8233,43.1592,65.0931,85.1432,96.7243,98.3182
100,actif_total,58,467.1427,283.7971,209.7472,224.3764,255.4042,344.9899,553.6701,975.5599,1096.0902,1109.1674
100,ratio_L_P,58,0.1455,0.0239,0.05,0.1412,0.1444,0.1491,0.1519,0.1664,0.1794,0.1795
100,taux_interne,58,0.0285,0.0051,0.0214,0.0218,0.0226,0.0286,0.0332,0.035,0.0362,0.0363
100,levier_entite,58,0.8136,0.1428,0.4847,0.5349,0.8796,0.8852,0.8865,0.8885,0.9358,0.9699
110,passif_total,60,386.0348,149.3686,216.0359,225.8057,253.1497,336.6394,537.2453,622.1156,646.4663,647.9991
110,actif_liquide,60,57.8597,25.5472,30.8083,33.7448,36.7789,48.1777,74.0573,101.3968,110.0116,112.3728
110,actif_total,60,524.0247,329.3406,241.9074,254.3218,285.2769,380.469,606.3025,1118.4619,1287.5325,1303.85
110,ratio_L_P,60,0.1478,0.0096,0.1326,0.1394,0.1411,0.1457,0.1482,0.1647,0.1738,0.1739
110,taux_interne,60,0.0268,0.0049,0.0196,0.02,0.0216,0.0273,0.0314,0.0333,0.034,0.034
110,levier_entite,60,0.8185,0.1361,0.4792,0.5433,0.8827,0.8867,0.8879,0.8889,0.8958,0.8973
120,passif_total,67,404.7426,143.0317,237.2592,255.6873,285.6003,348.6265,531.4539,631.5074,661.9468,669.1964
120,actif_liquide,67,55.6027,20.8406,26.5693,35.3824,38.547,48.496,69.8523,82.0893,105.9973,107.0032
120,actif_total,67,562.5464,371.1143,264.3794,287.6241,321.6755,392.1225,598.5534,1252.9394,1498.0738,1524.1044
120,ratio_L_P,67,0.1372,0.0125,0.0867,0.1222,0.1351,0.1395,0.1431,0.1445,0.161,0.1632
120,taux_interne,67,0.026,0.0043,0.0193,0.0199,0.0217,0.0268,0.0296,0.0313,0.0323,0.0325
120,levier_entite,67,0.8184,0.1556,0.4196,0.5137,0.8862,0.8886,0.8893,0.8956,0.9341,0.9342
