fardeau,risque,erreur
16.07599324473068,0.012397485165716978,0.0004245889086865865
25.218408847816768,0.04969300764168029,0.0008338546535483961
28.067328803696498,0.14766770716767771,0.0013613230170417684
30.05969116343879,0.14569253647834857,0.0013537438770655247
32.46327672706359,0.10320101301607869,0.0011673564434860446
35.21944668799787,0.0740904339119808,0.0010050232472296305
38.2660406593633,0.04888391542493668,0.0008273965492633922
41.575278579335794,0.03084647437313191,0.0006634524610926678
45.16603295153773,0.01917074032628541,0.0005261748658218417
49.03944058731679,0.012117731937511964,0.000419830531237521
53.22695611279588,0.008966827156676531,0.0003617214374772278
57.773371985780535,0.006449143059072972,0.00030715670970156493
62.673155595598,0.004638014046556826,0.0002607157740097617
67.95149125906035,0.005595146946227693,0.0002862208823601031
73.61383043994867,0.009379095071926028,0.00036986647327957644
79.72246650014752,0.012574356558101183,0.0004275717826922838
86.8615741179986,0.005197520502966856,0.0002759162558199293
95.81822929294057,0.003563225160492373,0.00022864434103253182
107.86888034237082,0.013810975160858106,0.00044781950699973084
131.73590055878313,0.048559270874744175,0.000824779201536728
