K_receveuse,K_donneuse,principal,surplus,partage
50.0,51.0,0.5,0.00017416314356921703,0.5024753688566065
50.0,65.77358490566037,7.886792452830186,0.03551471275914153,0.53438169448905
50.0,80.54716981132076,15.273584905660378,0.11253857545350598,0.5601657391590883
50.0,95.32075471698113,22.660377358490564,0.21390866564970068,0.5820459060455513
50.0,110.09433962264151,30.047169811320757,0.3301639933471172,0.6012087636156913
50.0,124.86792452830188,37.43396226415094,0.4557263267741689,0.6183623905798387
50.0,139.64150943396226,44.82075471698113,0.5871211523376338,0.6339634776653078
50.0,154.41509433962264,52.20754716981132,0.7220948349796075,0.6483241933475455
50.0,169.18867924528303,59.59433962264151,0.8591403569845539,0.661667747432181
50.0,183.96226415094338,66.98113207547169,0.9972264972721732,0.6741595744538893
50.0,198.73584905660377,74.36792452830188,1.135635476101946,0.6859259266950115
50.0,213.50943396226415,81.75471698113208,1.2738616846259312,0.6970655195907723
50.0,228.2830188679245,89.14150943396226,1.4115463982286727,0.7076571296545471
50.0,243.0566037735849,96.52830188679245,1.5484345000806705,0.7177647253406907
50.0,257.8301886792453,103.91509433962264,1.6843451051125662,0.7274410353878601
50.0,272.60377358490564,111.30188679245282,1.81915120751853,0.7367300944184034
50.0,287.37735849056605,118.68867924528303,1.9527653276180388,0.7456690996961877
50.0,302.1509433962264,126.0754716981132,2.085129231862613,0.7542897921680852
50.0,316.92452830188677,133.46226415094338,2.2162064698211843,0.7626195016239502
50.0,331.6981132075472,140.8490566037736,2.3459768916210777,0.7706819499904886
50.0,346.47169811320754,148.23584905660377,2.4744325782696492,0.778497877360944
50.0,361.2452830188679,155.62264150943395,2.601574793247565,0.7860855360282339
50.0,376.0188679245283,163.00943396226415,2.727411681055518,0.7934610848065696
50.0,390.79245283018867,170.39622641509433,2.8519565179056734,0.8006389070392771
50.0,405.566037735849,177.7830188679245,2.9752263744781473,0.8076318694991804
50.0,420.33962264150944,185.16981132075472,3.0972410888659567,0.8144515350050615
50.0,435.1132075471698,192.5566037735849,3.218022474841824,0.8211083384292825
50.0,449.88679245283015,199.94339622641508,3.3375937099038566,0.8276117334792432
50.0,464.66037735849056,207.33018867924528,3.4559788615311966,0.8339703159453207
50.0,479.4339622641509,214.71698113207546,3.573202520288966,0.8401919278474783
50.0,494.2075471698113,222.10377358490564,3.6892895159479693,0.8462837459626461
50.0,508.9811320754717,229.49056603773585,3.804264698381264,0.8522523574915627
50.0,523.7547169811321,236.87735849056605,3.9181527691953058,0.858103825067854
50.0,538.5283018867924,244.2641509433962,4.030978153221355,0.8638437428812277
50.0,553.3018867924528,251.6509433962264,4.1427649014023835,0.8694772853498326
50.0,568.0754716981132,259.0377358490566,4.253536618454323,0.8750092495116173
50.0,582.8490566037735,266.42452830188677,4.363316410100325,0.8804440920941576
50.0,597.622641509434,273.811320754717,4.472126845775733,0.8857859620543636
50.0,612.3962264150944,281.1981132075472,4.579989933556966,0.8910387292444616
50.0,627.1698113207547,288.58490566037733,4.686927104736519,0.896206009751435
50.0,641.9433962264151,295.97169811320754,4.792959205991927,0.901291188368281
50.0,656.7169811320755,303.35849056603774,4.898106497510945,0.9062974385828516
50.0,671.4905660377358,310.7452830188679,5.002388655763852,0.9112277404103015
50.0,686.2641509433962,318.1320754716981,5.105824779874382,0.9160848963459352
50.0,701.0377358490566,325.5188679245283,5.208433400749243,0.9208715456742432
50.0,715.8113207547169,332.90566037735846,5.310232492292272,0.9255901773358783
50.0,730.5849056603773,340.29245283018867,5.411239484162991,0.93024314152575
50.0,745.3584905660377,347.6792452830189,5.511471275646386,0.934832660171411
50.0,760.132075471698,355.066037735849,5.610944250287318,0.9393608364206769
50.0,774.9056603773585,362.45283018867923,5.709674291012803,0.9438296632502545
50.0,789.6792452830189,369.83962264150944,5.807676795521495,0.9482410312926153
50.0,804.4528301886792,377.2264150943396,5.904966691765701,0.9525967359658764
50.0,819.2264150943396,384.6132075471698,6.0015584533879505,0.9568984839808634
50.0,834.0,392.0,6.097466115004501,0.9611478992903525
50.0,848.7735849056603,399.38679245283015,6.1927032872518595,0.9653465285377025
50.0,863.5471698113207,406.77358490566036,6.287283171532849,0.9694958460552179
50.0,878.3207547169811,414.16037735849056,6.381218574414113,0.9735972584567933
50.0,893.0943396226414,421.5471698113207,6.474521921640196,0.9776521088642288
50.0,907.8679245283018,428.9339622641509,6.5672052717396525,0.9816616808022091
50.0,922.6415094339623,436.3207547169811,6.659280329207078,0.9856272017930525
50.0,937.4150943396226,443.7075471698113,6.750758457251749,0.9895498466789361
50.0,952.188679245283,451.0943396226415,6.841650690108821,0.9934307406963699
50.0,966.9622641509434,458.4811320754717,6.931967744913571,0.9972709623250381
50.0,981.7358490566037,465.86792452830184,7.02172003314206,1.0010715459308945
50.0,996.5094339622641,473.25471698113205,7.110917671625117,1.0048334842212752
50.0,1011.2830188679245,480.64150943396226,7.199570493143462,1.0085577305281148
50.0,1026.0566037735848,488.0283018867924,7.287688056614286,1.012245200933668
50.0,1040.830188679245,495.41509433962256,7.375279656880217,1.0158967762517912
50.0,1055.6037735849056,502.8018867924528,7.462354334112604,1.0195133038765423
50.0,1070.377358490566,510.18867924528297,7.548920882841465,1.023095599508789
50.0,1085.1509433962265,517.5754716981132,7.63498786062506,1.026644448770464
50.0,1099.9245283018868,524.9622641509434,7.720563596371839,1.0301606087152637
50.0,1114.698113207547,532.3490566037735,7.80565619832776,1.0336448092437656
50.0,1129.4716981132076,539.7358490566038,7.8902735617419495,1.0370977544302153
50.0,1144.245283018868,547.122641509434,7.974423376223228,1.0405201237676267
50.0,1159.0188679245282,554.5094339622641,8.058113132800166,1.0439125733372232
50.0,1173.7924528301887,561.8962264150944,8.141350130696544,1.0472757369077472
50.0,1188.566037735849,569.2830188679245,8.224141483834423,1.0506102269697015
50.0,1203.3396226415093,576.6698113207547,8.306494127075844,1.0539166357091438
50.0,1218.1132075471698,584.0566037735849,8.388414822214784,1.0571955359252796
50.0,1232.8867924528302,591.4433962264151,8.469910163729523,1.060447481895766
50.0,1247.6603773584905,598.8301886792452,8.550986584306202,1.0636730101932952
50.0,1262.433962264151,606.2169811320755,8.631650360143198,1.0668726404567677
50.0,1277.2075471698113,613.6037735849056,8.711907616045956,1.0700468761200872
50.0,1291.9811320754716,620.9905660377358,8.79176433032142,1.0731962051013801
50.0,1306.754716981132,628.377358490566,8.8712263394807,1.0763211004552287
50.0,1321.5283018867924,635.7641509433962,8.95029934275852,1.079422020990298
50.0,1336.3018867924527,643.1509433962264,9.028988906457286,1.0824994118545797
50.0,1351.0754716981132,650.5377358490566,9.107300468123611,1.085553705090277
50.0,1365.8490566037735,657.9245283018868,9.18523934056438,1.0885853201602513
50.0,1380.6226415094338,665.3113207547169,9.26281071570957,1.0915946644477603
50.0,1395.3962264150944,672.6981132075472,9.340019668328402,1.0945821337311334
50.0,1410.1698113207547,680.0849056603773,9.416871159605066,1.0975481126349005
