# Données détaillées de chaque cascade de faillites
step,nb_entites_faillie,volume_actifs_detruits,volume_creances_annulees,volume_passif_efface,actif_systeme_avant,passif_systeme_avant,liquidite_systeme_avant,nb_entites_avant,ratio_destruction,ratio_contagion,nb_contamines,nb_deja_fragiles,passif_median_failli
501,1,597.8804,2690.3335,597.9891,645405.8005,436698.7965,49166.071,501,0.000926,0.0,0,1,597.9891
506,1,395.3354,2061.0203,396.8323,650170.1961,437176.6485,49598.828,501,0.000608,0.0,0,1,396.8323
507,1,522.3827,2511.0076,523.0724,648611.0849,436709.0927,49943.321,500,0.000805,0.0,0,1,523.0724
508,1,376.195,2055.7329,376.4162,646770.63,436453.1984,49966.74,501,0.000582,0.0,0,1,376.4162
510,1,473.1573,2303.0624,476.0636,647308.585,436863.3464,49725.6669,501,0.000731,0.0,0,1,476.0636
513,1,413.642,2144.7996,414.6095,648955.969,437721.1834,49249.8672,503,0.000637,0.0,0,1,414.6095
516,1,579.4277,2645.9964,580.4119,650126.0724,437714.3009,49691.8814,503,0.000891,0.0,0,1,580.4119
520,1,537.2109,2565.7845,538.1966,653071.0524,438533.347,49541.7165,507,0.000823,0.0,0,1,538.1966
521,2,875.4462,4625.98,878.7594,650716.2355,437765.2828,50080.2744,506,0.001345,0.0,0,2,451.6453
525,4,1798.6732,9215.4868,1808.671,652327.9909,438758.1818,49387.2298,505,0.002757,0.0,0,4,450.8667
528,1,549.6776,2695.6665,552.5843,646638.158,438046.219,49061.9759,501,0.00085,0.0,0,1,552.5843
533,1,368.0816,2130.568,371.4583,649777.4728,437908.5894,49903.955,501,0.000566,0.0,0,1,371.4583
535,1,365.446,2010.027,368.1636,651672.6129,439385.108,48562.3224,502,0.000561,0.0,0,1,368.1636
541,2,1195.7035,5785.8669,1201.5126,656767.7522,439548.1988,49679.8597,504,0.001821,0.0,0,2,627.511
542,1,525.6338,2632.8915,525.7949,650896.2114,438422.9013,49880.6845,504,0.000808,0.0,0,1,525.7949
543,2,720.9978,4199.0989,725.2071,648549.9526,437834.5528,50188.0932,503,0.001112,0.0,0,2,375.7298
544,1,353.7028,2083.9717,356.1065,646461.1558,438540.3373,48986.7684,501,0.000547,0.0,0,1,356.1065
546,1,336.4699,1819.3067,336.9476,646024.333,437872.7946,49807.9679,502,0.000521,0.0,0,1,336.9476
550,1,338.6927,2026.2204,339.0146,648258.7453,438220.8491,50163.9864,506,0.000522,0.0,0,1,339.0146
552,1,360.2441,2131.888,362.7482,649730.4589,439373.4089,49203.4249,506,0.000554,0.0,0,1,362.7482
554,2,830.817,4646.0634,833.5976,649929.0648,439000.6044,49798.9236,506,0.001278,0.0,0,2,433.6334
