# Données détaillées de chaque cascade de faillites
step,nb_entites_faillie,volume_actifs_detruits,volume_creances_annulees,volume_passif_efface,actif_systeme_avant,passif_systeme_avant,liquidite_systeme_avant,nb_entites_avant,ratio_destruction,ratio_contagion,nb_contamines,nb_deja_fragiles,passif_median_failli
462,1,441.6103,2435.6291,444.1002,328211.1092,155719.711,16569.5581,203,0.001346,0.0,0,1,444.1002
466,1,379.4756,2224.7922,382.2616,330099.3662,156214.8055,17193.7199,205,0.00115,0.0,0,1,382.2616
467,1,384.992,2241.8118,387.971,330134.8423,157162.4169,16242.5859,204,0.001166,0.0,0,1,387.971
470,1,467.8663,2421.3953,471.3415,332010.4025,157383.0847,16820.0781,205,0.001409,0.0,0,1,471.3415
471,1,424.9628,2361.4124,428.016,331942.5614,158218.646,15903.878,205,0.00128,0.0,0,1,428.016
476,2,884.4282,4942.0776,890.5233,334650.8603,158344.834,17195.8077,205,0.002643,0.0,0,2,497.0339
477,1,411.2,2331.0797,412.1194,329708.4392,157550.6591,17465.4313,205,0.001247,0.0,0,1,412.1194
478,1,481.679,2571.982,484.4698,328116.0363,157511.0619,17439.404,205,0.001468,0.0,0,1,484.4698
479,1,519.798,2672.4303,520.0076,327620.6199,158368.1697,16427.8563,204,0.001587,0.0,0,1,520.0076
480,2,861.6852,4701.9906,862.8022,326199.3845,158304.8617,16306.1391,203,0.002642,0.0,0,2,459.4117
482,1,399.6571,2340.9898,402.1419,322812.161,157555.1687,16868.9416,203,0.001238,0.0,0,1,402.1419
483,1,402.3409,2302.4612,405.4064,324502.6424,159593.0161,14771.2591,203,0.00124,0.0,0,1,405.4064
485,1,400.4181,2395.9817,403.6127,326199.7997,159920.1474,14740.6042,202,0.001228,0.0,0,1,403.6127
493,1,500.4899,2603.6302,504.4791,333410.7183,159819.3713,17346.8048,205,0.001501,0.0,0,1,504.4791
494,1,412.8755,2423.4462,416.473,331302.6516,159461.9962,17554.986,205,0.001246,0.0,0,1,416.473
496,1,468.374,2469.6663,469.6932,332371.8281,160569.2069,16702.0815,204,0.001409,0.0,0,1,469.6932
497,1,467.3048,2549.3122,471.6667,330903.3583,160356.5366,16785.3819,204,0.001412,0.0,0,1,471.6667
500,1,504.705,2691.4539,509.1927,331153.6554,160115.6395,17547.7954,204,0.001524,0.0,0,1,509.1927
502,1,578.9128,2981.5801,580.7762,331470.8678,160699.2831,17128.8904,205,0.001746,0.0,0,1,580.7762
503,1,376.1805,2172.9441,378.9391,330161.2851,161036.1577,16551.1587,205,0.001139,0.0,0,1,378.9391
504,1,439.0223,2478.043,441.847,329452.3446,161097.5723,16441.5475,204,0.001333,0.0,0,1,441.847
505,1,433.327,2497.4117,435.8842,330037.191,162202.3738,15232.7558,204,0.001313,0.0,0,1,435.8842
506,1,483.2312,2637.4646,485.4657,327576.5613,160820.7512,16517.1913,203,0.001475,0.0,0,1,485.4657
507,2,866.0861,4987.6547,870.5945,326300.1849,160774.8206,16396.5462,202,0.002654,0.0,0,2,444.7214
