# Statistiques résumées des distributions par grandeur et par pas
step,name,n,mean,std,min,q10,q25,median,q75,q90,q99,max
80,levier_entite,49,0.8086,0.132,0.5085,0.5839,0.8686,0.8775,0.8832,0.8869,0.9283,0.9294
90,passif_total,55,306.4632,108.5509,173.0552,186.114,212.9181,277.6767,438.6941,458.1057,472.1683,476.6682
90,actif_liquide,55,43.376,15.6762,18.8124,23.9756,32.0187,41.7749,54.961,65.1861,76.8365,77.2539
90,actif_total,55,415.5098,238.9238,186.8676,209.8743,240.3478,316.5784,497.9547,831.9937,928.3706,945.0269
90,ratio_L_P,55,0.1433,0.0217,0.05,0.1107,0.1451,0.1518,0.1539,0.1583,0.1675,0.1678
90,taux_interne,55,0.0299,0.0052,0.0229,0.0234,0.0239,0.03,0.0343,0.0367,0.0378,0.038
90,levier_entite,55,0.8139,0.1404,0.4781,0.5587,0.8753,0.8818,0.885,0.8921,0.9263,0.9266
100,passif_total,58,348.1506,126.4439,193.1971,207.8962,244.0796,304.3449,489.3174,538.602,560.6477,561.6566
100,actif_liquide,58,50.8666,21.7885,11.5003,30.6234,33.7599,42.5775,67.7579,90.2678,97.2919,99.4148
100,actif_total,58,471.8749,281.8694,214.0849,233.773,274.8466,343.4917,553.6701,983.8364,1105.9362,1122.7019
100,ratio_L_P,58,0.1458,0.0238,0.05,0.1409,0.1441,0.1484,0.151,0.165,0.1751,0.177
100,taux_interne,58,0.0281,0.0049,0.0211,0.0215,0.0226,0.0287,0.032,0.0347,0.0357,0.036
100,levier_entite,58,0.8169,0.1396,0.4865,0.5421,0.8804,0.8851,0.8867,0.8885,0.9302,0.9696
110,passif_total,68,354.7198,144.1526,101.9399,211.5148,248.4487,310.609,522.5632,570.3134,592.9276,595.2151
110,actif_liquide,68,48.8085,20.0702,9.8915,25.6997,34.9275,43.5527,59.142,76.5571,95.5653,96.8243
110,actif_total,68,487.6476,330.1583,106.8315,233.1192,279.4321,350.0588,590.1903,1122.0306,1300.1233,1330.5275
110,ratio_L_P,68,0.1396,0.0203,0.05,0.119,0.139,0.1438,0.1462,0.1515,0.1809,0.1822
110,taux_interne,68,0.0284,0.0065,0.0205,0.0209,0.0219,0.0284,0.0317,0.0344,0.0462,0.0495
110,levier_entite,68,0.8223,0.1484,0.4417,0.5111,0.8825,0.8871,0.8881,0.8982,0.9448,0.9542
120,passif_total,73,386.5468,143.8563,216.1224,240.9593,263.6806,332.0556,494.1555,610.778,647.5332,647.7621
120,actif_liquide,73,52.9814,22.226,11.9913,31.9465,36.4446,46.1871,64.4376,82.6196,111.3818,116.7723
120,actif_total,73,539.4335,375.5626,238.1293,261.3544,296.475,373.7506,556.2585,1288.4966,1528.6204,1571.5749
120,ratio_L_P,73,0.1372,0.0207,0.0493,0.129,0.1371,0.1408,0.1434,0.1466,0.174,0.1803
120,taux_interne,73,0.0267,0.0047,0.0196,0.0202,0.0225,0.0274,0.0308,0.0322,0.034,0.034
120,levier_entite,73,0.8222,0.1584,0.3887,0.4731,0.8868,0.8887,0.8898,0.8922,0.9388,0.972
130,passif_total,83,396.7432,159.2511,144.0119,245.4367,274.4009,344.9688,503.3203,669.3424,679.7678,689.1285
130,actif_liquide,83,50.2072,20.3642,10.9112,31.7991,36.573,44.9797,63.2418,82.1408,103.6257,114.8543
130,actif_total,83,558.3078,427.8754,158.1327,272.3169,308.0766,387.6505,566.2764,1446.7742,1768.8993,1834.2589
130,ratio_L_P,83,0.1293,0.0239,0.05,0.0988,0.1327,0.1376,0.14,0.1424,0.1591,0.1667
130,taux_interne,83,0.0267,0.0054,0.019,0.0193,0.0223,0.0269,0.0302,0.0319,0.0411,0.0417
130,levier_entite,83,0.8292,0.1609,0.3624,0.4647,0.8893,0.89,0.8907,0.8969,0.9557,0.9662
140,passif_total,87,429.1885,167.7918,147.1691,271.8022,301.3125,373.4736,536.114,723.4322,781.5546,785.2396
140,actif_liquide,87,57.7458,26.0221,10.7007,37.2739,40.3953,48.8413,68.5369,87.609,138.1415,143.6989
140,actif_total,87,610.3606,486.5983,157.7856,304.3899,337.737,418.9618,602.2672,1633.4301,2053.4023,2140.519
140,ratio_L_P,87,0.1336,0.0177,0.05,0.1261,0.1323,0.1356,0.1381,0.1409,0.1761,0.184
140,taux_interne,87,0.0255,0.0048,0.0178,0.0186,0.0216,0.0259,0.0288,0.0303,0.0403,0.0412
140,levier_entite,87,0.8294,0.1636,0.3433,0.4428,0.8905,0.8912,0.8918,0.8944,0.9381,0.9645
150,passif_total,99,426.377,204.9701,8.5224,282.8587,305.3652,378.8073,538.9531,790.5443,838.4962,866.2993
150,actif_liquide,99,57.4737,30.2764,7.9386,34.7077,40.9108,48.7719,69.2928,91.1496,137.3479,161.1954
150,actif_total,99,610.9224,553.3535,11.9913,313.7651,340.9129,424.6443,605.0826,1822.3775,2353.5313,2471.2113
150,ratio_L_P,99,0.1724,0.1662,0.05,0.1242,0.1303,0.1336,0.1363,0.1609,0.9937,0.9937
150,taux_interne,99,0.0327,0.0314,0.017,0.0178,0.0215,0.0257,0.0286,0.0297,0.1713,0.1713
150,levier_entite,99,0.8287,0.1605,0.34,0.4547,0.8913,0.8922,0.8929,0.8992,0.9328,0.9647
160,passif_total,107,446.9086,197.741,161.7853,199.9673,323.4939,386.5875,534.1098,844.9231,876.297,897.9632
160,actif_liquide,107,57.3992,25.6274,18.8684,30.0063,42.7779,48.7483,66.3396,91.8073,129.0453,150.3523
160,actif_total,107,647.0383,607.0955,177.4757,223.1632,360.7734,432.8658,599.6437,1808.1452,2680.3199,2846.1542
160,ratio_L_P,107,0.1309,0.0181,0.05,0.1217,0.1287,0.132,0.1343,0.1455,0.1679,0.1695
160,taux_interne,107,0.0254,0.0056,0.0167,0.0172,0.0216,0.0254,0.0278,0.0354,0.0383,0.0393
160,levier_entite,107,0.8377,0.1621,0.3023,0.4795,0.8922,0.8931,0.8941,0.8984,0.9432,0.957
170,passif_total,110,486.1396,178.1601,308.4738,339.0209,349.4455,410.7965,556.7074,867.8237,902.3036,911.1859
170,actif_liquide,110,61.5412,25.3745,11.9913,43.3383,45.0669,50.8764,68.6253,94.0376,142.5073,154.6577
170,actif_total,110,716.2442,676.2455,315.4651,377.665,391.0779,457.6412,623.7285,1862.1087,3067.4956,3271.5376
170,ratio_L_P,110,0.1266,0.0162,0.0389,0.115,0.1269,0.1294,0.1316,0.1335,0.1608,0.1713
170,taux_interne,110,0.0236,0.0035,0.0166,0.017,0.0212,0.0247,0.0267,0.0272,0.0284,0.0285
170,levier_entite,110,0.8377,0.1717,0.2785,0.478,0.8936,0.8941,0.8967,0.9047,0.9196,0.9778
180,passif_total,114,515.5258,200.6022,330.8534,357.5942,373.8416,428.1932,561.2298,918.3873,1029.5583,1032.8071
180,actif_liquide,114,67.1137,33.4343,36.5856,45.1361,47.5367,53.1982,70.7156,96.4758,184.2066,189.1622
180,actif_total,114,763.0677,760.7035,369.1535,398.1832,414.103,475.1801,626.9816,1642.3249,3485.186,3748.4293
180,ratio_L_P,114,0.128,0.0149,0.05,0.1186,0.1256,0.128,0.1302,0.1318,0.18,0.1837
180,taux_interne,114,0.023,0.0035,0.0156,0.0166,0.0211,0.0242,0.0259,0.0264,0.0272,0.0275
180,levier_entite,114,0.8403,0.168,0.2645,0.6301,0.8943,0.8948,0.8967,0.9033,0.9221,0.9253
190,passif_total,119,544.2832,205.7142,278.4336,382.0249,397.7739,477.1276,581.3971,848.0396,1084.8454,1086.4838
190,actif_liquide,119,64.6321,26.8477,11.9913,47.4728,49.9687,54.9451,67.7284,97.3566,173.4967,175.4166
190,actif_total,119,813.7072,844.4547,285.425,423.6448,443.3945,530.7078,647.7048,1138.2895,3934.5535,4260.3925
190,ratio_L_P,119,0.1198,0.0199,0.0364,0.1023,0.1205,0.1262,0.1284,0.1297,0.1599,0.1615
190,taux_interne,119,0.0223,0.0033,0.0152,0.0172,0.0207,0.0229,0.0251,0.0256,0.0272,0.03
190,levier_entite,119,0.8439,0.1713,0.2514,0.8134,0.895,0.8954,0.8994,0.9108,0.9667,0.9792
200,passif_total,123,568.3996,200.9829,386.189,403.8764,427.4323,504.4464,598.4383,814.819,1132.5664,1147.1705
200,actif_liquide,123,70.0329,32.1188,31.439,50.6557,51.9077,57.597,71.163,99.4392,185.8616,218.7454
200,actif_total,123,869.0926,944.5581,412.628,450.6415,472.5093,558.0425,666.5582,909.5093,4456.0416,4854.2949
200,ratio_L_P,123,0.1217,0.0157,0.05,0.1047,0.1178,0.1253,0.1273,0.1287,0.1639,0.1916
200,taux_interne,123,0.0217,0.003,0.0148,0.0175,0.0204,0.0223,0.0242,0.0249,0.0254,0.0254
200,levier_entite,123,0.8434,0.177,0.2352,0.8945,0.8956,0.896,0.9019,0.9129,0.9311,0.9359
210,passif_total,132,575.3234,198.3025,401.5862,422.046,448.3838,503.6544,586.83,827.0664,1131.5056,1139.1014
210,actif_liquide,132,66.1362,24.1364,11.9913,49.5005,52.8992,58.481,70.4802,100.5101,156.8516,173.2188
210,actif_total,132,896.8009,1043.0705,422.3969,468.0951,492.4314,557.1482,652.5241,922.8387,5016.8352,5516.5606
210,ratio_L_P,132,0.1157,0.0174,0.0289,0.1005,0.1077,0.1234,0.1256,0.1269,0.1403,0.1521
