window,rho_B_mean,largest_scc_mean,largest_scc_max,secondary_per_fragile_mean,failures_mean
0-500,0.10662928987254748,1.28,3,0.03666666666666667,0.76
500-1000,0.42248338447146744,14.96,95,0.37666666666666665,2.1
