n_candidats_pool,n_runs,late_loans_per_alive_mean,late_loans_per_alive_sd,late_loans_per_alive_ci95_halfwidth,late_failures_per_step_mean,late_failures_per_step_sd,late_failures_per_step_ci95_halfwidth,late_secondary_share_mean,late_secondary_share_sd,late_secondary_share_ci95_halfwidth,late_secondary_per_fragile_mean,late_secondary_per_fragile_sd,late_secondary_per_fragile_ci95_halfwidth,alive_final_mean,alive_final_sd,alive_final_ci95_halfwidth,beta_late_mean,beta_late_sd,beta_late_ci95_halfwidth,hazard_late_mean,hazard_late_sd,hazard_late_ci95_halfwidth,n_star_pred_mean,n_star_pred_sd,n_star_pred_ci95_halfwidth,hidden_fragility_ratio_final_mean,hidden_fragility_ratio_final_sd,hidden_fragility_ratio_final_ci95_halfwidth
1,10,0.10436000261202605,0.015285240772212537,0.011525071542248253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,891.5,22.375209496225953,16.87090796015437,0.0003703674777710964,5.015745317324256e-05,3.781871969262489e-05,0.0,0.0,0.0,,,0.0,0.9781207436925363,0.01159645688665673,0.008743728492539174
2,10,0.7906112476009513,0.12456047302707675,0.09391859666241585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,894.9,31.522848856028226,23.768228037445276,0.0033464637724962124,0.0007766340809675787,0.0005855820970495543,0.0,0.0,0.0,,,0.0,0.9697934304051932,0.00894798352779082,0.006746779579954277
3,10,4.127765371169966,0.6425732723186137,0.48450024732823466,1.0435,0.36364165052974884,0.27418580449943064,0.10508694719675313,0.03402645081172374,0.025655943912039694,0.11899157947604119,0.04119758104684206,0.03106297610931891,677.1,84.5262681064295,63.73280615224784,0.051342021891682556,0.01174591923836999,0.008856423105730973,0.0017240671039342368,0.0006619657557978108,0.0004991221798715493,1474.2981587605468,896.9571443740409,676.3056868580268,0.8928520254225398,0.007292045654920157,0.005498202423809798
4,10,6.697201662304211,0.3127143395593842,0.23578661202777568,1.9780000000000002,0.08280096617793781,0.06243192849816511,0.25204962985931095,0.028381661766342676,0.021399772971822374,0.33891656163925993,0.05089868743481874,0.03837761032585333,446.1,31.910656527248072,24.060635021545043,0.1059781573032084,0.004605264539866228,0.003472369463059136,0.004342982576250068,0.00019737797770094306,0.00014882299518651106,461.48643866775683,21.463022221241506,16.183118754816093,0.8662141927636174,0.013713355632151628,0.010339870146642328
5,10,8.532258170820612,0.6596244022003012,0.497356799259027,2.051,0.10783784122468325,0.08130973228341117,0.31290688857154836,0.03862959740514704,0.029126716443480864,0.4602153070639545,0.0855832211835122,0.06452974877236821,400.5,21.919169692303583,16.5270539479969,0.13623185434534263,0.007447970737950478,0.005615769936414659,0.005101861338519767,0.0003127386470815548,0.00023580493989949232,393.46201489880076,23.704008525411716,17.872822428160433,0.8420404975845452,0.010754191615961153,0.00810866047843471
