horizon,seed,alive_final,late_alive_mean,late_active_loans,late_loans_per_alive,beta_late,hazard_late,hidden_fragility_ratio_final
400,42,700,647.575,2771.14,4.220710274387329,0.053337451260471756,0.0017990194186001621,0.9017243921920738
400,43,645,608.785,2798.905,4.535703917316978,0.05605427203364078,0.0020039915569536044,0.9141713456233654
400,44,737,679.52,2713.755,3.910543295424059,0.04755562750176595,0.001405403814457264,0.8985511193531712
400,45,728,639.42,2633.575,4.04440159935621,0.048950611491664325,0.0014388039160489194,0.8906867554683013
1000,42.0,530.0,584.896,4255.398,7.3641305182318915,0.08042455410876465,0.0038092242039610468,0.9056611729891688
1000,43.0,526.0,610.212,4254.676,7.037948101528168,0.07457408245003376,0.0035135330016453302,0.8879508378312883
1000,44.0,618.0,656.406,4321.556,6.6172400468534285,0.06792747171719943,0.0032967401272992634,0.9050069263485574
1000,45.0,543.0,635.644,4231.96,6.71646195734262,0.07061185191711083,0.0034925209708579017,0.8784657585959191
