step,n_entities_alive,n_entities_total,n_spawned,extraction_total,interest_paid_total,credit_transactions,auto_invest_total,n_failures,destroyed_assets,redirected_claims,volume_prets_actifs,n_prets_actifs,actif_total_systeme,passif_total_systeme,liquidite_totale,mean_passif,mean_internal_rate
179,114,114,0,3336.8428,487.7624,4,2479.3899,0,0.0,0.0,28798.516,242,140612.837,101643.2667,10741.0543,891.6076,0.017254
180,114,114,0,3368.6915,499.2941,0,2651.1651,0,0.0,0.0,28798.516,242,141862.7467,102457.8449,11176.3858,898.753,0.017183
181,116,116,2,3386.7197,499.2941,1,2704.3344,0,0.0,0.0,29033.1249,243,143357.6859,103552.0609,11352.5,892.6902,0.018571
182,116,116,0,3414.5869,502.3151,3,2608.1549,0,0.0,0.0,29704.3799,246,145272.2902,104955.575,11192.3353,904.7894,0.017187
183,116,116,0,3450.3684,510.9498,1,2681.3406,0,0.0,0.0,29952.7528,247,146779.0884,105986.1995,11420.1361,913.6741,0.017044
184,116,116,0,3469.8061,514.1204,1,2744.6217,0,0.0,0.0,30181.3714,248,148260.6123,107040.3378,11618.9031,922.7615,0.016944
185,116,116,0,3487.928,517.0321,0,2864.9001,0,0.0,0.0,30181.3714,248,149506.6149,107965.4491,11939.7943,930.7366,0.016874
186,116,116,0,3502.6405,517.0321,0,2949.9969,0,0.0,0.0,30181.3714,248,150740.2214,108955.2607,12183.5892,939.2695,0.016802
187,117,117,1,3520.3433,517.0321,1,2943.1448,0,0.0,0.0,30410.1821,249,152203.24,110150.3595,12227.6985,941.4561,0.016869
188,117,117,0,3548.4407,519.8728,2,2869.2024,0,0.0,0.0,30887.2473,251,153907.9961,111491.4001,12114.3488,952.9179,0.016686
189,117,117,0,3573.5663,525.7377,0,2970.3131,0,0.0,0.0,30887.2473,251,155138.6662,112432.5752,12403.8437,960.9622,0.01662
190,119,119,2,3592.6255,525.7377,2,2894.4899,0,0.0,0.0,31391.9686,253,156885.8322,113791.935,12296.9286,956.2347,0.016803
191,120,120,1,3635.8505,531.8448,1,2926.0897,0,0.0,0.0,31664.3549,254,158411.551,114921.7486,12425.4476,957.6812,0.016852
192,121,121,1,3665.9611,535.1118,5,2708.7925,0,0.0,0.0,32725.8339,259,160731.6254,116601.6825,12009.1091,963.6503,0.016697
193,121,121,0,3710.6371,547.8707,2,2846.4468,0,0.0,0.0,32909.7557,261,162191.657,117511.9186,12374.9827,971.1729,0.01658
194,121,121,0,3727.4231,550.0849,4,2710.6022,0,0.0,0.0,33839.6088,265,164388.3892,119013.8781,12139.9024,983.5858,0.016402
195,121,121,0,3756.0593,561.2754,0,2920.623,0,0.0,0.0,33839.6088,265,165665.2963,119773.2681,12657.4194,989.8617,0.016348
196,121,121,0,3768.1383,561.2754,0,3065.1923,0,0.0,0.0,33839.6088,265,166926.4331,120659.9701,13031.8542,997.1898,0.016291
197,122,122,1,3783.9741,561.2754,1,3090.5372,0,0.0,0.0,34092.0536,266,168438.0624,121809.6791,13146.3297,998.44,0.016356
198,123,123,1,3813.6667,564.2452,2,3033.1053,0,0.0,0.0,34609.0379,268,170218.6424,123144.0977,13080.5068,1001.1715,0.016342
199,123,123,0,3847.074,570.2742,2,2988.4413,0,0.0,0.0,35166.3289,270,172040.333,124445.7071,13043.297,1011.7537,0.016183
200,123,123,0,3871.3349,576.8128,1,3062.7744,0,0.0,0.0,35412.1748,271,173552.5745,125487.6808,13267.7189,1020.225,0.016102
201,124,124,1,3890.6509,579.7074,1,3121.4992,0,0.0,0.0,35660.1607,272,175070.7165,126575.0385,13455.5172,1020.7664,0.016173
202,125,125,1,3919.2967,582.6055,2,3089.7051,0,0.0,0.0,36160.9645,274,176844.7228,127862.1495,13446.6087,1022.8972,0.01617
203,125,125,0,3951.7019,588.4204,2,3066.6078,0,0.0,0.0,36687.8669,276,178644.2217,129124.5206,13456.8342,1032.9962,0.016015
204,126,126,1,3977.4519,594.5118,2,3063.4091,0,0.0,0.0,37208.5948,278,180450.2622,130360.404,13511.2634,1034.6064,0.016051
205,126,126,0,4007.853,600.4988,1,3153.3093,0,0.0,0.0,37455.5332,279,181979.84,131385.8204,13768.4864,1042.7446,0.015937
206,127,127,1,4028.2928,603.3299,2,3114.4032,0,0.0,0.0,38048.2601,281,183859.656,132702.8824,13743.5135,1044.9046,0.015959
207,129,129,2,4064.863,610.052,1,3219.3,0,0.0,0.0,38263.54,282,185385.6489,133729.8799,14037.229,1036.6657,0.017254
208,130,130,1,4092.5079,612.5,5,3012.8145,0,0.0,0.0,39388.9158,287,187812.7305,135435.0628,13638.7519,1041.8082,0.016081
209,131,131,1,4146.894,625.3901,5,2840.439,0,0.0,0.0,40656.2194,292,190418.0209,137084.8112,13331.9904,1046.4489,0.015967
210,132,132,1,4193.0153,639.8779,1,3062.1461,0,0.0,0.0,40891.4167,293,192019.9902,137901.6113,13886.9622,1044.7092,0.016051
211,132,132,0,4215.7556,642.5724,7,2874.3929,0,0.0,0.0,42220.2317,300,194700.6488,139602.9615,13537.4555,1057.5982,0.015777
212,133,133,1,4254.6626,657.916,4,2915.5745,0,0.0,0.0,43062.1864,304,196926.1973,140840.4643,13688.5466,1058.9509,0.015764
213,134,134,1,4290.4718,667.6391,1,3152.7929,0,0.0,0.0,43257.2768,305,198518.1839,141649.5524,14281.3547,1057.0862,0.015871
214,134,134,0,4312.1719,669.8979,3,3165.2738,0,0.0,0.0,43949.6564,308,200590.3417,142946.6826,14364.0027,1066.7663,0.015682
215,134,134,0,4338.3652,677.9508,2,3247.3501,0,0.0,0.0,44416.7472,310,202439.6177,144078.9909,14613.8796,1075.2163,0.015602
216,134,134,0,4357.1387,683.3595,0,3455.3357,0,0.0,0.0,44416.7472,310,203814.5941,144931.5846,15136.2623,1081.579,0.015558
217,134,134,0,4369.7105,683.3595,0,3600.119,0,0.0,0.0,44416.7472,310,205171.737,145909.2554,15515.7344,1088.875,0.015511
218,134,134,0,4383.7011,683.3595,0,3701.4646,0,0.0,0.0,44416.7472,310,206512.8199,146966.0906,15799.9821,1096.7619,0.015464
219,134,134,0,4398.5409,683.3595,0,3773.8999,0,0.0,0.0,44416.7472,310,207839.0227,148071.6228,16020.6527,1105.0121,0.015415
220,135,135,1,4416.0875,683.3595,1,3739.6759,0,0.0,0.0,44708.0464,311,209454.4207,149414.544,16006.8302,1106.7744,0.01547
221,135,135,0,4445.6427,686.5733,1,3721.8566,0,0.0,0.0,44999.7247,312,211063.2432,150708.6298,16029.8886,1116.3602,0.015364
222,135,135,0,4466.6496,689.7772,1,3713.6121,0,0.0,0.0,45296.0287,313,212671.2985,151973.5784,16076.6914,1125.7302,0.015292
223,135,135,0,4485.6553,693.0155,1,3697.3675,0,0.0,0.0,45644.9387,314,214324.7564,153249.9955,16104.8222,1135.1852,0.01523
224,135,135,0,4504.2032,696.7893,1,3694.2966,0,0.0,0.0,45987.5542,315,215964.9338,154492.4467,16159.9329,1144.3885,0.015169
225,135,135,0,4522.2342,700.4649,0,3805.4472,0,0.0,0.0,45987.5542,315,217255.0706,155479.4399,16463.0765,1151.6996,0.015128
