window,credit_transactions_slope,credit_transactions_slope_over_mean,n_prets_actifs_slope,n_prets_actifs_slope_over_mean,n_failures_slope,n_failures_slope_over_mean,n_entities_alive_slope,n_entities_alive_slope_over_mean
0-500,0.12076171504686019,0.004556014300417271,9.679322909291637,0.0046256687661845874,0.006733466933867735,0.006956060882094768,1.2271912927651711,0.002392008570057522
500-1000,0.003600590402361608,7.654316331551037e-05,1.7917789591158364,0.00042106025314573073,0.00017040068160272638,7.648145493838705e-05,-0.3038443833775335,-0.0005194844611307541
600-1000,0.00016706354414715044,3.518608764683034e-06,2.2869691373071084,0.0005300729207324257,0.0001740010875067969,7.767905692267718e-05,-0.35148097800611255,-0.0006143080847600749
700-1000,-0.020214224602495584,-0.0004192372886794798,2.959637329303659,0.0006719128697608951,-0.001103345592728808,-0.0004790212414162698,-0.4110207891198791,-0.0007390289227742673
