n_candidats_pool,late_loans_per_alive_mean,late_loans_per_alive_sd,late_failures_per_step_mean,late_failures_per_step_sd,late_secondary_share_mean,late_secondary_share_sd,late_secondary_per_fragile_mean,late_secondary_per_fragile_sd,alive_final_mean,alive_final_sd
1,0.1117520466161578,0.01359915591113707,0.0,0.0,0.0,0.0,0.0,0.0,894.5,2.5
2,0.7816127032960138,0.18389540849549396,0.0,0.0,0.0,0.0,0.0,0.0,891.5,4.5
3,4.912626366683165,0.1319926443629953,1.525,0.04999999999999993,0.1462200699488835,0.009712133440947013,0.1714135955587054,0.013325360264587763,603.5,32.5
4,6.9750230737764225,0.2743230455025021,1.9975,0.04249999999999998,0.27829283887468026,0.020939897698209725,0.38677097636770974,0.04023632290236323,439.0,15.0
5,8.283030118327973,0.6581352632760051,1.96,0.08499999999999996,0.3205965770171149,0.048596577017114895,0.4794488457279155,0.10582247210154189,406.5,21.5
