steps,entities_total,alive_final,failures_total,mean_extraction_all,late_credit_tx,late_active_loans,late_loans_per_alive,late_financial_density,late_failures_per_step,late_alive_mean,late_credit_slope,late_loans_slope,late_failures_slope,late_alive_slope,hidden_fragility_total_final,hidden_fragility_ratio_final,mean_lifetime_failed,median_lifetime_failed,watched_count,rmst_full,survival_full,rmst_initial,survival_initial,rmst_born_later,survival_born_later,n_initial,n_born_later,late_cascades,late_secondary_share,late_secondary_per_fragile,late_mean_cascade_size,late_max_cascade_size,seed,theta,lambda_creation,n_candidats_pool,alpha_sigma_brownien,taux_amortissement
400,892,892,0,9481.850042,0.23,69.0,0.09815289070502073,0.006853390034203107,0.0,699.665,-0.0005655141378534464,0.21762094052351308,0.0,1.884283357083927,2296.862507457149,0.9765575036229712,,,118,400.0,1.0,400.0,1.0,400.0,1.0,101,791,0,0.0,0.0,0.0,0,31,0.35,2,1,0.005,0
400,897,897,0,9252.12463475,0.255,86.91,0.12535120252729487,0.008726215825011298,0.0,695.005,-0.0012847821195529888,0.2224900622515563,0.0,2.001094277356934,2733.308062732154,0.9793359719308679,,,126,400.0,1.0,400.0,1.0,400.0,1.0,101,796,0,0.0,0.0,0.0,0,32,0.35,2,1,0.005,0
400,887,887,0,9375.798462499999,1.64,418.735,0.5977172948005198,0.04254915921350386,0.0,691.89,0.001825545638640966,1.702193804845121,0.0,1.9129243231080777,15851.749272858966,0.9757143165633179,,,128,400.0,1.0,400.0,1.0,400.0,1.0,101,786,0,0.0,0.0,0.0,0,31,0.35,2,2,0.005,0
400,896,896,0,9369.35557575,2.35,681.415,0.9655081117915078,0.06802421555712196,0.0,701.635,-0.007872196804920123,2.3167861696542413,0.0,2.002339308482712,24587.98557173367,0.9818607859343561,,,122,400.0,1.0,400.0,1.0,400.0,1.0,101,795,0,0.0,0.0,0.0,0,32,0.35,2,2,0.005,0
400,888,571,317,8005.87636375,38.54,2892.735,5.04461901104616,0.3119158743556533,1.575,570.61,0.11199879996999924,8.248381459536489,0.011722043051076277,0.2502392559813995,90018.65868769992,0.8890581804413127,210.6309148264984,203,124,290.4769221789083,0.3713731258181003,349.7623762376237,0.5544554455445541,277.83187398131724,0.3275401079117133,101,787,145,0.1365079365079365,0.15808823529411764,2.1724137931034484,7,31,0.35,2,3,0.005,0
400,937,636,301,8319.2385595,38.7,2965.715,4.78063372232017,0.30556633871296224,1.475,615.185,0.12030900772519312,9.577612690317258,0.01273756843921098,0.5555666391659791,104348.594738039,0.885108951871976,210.58471760797343,202,126,296.6139491262795,0.3997785317777859,351.9801980198018,0.6039603960396036,284.37487122791794,0.36298655873421687,101,836,141,0.15593220338983052,0.18473895582329317,2.0921985815602837,8,32,0.35,2,3,0.005,0
400,922,454,468,6640.085177,49.665,3077.045,6.70070002827392,0.3473641162736786,2.04,459.195,0.04338483462086552,6.565745893647342,0.003874596864921623,0.011818045451136279,77483.45717424867,0.8832268051136353,152.95726495726495,135,124,225.68433365204334,0.24837935118802767,303.7722772277228,0.40594059405940547,212.73246253207904,0.22977140279456584,101,821,175,0.25735294117647056,0.3465346534653465,2.3314285714285714,7,31,0.35,2,4,0.005,0
400,893,424,469,6429.1762055,47.85,3039.07,7.249346119278925,0.35768763490629285,1.955,419.73,-0.01549238730968274,5.262403060076502,-0.0015712892822320559,-0.09617940448511213,78988.77639532155,0.8562356751167015,149.8720682302772,128,124,219.39625304445656,0.2442896757083614,310.2475247524751,0.4950495049504946,202.37391689945423,0.18836642299132653,101,792,170,0.29923273657289,0.42700729927007297,2.3,6,32,0.35,2,4,0.005,0
400,909,428,481,6095.46861425,49.385,3137.555,7.624894855051968,0.3584112118907656,1.875,411.065,0.0405137628440711,4.369560489012225,0.0014662866571664292,0.11096152403810096,79597.74607488944,0.8660874563066088,136.03742203742203,112,124,212.4482381348845,0.2476582052372033,297.5148514851484,0.44554455445544516,197.91573765655764,0.22616151365880632,101,808,173,0.272,0.37362637362637363,2.167630057803468,6,31,0.35,2,5,0.005,0
400,900,385,515,5968.671727999999,53.825,3509.35,8.941165381603978,0.35669989705758154,2.045,392.32,0.03898972474311858,5.238682967074177,0.0014347858696467412,0.010995274881872047,65431.69896780841,0.8379112343267499,133.62135922330097,111,124,200.49397887188505,0.21450347968145947,290.67326732673246,0.4257425742574253,184.9737339938904,0.1593956662310865,101,799,173,0.3691931540342298,0.5852713178294574,2.3641618497109826,6,32,0.35,2,5,0.005,0
